"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Finland (FI)","Actual Total Load [MW] - Finland (FI)"
"05.01.2023 02:00 - 05.01.2023 03:00","10392","10566"
"05.01.2023 03:00 - 05.01.2023 04:00","10438","10714"
"05.01.2023 04:00 - 05.01.2023 05:00","10722","10969"
"05.01.2023 05:00 - 05.01.2023 06:00","11334","11496"
"05.01.2023 06:00 - 05.01.2023 07:00","11679","11845"
"05.01.2023 07:00 - 05.01.2023 08:00","11902","12072"
"05.01.2023 08:00 - 05.01.2023 09:00","11894","12051"
"05.01.2023 09:00 - 05.01.2023 10:00","11968","11924"
"05.01.2023 10:00 - 05.01.2023 11:00","12058","11982"
"05.01.2023 11:00 - 05.01.2023 12:00","12049","11946"
"05.01.2023 12:00 - 05.01.2023 13:00","11876","11796"
"05.01.2023 13:00 - 05.01.2023 14:00","11886","11705"
"05.01.2023 14:00 - 05.01.2023 15:00","12008","11736"
"05.01.2023 15:00 - 05.01.2023 16:00","12203","11901"
"05.01.2023 16:00 - 05.01.2023 17:00","12245","11838"
"05.01.2023 17:00 - 05.01.2023 18:00","12279","11703"
"05.01.2023 18:00 - 05.01.2023 19:00","12332","11705"
"05.01.2023 19:00 - 05.01.2023 20:00","12144","11534"
"05.01.2023 20:00 - 05.01.2023 21:00","11785","11191"
"05.01.2023 21:00 - 05.01.2023 22:00","11860","11388"
"05.01.2023 22:00 - 05.01.2023 23:00","11707","11163"
"05.01.2023 23:00 - 06.01.2023 00:00","11259","10808"
"06.01.2023 00:00 - 06.01.2023 01:00","10455","10516"
"06.01.2023 01:00 - 06.01.2023 02:00","10388","10350"
"06.01.2023 02:00 - 06.01.2023 03:00","10387","10290"
"06.01.2023 03:00 - 06.01.2023 04:00","10476","10246"
"06.01.2023 04:00 - 06.01.2023 05:00","10594","10349"
"06.01.2023 05:00 - 06.01.2023 06:00","10874","10561"
"06.01.2023 06:00 - 06.01.2023 07:00","10997","10623"
"06.01.2023 07:00 - 06.01.2023 08:00","11258","10913"
"06.01.2023 08:00 - 06.01.2023 09:00","11550","10962"
"06.01.2023 09:00 - 06.01.2023 10:00","11681","11051"
"06.01.2023 10:00 - 06.01.2023 11:00","11803","11159"
"06.01.2023 11:00 - 06.01.2023 12:00","11869","11240"
"06.01.2023 12:00 - 06.01.2023 13:00","11848","11197"
"06.01.2023 13:00 - 06.01.2023 14:00","11880","11214"
"06.01.2023 14:00 - 06.01.2023 15:00","12026","11393"
"06.01.2023 15:00 - 06.01.2023 16:00","12335","11629"
"06.01.2023 16:00 - 06.01.2023 17:00","12375","11675"
"06.01.2023 17:00 - 06.01.2023 18:00","12351","11588"
"06.01.2023 18:00 - 06.01.2023 19:00","12371","11660"
"06.01.2023 19:00 - 06.01.2023 20:00","12131","11569"
"06.01.2023 20:00 - 06.01.2023 21:00","11753","11275"
"06.01.2023 21:00 - 06.01.2023 22:00","11848","11522"
"06.01.2023 22:00 - 06.01.2023 23:00","11733","11408"
"06.01.2023 23:00 - 07.01.2023 00:00","11252","11104"
"07.01.2023 00:00 - 07.01.2023 01:00","10523","10765"
"07.01.2023 01:00 - 07.01.2023 02:00","10408","10610"
"07.01.2023 02:00 - 07.01.2023 03:00","10303","10560"
"07.01.2023 03:00 - 07.01.2023 04:00","10308","10515"
"07.01.2023 04:00 - 07.01.2023 05:00","10412","10587"
"07.01.2023 05:00 - 07.01.2023 06:00","10645","10776"
"07.01.2023 06:00 - 07.01.2023 07:00","10741","10859"
"07.01.2023 07:00 - 07.01.2023 08:00","10999","11080"
"07.01.2023 08:00 - 07.01.2023 09:00","11084","11135"
"07.01.2023 09:00 - 07.01.2023 10:00","11329","11246"
"07.01.2023 10:00 - 07.01.2023 11:00","11360","11367"
"07.01.2023 11:00 - 07.01.2023 12:00","11371","11411"
"07.01.2023 12:00 - 07.01.2023 13:00","11327","11380"
"07.01.2023 13:00 - 07.01.2023 14:00","11334","11391"
"07.01.2023 14:00 - 07.01.2023 15:00","11500","11584"
"07.01.2023 15:00 - 07.01.2023 16:00","11756","11918"
"07.01.2023 16:00 - 07.01.2023 17:00","11931","11956"
"07.01.2023 17:00 - 07.01.2023 18:00","11993","12010"
"07.01.2023 18:00 - 07.01.2023 19:00","11909","11928"
"07.01.2023 19:00 - 07.01.2023 20:00","11617","11654"
"07.01.2023 20:00 - 07.01.2023 21:00","11227","11240"
"07.01.2023 21:00 - 07.01.2023 22:00","11339","11476"
"07.01.2023 22:00 - 07.01.2023 23:00","11184","11320"
"07.01.2023 23:00 - 08.01.2023 00:00","10756","11030"
"08.01.2023 00:00 - 08.01.2023 01:00","10408","10734"
"08.01.2023 01:00 - 08.01.2023 02:00","10277","10585"
"08.01.2023 02:00 - 08.01.2023 03:00","10174","10400"
"08.01.2023 03:00 - 08.01.2023 04:00","10191","10398"
"08.01.2023 04:00 - 08.01.2023 05:00","10224","10412"
"08.01.2023 05:00 - 08.01.2023 06:00","10390","10571"
"08.01.2023 06:00 - 08.01.2023 07:00","10437","10557"
"08.01.2023 07:00 - 08.01.2023 08:00","10623","10792"
"08.01.2023 08:00 - 08.01.2023 09:00","10691","10904"
"08.01.2023 09:00 - 08.01.2023 10:00","10859","11019"
"08.01.2023 10:00 - 08.01.2023 11:00","10946","11076"
"08.01.2023 11:00 - 08.01.2023 12:00","10958","11141"
"08.01.2023 12:00 - 08.01.2023 13:00","10934","11105"
"08.01.2023 13:00 - 08.01.2023 14:00","10938","11059"
"08.01.2023 14:00 - 08.01.2023 15:00","11044","11212"
"08.01.2023 15:00 - 08.01.2023 16:00","11236","11459"
"08.01.2023 16:00 - 08.01.2023 17:00","11320","11505"
"08.01.2023 17:00 - 08.01.2023 18:00","11332","11409"
"08.01.2023 18:00 - 08.01.2023 19:00","11309","11431"
"08.01.2023 19:00 - 08.01.2023 20:00","11125","11266"
"08.01.2023 20:00 - 08.01.2023 21:00","10833","10971"
"08.01.2023 21:00 - 08.01.2023 22:00","10978","11161"
"08.01.2023 22:00 - 08.01.2023 23:00","10866","11097"
"08.01.2023 23:00 - 09.01.2023 00:00","10642","10746"
"09.01.2023 00:00 - 09.01.2023 01:00","10341","10468"
"09.01.2023 01:00 - 09.01.2023 02:00","10218","10256"
"09.01.2023 02:00 - 09.01.2023 03:00","10180","10219"
"09.01.2023 03:00 - 09.01.2023 04:00","10270","10328"
"09.01.2023 04:00 - 09.01.2023 05:00","10569","10628"
"09.01.2023 05:00 - 09.01.2023 06:00","11153","11369"
"09.01.2023 06:00 - 09.01.2023 07:00","11523","11787"
"09.01.2023 07:00 - 09.01.2023 08:00","11733","12016"
"09.01.2023 08:00 - 09.01.2023 09:00","11710","11915"
"09.01.2023 09:00 - 09.01.2023 10:00","11780","11908"
"09.01.2023 10:00 - 09.01.2023 11:00","11769","11905"
"09.01.2023 11:00 - 09.01.2023 12:00","11740","11897"
"09.01.2023 12:00 - 09.01.2023 13:00","11665","11842"
"09.01.2023 13:00 - 09.01.2023 14:00","11583","11786"
"09.01.2023 14:00 - 09.01.2023 15:00","11618","11819"
"09.01.2023 15:00 - 09.01.2023 16:00","11688","11859"
"09.01.2023 16:00 - 09.01.2023 17:00","11730","11821"
"09.01.2023 17:00 - 09.01.2023 18:00","11677","11740"
"09.01.2023 18:00 - 09.01.2023 19:00","11644","11680"
"09.01.2023 19:00 - 09.01.2023 20:00","11471","11465"
"09.01.2023 20:00 - 09.01.2023 21:00","11146","11116"
"09.01.2023 21:00 - 09.01.2023 22:00","11224","11238"
"09.01.2023 22:00 - 09.01.2023 23:00","11049","10979"
"09.01.2023 23:00 - 10.01.2023 00:00","10697","10626"
"10.01.2023 00:00 - 10.01.2023 01:00","10460","10351"
"10.01.2023 01:00 - 10.01.2023 02:00","10333","10144"
"10.01.2023 02:00 - 10.01.2023 03:00","10289","10088"
"10.01.2023 03:00 - 10.01.2023 04:00","10361","10121"
"10.01.2023 04:00 - 10.01.2023 05:00","10626","10431"
"10.01.2023 05:00 - 10.01.2023 06:00","11229","11145"
"10.01.2023 06:00 - 10.01.2023 07:00","11577","11562"
"10.01.2023 07:00 - 10.01.2023 08:00","11767","11873"
"10.01.2023 08:00 - 10.01.2023 09:00","11724","11850"
"10.01.2023 09:00 - 10.01.2023 10:00","11711","11763"
"10.01.2023 10:00 - 10.01.2023 11:00","11691","11771"
"10.01.2023 11:00 - 10.01.2023 12:00","11680","11751"
"10.01.2023 12:00 - 10.01.2023 13:00","11646","11461"
