"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Finland (FI)","Actual Total Load [MW] - Finland (FI)"
"05.05.2023 21:00 - 05.05.2023 22:00","9145","9190"
"05.05.2023 22:00 - 05.05.2023 23:00","9059","9084"
"05.05.2023 23:00 - 06.05.2023 00:00","8726","8718"
"06.05.2023 00:00 - 06.05.2023 01:00","8195","8488"
"06.05.2023 01:00 - 06.05.2023 02:00","8103","8363"
"06.05.2023 02:00 - 06.05.2023 03:00","8058","8366"
"06.05.2023 03:00 - 06.05.2023 04:00","8073","8310"
"06.05.2023 04:00 - 06.05.2023 05:00","8053","8232"
"06.05.2023 05:00 - 06.05.2023 06:00","8143","8293"
"06.05.2023 06:00 - 06.05.2023 07:00","8219","8256"
"06.05.2023 07:00 - 06.05.2023 08:00","8309","8295"
"06.05.2023 08:00 - 06.05.2023 09:00","8413","8255"
"06.05.2023 09:00 - 06.05.2023 10:00","8509","8353"
"06.05.2023 10:00 - 06.05.2023 11:00","8515","8391"
"06.05.2023 11:00 - 06.05.2023 12:00","8512","8343"
"06.05.2023 12:00 - 06.05.2023 13:00","8503","8246"
"06.05.2023 13:00 - 06.05.2023 14:00","8467","8277"
"06.05.2023 14:00 - 06.05.2023 15:00","8478","8288"
"06.05.2023 15:00 - 06.05.2023 16:00","8520","8311"
"06.05.2023 16:00 - 06.05.2023 17:00","8626","8400"
"06.05.2023 17:00 - 06.05.2023 18:00","8723","8549"
"06.05.2023 18:00 - 06.05.2023 19:00","8757","8631"
"06.05.2023 19:00 - 06.05.2023 20:00","8679","8552"
"06.05.2023 20:00 - 06.05.2023 21:00","8535","8332"
"06.05.2023 21:00 - 06.05.2023 22:00","8730","8667"
"06.05.2023 22:00 - 06.05.2023 23:00","8660","8648"
"06.05.2023 23:00 - 07.05.2023 00:00","8423","8346"
"07.05.2023 00:00 - 07.05.2023 01:00","7942","8116"
"07.05.2023 01:00 - 07.05.2023 02:00","7880","7974"
"07.05.2023 02:00 - 07.05.2023 03:00","7818","7881"
"07.05.2023 03:00 - 07.05.2023 04:00","7823","7859"
"07.05.2023 04:00 - 07.05.2023 05:00","7763","7838"
"07.05.2023 05:00 - 07.05.2023 06:00","7827","7873"
"07.05.2023 06:00 - 07.05.2023 07:00","7828","7765"
"07.05.2023 07:00 - 07.05.2023 08:00","7909","7779"
"07.05.2023 08:00 - 07.05.2023 09:00","8007","7811"
"07.05.2023 09:00 - 07.05.2023 10:00","8150","7849"
"07.05.2023 10:00 - 07.05.2023 11:00","8187","7950"
"07.05.2023 11:00 - 07.05.2023 12:00","8192","7918"
"07.05.2023 12:00 - 07.05.2023 13:00","8186","7852"
"07.05.2023 13:00 - 07.05.2023 14:00","8179","7832"
"07.05.2023 14:00 - 07.05.2023 15:00","8168","7817"
"07.05.2023 15:00 - 07.05.2023 16:00","8184","7831"
"07.05.2023 16:00 - 07.05.2023 17:00","8235","7829"
"07.05.2023 17:00 - 07.05.2023 18:00","8299","7946"
"07.05.2023 18:00 - 07.05.2023 19:00","8373","8045"
"07.05.2023 19:00 - 07.05.2023 20:00","8360","8032"
"07.05.2023 20:00 - 07.05.2023 21:00","8282","7837"
"07.05.2023 21:00 - 07.05.2023 22:00","8508","8235"
"07.05.2023 22:00 - 07.05.2023 23:00","8470","8178"
"07.05.2023 23:00 - 08.05.2023 00:00","8269","7889"
"08.05.2023 00:00 - 08.05.2023 01:00","7665","7713"
"08.05.2023 01:00 - 08.05.2023 02:00","7631","7650"
"08.05.2023 02:00 - 08.05.2023 03:00","7624","7609"
"08.05.2023 03:00 - 08.05.2023 04:00","7727","7584"
"08.05.2023 04:00 - 08.05.2023 05:00","7906","7797"
"08.05.2023 05:00 - 08.05.2023 06:00","8451","8428"
"08.05.2023 06:00 - 08.05.2023 07:00","8800","8778"
"08.05.2023 07:00 - 08.05.2023 08:00","8926","8938"
"08.05.2023 08:00 - 08.05.2023 09:00","8974","8923"
"08.05.2023 09:00 - 08.05.2023 10:00","8922","8839"
"08.05.2023 10:00 - 08.05.2023 11:00","8934","8781"
"08.05.2023 11:00 - 08.05.2023 12:00","8909","8645"
"08.05.2023 12:00 - 08.05.2023 13:00","8821","8548"
"08.05.2023 13:00 - 08.05.2023 14:00","8748","8441"
"08.05.2023 14:00 - 08.05.2023 15:00","8683","8335"
"08.05.2023 15:00 - 08.05.2023 16:00","8655","8308"
"08.05.2023 16:00 - 08.05.2023 17:00","8629","8292"
"08.05.2023 17:00 - 08.05.2023 18:00","8599","8267"
"08.05.2023 18:00 - 08.05.2023 19:00","8607","8294"
"08.05.2023 19:00 - 08.05.2023 20:00","8572","8282"
"08.05.2023 20:00 - 08.05.2023 21:00","8401","8080"
"08.05.2023 21:00 - 08.05.2023 22:00","8536","8318"
"08.05.2023 22:00 - 08.05.2023 23:00","8402","8245"
"08.05.2023 23:00 - 09.05.2023 00:00","8111","7930"
"09.05.2023 00:00 - 09.05.2023 01:00","7529","7684"
"09.05.2023 01:00 - 09.05.2023 02:00","7448","7729"
"09.05.2023 02:00 - 09.05.2023 03:00","7405","7682"
"09.05.2023 03:00 - 09.05.2023 04:00","7444","7619"
"09.05.2023 04:00 - 09.05.2023 05:00","7602","7735"
"09.05.2023 05:00 - 09.05.2023 06:00","8182","8350"
"09.05.2023 06:00 - 09.05.2023 07:00","8550","8687"
"09.05.2023 07:00 - 09.05.2023 08:00","8714","8710"
"09.05.2023 08:00 - 09.05.2023 09:00","8752","8652"
"09.05.2023 09:00 - 09.05.2023 10:00","8696","8614"
"09.05.2023 10:00 - 09.05.2023 11:00","8685","8567"
"09.05.2023 11:00 - 09.05.2023 12:00","8656","8496"
"09.05.2023 12:00 - 09.05.2023 13:00","8561","8403"
"09.05.2023 13:00 - 09.05.2023 14:00","8447","8305"
"09.05.2023 14:00 - 09.05.2023 15:00","8376","8240"
"09.05.2023 15:00 - 09.05.2023 16:00","8346","8247"
"09.05.2023 16:00 - 09.05.2023 17:00","8368","8227"
"09.05.2023 17:00 - 09.05.2023 18:00","8376","8269"
"09.05.2023 18:00 - 09.05.2023 19:00","8453","8240"
"09.05.2023 19:00 - 09.05.2023 20:00","8416","8187"
"09.05.2023 20:00 - 09.05.2023 21:00","8209","7956"
"09.05.2023 21:00 - 09.05.2023 22:00","8349","8224"
"09.05.2023 22:00 - 09.05.2023 23:00","8197","8144"
"09.05.2023 23:00 - 10.05.2023 00:00","7822","7751"
"10.05.2023 00:00 - 10.05.2023 01:00","7318","7504"
"10.05.2023 01:00 - 10.05.2023 02:00","7274","7419"
"10.05.2023 02:00 - 10.05.2023 03:00","7207","7374"
"10.05.2023 03:00 - 10.05.2023 04:00","7246","7249"
"10.05.2023 04:00 - 10.05.2023 05:00","7395","7399"
"10.05.2023 05:00 - 10.05.2023 06:00","7971","8013"
"10.05.2023 06:00 - 10.05.2023 07:00","8334","8422"
"10.05.2023 07:00 - 10.05.2023 08:00","8457","8540"
"10.05.2023 08:00 - 10.05.2023 09:00","8473","8533"
"10.05.2023 09:00 - 10.05.2023 10:00","8490","8459"
"10.05.2023 10:00 - 10.05.2023 11:00","8491","8432"
"10.05.2023 11:00 - 10.05.2023 12:00","8489","8488"
"10.05.2023 12:00 - 10.05.2023 13:00","8396","8325"
"10.05.2023 13:00 - 10.05.2023 14:00","8286","8243"
"10.05.2023 14:00 - 10.05.2023 15:00","8223","8202"
"10.05.2023 15:00 - 10.05.2023 16:00","8193","8173"
"10.05.2023 16:00 - 10.05.2023 17:00","8174","8197"
"10.05.2023 17:00 - 10.05.2023 18:00","8140","8197"
"10.05.2023 18:00 - 10.05.2023 19:00","8178","8229"
"10.05.2023 19:00 - 10.05.2023 20:00","8130","8225"
"10.05.2023 20:00 - 10.05.2023 21:00","7922","7971"
"10.05.2023 21:00 - 10.05.2023 22:00","8068","8081"
"10.05.2023 22:00 - 10.05.2023 23:00","7914","7917"
"10.05.2023 23:00 - 11.05.2023 00:00","7532","7583"
"11.05.2023 00:00 - 11.05.2023 01:00","7340","7267"
"11.05.2023 01:00 - 11.05.2023 02:00","7286","7161"
"11.05.2023 02:00 - 11.05.2023 03:00","7224","7106"
"11.05.2023 03:00 - 11.05.2023 04:00","7254","7071"
"11.05.2023 04:00 - 11.05.2023 05:00","7380","7307"
"11.05.2023 05:00 - 11.05.2023 06:00","7890","7950"
"11.05.2023 06:00 - 11.05.2023 07:00","8163","8346"
"11.05.2023 07:00 - 11.05.2023 08:00","8245","8395"
"11.05.2023 08:00 - 11.05.2023 09:00","8255","8526"
"11.05.2023 09:00 - 11.05.2023 10:00","8283","8433"
"11.05.2023 10:00 - 11.05.2023 11:00","8277","8439"
"11.05.2023 11:00 - 11.05.2023 12:00","8248","8414"
"11.05.2023 12:00 - 11.05.2023 13:00","8160","8228"
"11.05.2023 13:00 - 11.05.2023 14:00","8067","8155"
"11.05.2023 14:00 - 11.05.2023 15:00","8008","8208"
"11.05.2023 15:00 - 11.05.2023 16:00","7997","8168"
"11.05.2023 16:00 - 11.05.2023 17:00","7980","8144"
"11.05.2023 17:00 - 11.05.2023 18:00","7970","8061"
"11.05.2023 18:00 - 11.05.2023 19:00","8006","8173"
"11.05.2023 19:00 - 11.05.2023 20:00","7980","8086"
"11.05.2023 20:00 - 11.05.2023 21:00","7820","7819"
"11.05.2023 21:00 - 11.05.2023 22:00","7958","7999"
"11.05.2023 22:00 - 11.05.2023 23:00","7832","7914"
"11.05.2023 23:00 - 12.05.2023 00:00","7500","7554"
"12.05.2023 00:00 - 12.05.2023 01:00","7229","7326"
"12.05.2023 01:00 - 12.05.2023 02:00","7160","7255"
"12.05.2023 02:00 - 12.05.2023 03:00","7094","7176"
"12.05.2023 03:00 - 12.05.2023 04:00","7159","7119"
"12.05.2023 04:00 - 12.05.2023 05:00","7307","7162"
"12.05.2023 05:00 - 12.05.2023 06:00","7818","7782"
"12.05.2023 06:00 - 12.05.2023 07:00","8145","8195"
"12.05.2023 07:00 - 12.05.2023 08:00","8243","8347"
"12.05.2023 08:00 - 12.05.2023 09:00","8281","8418"
"12.05.2023 09:00 - 12.05.2023 10:00","8311","8390"
"12.05.2023 10:00 - 12.05.2023 11:00","8314","8357"
"12.05.2023 11:00 - 12.05.2023 12:00","8280","8383"
"12.05.2023 12:00 - 12.05.2023 13:00","8176","8182"
"12.05.2023 13:00 - 12.05.2023 14:00","8075","8036"
"12.05.2023 14:00 - 12.05.2023 15:00","8033","8064"
"12.05.2023 15:00 - 12.05.2023 16:00","8002","8069"
"12.05.2023 16:00 - 12.05.2023 17:00","7983","8008"
"12.05.2023 17:00 - 12.05.2023 18:00","7940","7990"
"12.05.2023 18:00 - 12.05.2023 19:00","7949","8020"
"12.05.2023 19:00 - 12.05.2023 20:00","7891","7892"
"12.05.2023 20:00 - 12.05.2023 21:00","7686","7636"
"12.05.2023 21:00 - 12.05.2023 22:00","7815","7745"
"12.05.2023 22:00 - 12.05.2023 23:00","7727","7584"
"12.05.2023 23:00 - 13.05.2023 00:00","7375","7177"
"13.05.2023 00:00 - 13.05.2023 01:00","7188","6920"
"13.05.2023 01:00 - 13.05.2023 02:00","7139","6776"
"13.05.2023 02:00 - 13.05.2023 03:00","7076","6745"
"13.05.2023 03:00 - 13.05.2023 04:00","7085","6628"
"13.05.2023 04:00 - 13.05.2023 05:00","7052","6643"
"13.05.2023 05:00 - 13.05.2023 06:00","7171","6799"
"13.05.2023 06:00 - 13.05.2023 07:00","7264","6995"
"13.05.2023 07:00 - 13.05.2023 08:00","7369","7183"
"13.05.2023 08:00 - 13.05.2023 09:00","7440","7378"
"13.05.2023 09:00 - 13.05.2023 10:00","7505","7458"
"13.05.2023 10:00 - 13.05.2023 11:00","7520","7488"
"13.05.2023 11:00 - 13.05.2023 12:00","7512","7450"
"13.05.2023 12:00 - 13.05.2023 13:00","7502","7490"
"13.05.2023 13:00 - 13.05.2023 14:00","7493","7497"
"13.05.2023 14:00 - 13.05.2023 15:00","7483","7542"
"13.05.2023 15:00 - 13.05.2023 16:00","7515","7558"
"13.05.2023 16:00 - 13.05.2023 17:00","7592","7585"
"13.05.2023 17:00 - 13.05.2023 18:00","7669","7717"
"13.05.2023 18:00 - 13.05.2023 19:00","7694","7768"
"13.05.2023 19:00 - 13.05.2023 20:00","7599","7676"
"13.05.2023 20:00 - 13.05.2023 21:00","7422","7402"
"13.05.2023 21:00 - 13.05.2023 22:00","7578","7533"
"13.05.2023 22:00 - 13.05.2023 23:00","7550","7492"
"13.05.2023 23:00 - 14.05.2023 00:00","7246","7199"
"14.05.2023 00:00 - 14.05.2023 01:00","6911","6912"
"14.05.2023 01:00 - 14.05.2023 02:00","6799","6695"
"14.05.2023 02:00 - 14.05.2023 03:00","6723","6664"
"14.05.2023 03:00 - 14.05.2023 04:00","6716","6517"
"14.05.2023 04:00 - 14.05.2023 05:00","6707","6432"
"14.05.2023 05:00 - 14.05.2023 06:00","6746","6493"
"14.05.2023 06:00 - 14.05.2023 07:00","6815","6562"
"14.05.2023 07:00 - 14.05.2023 08:00","6931","6745"
"14.05.2023 08:00 - 14.05.2023 09:00","7070","6922"
"14.05.2023 09:00 - 14.05.2023 10:00","7244","7020"
"14.05.2023 10:00 - 14.05.2023 11:00","7306","7128"
"14.05.2023 11:00 - 14.05.2023 12:00","7323","7158"
"14.05.2023 12:00 - 14.05.2023 13:00","7321","7125"
"14.05.2023 13:00 - 14.05.2023 14:00","7355","7069"
"14.05.2023 14:00 - 14.05.2023 15:00","7319","7113"
"14.05.2023 15:00 - 14.05.2023 16:00","7319","7111"
"14.05.2023 16:00 - 14.05.2023 17:00","7382","7181"
"14.05.2023 17:00 - 14.05.2023 18:00","7430","7295"
"14.05.2023 18:00 - 14.05.2023 19:00","7465","7385"
"14.05.2023 19:00 - 14.05.2023 20:00","7411","7396"
"14.05.2023 20:00 - 14.05.2023 21:00","7271","7197"
"14.05.2023 21:00 - 14.05.2023 22:00","7481","7431"
"14.05.2023 22:00 - 14.05.2023 23:00","7472","7406"
"14.05.2023 23:00 - 15.05.2023 00:00","7183","7027"
"15.05.2023 00:00 - 15.05.2023 01:00","6869","6708"
"15.05.2023 01:00 - 15.05.2023 02:00","6797","6541"
"15.05.2023 02:00 - 15.05.2023 03:00","6753","6447"
"15.05.2023 03:00 - 15.05.2023 04:00","6750","6439"
"15.05.2023 04:00 - 15.05.2023 05:00","6913","6718"
"15.05.2023 05:00 - 15.05.2023 06:00","7517","7397"
"15.05.2023 06:00 - 15.05.2023 07:00","7884","7891"
"15.05.2023 07:00 - 15.05.2023 08:00","8091","8085"
"15.05.2023 08:00 - 15.05.2023 09:00","8159","8131"
"15.05.2023 09:00 - 15.05.2023 10:00","8151","8125"
"15.05.2023 10:00 - 15.05.2023 11:00","8141","8111"
"15.05.2023 11:00 - 15.05.2023 12:00","8124","8174"
"15.05.2023 12:00 - 15.05.2023 13:00","8036","8177"
"15.05.2023 13:00 - 15.05.2023 14:00","7956","8130"
"15.05.2023 14:00 - 15.05.2023 15:00","7904","8029"
"15.05.2023 15:00 - 15.05.2023 16:00","7861","7989"
"15.05.2023 16:00 - 15.05.2023 17:00","7842","8009"
"15.05.2023 17:00 - 15.05.2023 18:00","7795","7840"
"15.05.2023 18:00 - 15.05.2023 19:00","7821","7893"
"15.05.2023 19:00 - 15.05.2023 20:00","7765","7742"
"15.05.2023 20:00 - 15.05.2023 21:00","7549","7493"
"15.05.2023 21:00 - 15.05.2023 22:00","7679","7573"
"15.05.2023 22:00 - 15.05.2023 23:00","7566","7451"
"15.05.2023 23:00 - 16.05.2023 00:00","7161","7027"
"16.05.2023 00:00 - 16.05.2023 01:00","6783","6746"
"16.05.2023 01:00 - 16.05.2023 02:00","6662","6607"
"16.05.2023 02:00 - 16.05.2023 03:00","6574","6491"
"16.05.2023 03:00 - 16.05.2023 04:00","6614","6392"
"16.05.2023 04:00 - 16.05.2023 05:00","6769","6482"
"16.05.2023 05:00 - 16.05.2023 06:00","7396","7140"
"16.05.2023 06:00 - 16.05.2023 07:00","7821","7664"
"16.05.2023 07:00 - 16.05.2023 08:00","8033","7916"
"16.05.2023 08:00 - 16.05.2023 09:00","8135","8051"
"16.05.2023 09:00 - 16.05.2023 10:00","8115","8193"
"16.05.2023 10:00 - 16.05.2023 11:00","8155","8259"
"16.05.2023 11:00 - 16.05.2023 12:00","8184","8217"
"16.05.2023 12:00 - 16.05.2023 13:00","8137","8057"
"16.05.2023 13:00 - 16.05.2023 14:00","8086","7936"
"16.05.2023 14:00 - 16.05.2023 15:00","8063","7957"
"16.05.2023 15:00 - 16.05.2023 16:00","8059","7977"
"16.05.2023 16:00 - 16.05.2023 17:00","8067","8081"
"16.05.2023 17:00 - 16.05.2023 18:00","8036","8105"
"16.05.2023 18:00 - 16.05.2023 19:00","8092","8082"
"16.05.2023 19:00 - 16.05.2023 20:00","8011","7887"
"16.05.2023 20:00 - 16.05.2023 21:00","7739","7556"
"16.05.2023 21:00 - 16.05.2023 22:00","7848","7667"
"16.05.2023 22:00 - 16.05.2023 23:00","7701","7466"
"16.05.2023 23:00 - 17.05.2023 00:00","7287","7049"
"17.05.2023 00:00 - 17.05.2023 01:00","6822","6728"
"17.05.2023 01:00 - 17.05.2023 02:00","6720","6636"
"17.05.2023 02:00 - 17.05.2023 03:00","6617","6629"
"17.05.2023 03:00 - 17.05.2023 04:00","6647","6553"
"17.05.2023 04:00 - 17.05.2023 05:00","6809","6688"
"17.05.2023 05:00 - 17.05.2023 06:00","7480","7364"
"17.05.2023 06:00 - 17.05.2023 07:00","7967","7903"
"17.05.2023 07:00 - 17.05.2023 08:00","8223","8233"
"17.05.2023 08:00 - 17.05.2023 09:00","8362","8476"
"17.05.2023 09:00 - 17.05.2023 10:00","8394","8539"
"17.05.2023 10:00 - 17.05.2023 11:00","8510","8584"
"17.05.2023 11:00 - 17.05.2023 12:00","8493","8661"
"17.05.2023 12:00 - 17.05.2023 13:00","8406","8540"
"17.05.2023 13:00 - 17.05.2023 14:00","8318","8438"
"17.05.2023 14:00 - 17.05.2023 15:00","8310","8411"
"17.05.2023 15:00 - 17.05.2023 16:00","8277","8476"
"17.05.2023 16:00 - 17.05.2023 17:00","8300","8476"
"17.05.2023 17:00 - 17.05.2023 18:00","8264","8487"
"17.05.2023 18:00 - 17.05.2023 19:00","8296","8567"
"17.05.2023 19:00 - 17.05.2023 20:00","8195","8371"
"17.05.2023 20:00 - 17.05.2023 21:00","7923","7977"
"17.05.2023 21:00 - 17.05.2023 22:00","8047","8082"
"17.05.2023 22:00 - 17.05.2023 23:00","7934","7988"
"17.05.2023 23:00 - 18.05.2023 00:00","7723","7544"
"18.05.2023 00:00 - 18.05.2023 01:00","7325","7239"
"18.05.2023 01:00 - 18.05.2023 02:00","7165","7077"
"18.05.2023 02:00 - 18.05.2023 03:00","7027","7006"
"18.05.2023 03:00 - 18.05.2023 04:00","6968","6944"
"18.05.2023 04:00 - 18.05.2023 05:00","6987","6941"
"18.05.2023 05:00 - 18.05.2023 06:00","7352","7208"
"18.05.2023 06:00 - 18.05.2023 07:00","7660","7467"
"18.05.2023 07:00 - 18.05.2023 08:00","7879","7694"
"18.05.2023 08:00 - 18.05.2023 09:00","8085","7820"
"18.05.2023 09:00 - 18.05.2023 10:00","8226","7961"
"18.05.2023 10:00 - 18.05.2023 11:00","8448","7962"
"18.05.2023 11:00 - 18.05.2023 12:00","8466","7940"
"18.05.2023 12:00 - 18.05.2023 13:00","8428","7897"
"18.05.2023 13:00 - 18.05.2023 14:00","8371","7808"
"18.05.2023 14:00 - 18.05.2023 15:00","8379","7738"
"18.05.2023 15:00 - 18.05.2023 16:00","8386","7791"
"18.05.2023 16:00 - 18.05.2023 17:00","8392","7814"
"18.05.2023 17:00 - 18.05.2023 18:00","8429","7822"
"18.05.2023 18:00 - 18.05.2023 19:00","8435","7967"
"18.05.2023 19:00 - 18.05.2023 20:00","8318","7921"
"18.05.2023 20:00 - 18.05.2023 21:00","8081","7649"
"18.05.2023 21:00 - 18.05.2023 22:00","8234","7812"
"18.05.2023 22:00 - 18.05.2023 23:00","8171","7767"
"18.05.2023 23:00 - 19.05.2023 00:00","7838","7501"
"19.05.2023 00:00 - 19.05.2023 01:00","7220","7277"
"19.05.2023 01:00 - 19.05.2023 02:00","7051","7122"
"19.05.2023 02:00 - 19.05.2023 03:00","6994","6958"
"19.05.2023 03:00 - 19.05.2023 04:00","6986","6902"
"19.05.2023 04:00 - 19.05.2023 05:00","7129","7081"
"19.05.2023 05:00 - 19.05.2023 06:00","7613","7530"
"19.05.2023 06:00 - 19.05.2023 07:00","8006","7789"
"19.05.2023 07:00 - 19.05.2023 08:00","8315","7887"
"19.05.2023 08:00 - 19.05.2023 09:00","8447","7891"
"19.05.2023 09:00 - 19.05.2023 10:00","8470","7854"
"19.05.2023 10:00 - 19.05.2023 11:00","8460","7829"
"19.05.2023 11:00 - 19.05.2023 12:00","8407","7739"
"19.05.2023 12:00 - 19.05.2023 13:00","8296","7650"
"19.05.2023 13:00 - 19.05.2023 14:00","8235","7580"
"19.05.2023 14:00 - 19.05.2023 15:00","8182","7580"
"19.05.2023 15:00 - 19.05.2023 16:00","8170","7720"
"19.05.2023 16:00 - 19.05.2023 17:00","8139","7765"
"19.05.2023 17:00 - 19.05.2023 18:00","8111","7733"
"19.05.2023 18:00 - 19.05.2023 19:00","8120","7766"
"19.05.2023 19:00 - 19.05.2023 20:00","8106","7705"
"19.05.2023 20:00 - 19.05.2023 21:00","7806","7493"
"19.05.2023 21:00 - 19.05.2023 22:00","7901","7637"
"19.05.2023 22:00 - 19.05.2023 23:00","7845","7598"
"19.05.2023 23:00 - 20.05.2023 00:00","7544","7267"
"20.05.2023 00:00 - 20.05.2023 01:00","7112","6985"
"20.05.2023 01:00 - 20.05.2023 02:00","6992","6859"
"20.05.2023 02:00 - 20.05.2023 03:00","6952","6741"
"20.05.2023 03:00 - 20.05.2023 04:00","6882","6673"
"20.05.2023 04:00 - 20.05.2023 05:00","6896","6669"
"20.05.2023 05:00 - 20.05.2023 06:00","7048","6768"
"20.05.2023 06:00 - 20.05.2023 07:00","7144","6831"
"20.05.2023 07:00 - 20.05.2023 08:00","7288","6954"
"20.05.2023 08:00 - 20.05.2023 09:00","7421","7072"
"20.05.2023 09:00 - 20.05.2023 10:00","7515","7155"
"20.05.2023 10:00 - 20.05.2023 11:00","7542","7195"
"20.05.2023 11:00 - 20.05.2023 12:00","7531","7203"
"20.05.2023 12:00 - 20.05.2023 13:00","7490","7176"
"20.05.2023 13:00 - 20.05.2023 14:00","7475","7153"
"20.05.2023 14:00 - 20.05.2023 15:00","7478","7240"
"20.05.2023 15:00 - 20.05.2023 16:00","7507","7321"
"20.05.2023 16:00 - 20.05.2023 17:00","7583","7384"
"20.05.2023 17:00 - 20.05.2023 18:00","7655","7455"
"20.05.2023 18:00 - 20.05.2023 19:00","7683","7510"
"20.05.2023 19:00 - 20.05.2023 20:00","7574","7378"
"20.05.2023 20:00 - 20.05.2023 21:00","7385","7137"
"20.05.2023 21:00 - 20.05.2023 22:00","7533","7252"
"20.05.2023 22:00 - 20.05.2023 23:00","7541","7338"
"20.05.2023 23:00 - 21.05.2023 00:00","7171","7059"
"21.05.2023 00:00 - 21.05.2023 01:00","6710","6830"
"21.05.2023 01:00 - 21.05.2023 02:00","6612","6699"
"21.05.2023 02:00 - 21.05.2023 02:15","6543","6614"
"21.05.2023 02:15 - 21.05.2023 02:30","6543","6614"
"21.05.2023 02:30 - 21.05.2023 02:45","6543","6614"
"21.05.2023 02:45 - 21.05.2023 03:00","6543","6614"
"21.05.2023 03:00 - 21.05.2023 03:15","6521","6506"
"21.05.2023 03:15 - 21.05.2023 03:30","6521","6506"
"21.05.2023 03:30 - 21.05.2023 03:45","6521","6506"
"21.05.2023 03:45 - 21.05.2023 04:00","6521","6506"
"21.05.2023 04:00 - 21.05.2023 04:15","6480","6554"
"21.05.2023 04:15 - 21.05.2023 04:30","6480","6554"
"21.05.2023 04:30 - 21.05.2023 04:45","6480","6554"
"21.05.2023 04:45 - 21.05.2023 05:00","6480","6554"
"21.05.2023 05:00 - 21.05.2023 05:15","6571","6542"
"21.05.2023 05:15 - 21.05.2023 05:30","6571","6542"
"21.05.2023 05:30 - 21.05.2023 05:45","6571","6542"
"21.05.2023 05:45 - 21.05.2023 06:00","6571","6542"
"21.05.2023 06:00 - 21.05.2023 06:15","6596","6534"
"21.05.2023 06:15 - 21.05.2023 06:30","6596","6534"
"21.05.2023 06:30 - 21.05.2023 06:45","6596","6534"
"21.05.2023 06:45 - 21.05.2023 07:00","6596","6534"
"21.05.2023 07:00 - 21.05.2023 07:15","6713","6624"
"21.05.2023 07:15 - 21.05.2023 07:30","6713","6624"
"21.05.2023 07:30 - 21.05.2023 07:45","6713","6624"
"21.05.2023 07:45 - 21.05.2023 08:00","6713","6624"
"21.05.2023 08:00 - 21.05.2023 08:15","6883","6751"
"21.05.2023 08:15 - 21.05.2023 08:30","6883","6751"
"21.05.2023 08:30 - 21.05.2023 08:45","6883","6751"
"21.05.2023 08:45 - 21.05.2023 09:00","6883","6751"
"21.05.2023 09:00 - 21.05.2023 09:15","6996","6930"
"21.05.2023 09:15 - 21.05.2023 09:30","6996","6930"
"21.05.2023 09:30 - 21.05.2023 09:45","6996","6930"
"21.05.2023 09:45 - 21.05.2023 10:00","6996","6930"
"21.05.2023 10:00 - 21.05.2023 10:15","7182","6969"
"21.05.2023 10:15 - 21.05.2023 10:30","7182","6969"
"21.05.2023 10:30 - 21.05.2023 10:45","7182","6969"
"21.05.2023 10:45 - 21.05.2023 11:00","7182","6969"
"21.05.2023 11:00 - 21.05.2023 11:15","7226","7024"
"21.05.2023 11:15 - 21.05.2023 11:30","7226","7024"
"21.05.2023 11:30 - 21.05.2023 11:45","7226","7024"
"21.05.2023 11:45 - 21.05.2023 12:00","7226","7024"
"21.05.2023 12:00 - 21.05.2023 12:15","7225","7025"
"21.05.2023 12:15 - 21.05.2023 12:30","7225","7025"
"21.05.2023 12:30 - 21.05.2023 12:45","7225","7025"
"21.05.2023 12:45 - 21.05.2023 13:00","7225","7025"
"21.05.2023 13:00 - 21.05.2023 13:15","7211","7028"
"21.05.2023 13:15 - 21.05.2023 13:30","7211","7028"
"21.05.2023 13:30 - 21.05.2023 13:45","7211","7028"
"21.05.2023 13:45 - 21.05.2023 14:00","7211","7028"
"21.05.2023 14:00 - 21.05.2023 14:15","7214","7053"
"21.05.2023 14:15 - 21.05.2023 14:30","7214","7053"
"21.05.2023 14:30 - 21.05.2023 14:45","7214","7053"
"21.05.2023 14:45 - 21.05.2023 15:00","7214","7053"
"21.05.2023 15:00 - 21.05.2023 15:15","7215","7132"
"21.05.2023 15:15 - 21.05.2023 15:30","7215","7132"
"21.05.2023 15:30 - 21.05.2023 15:45","7215","7132"
"21.05.2023 15:45 - 21.05.2023 16:00","7215","7132"
"21.05.2023 16:00 - 21.05.2023 16:15","7250","7168"
"21.05.2023 16:15 - 21.05.2023 16:30","7250","7168"
"21.05.2023 16:30 - 21.05.2023 16:45","7250","7168"
"21.05.2023 16:45 - 21.05.2023 17:00","7250","7168"
"21.05.2023 17:00 - 21.05.2023 17:15","7305","7184"
"21.05.2023 17:15 - 21.05.2023 17:30","7305","7184"
"21.05.2023 17:30 - 21.05.2023 17:45","7305","7184"
"21.05.2023 17:45 - 21.05.2023 18:00","7305","7184"
"21.05.2023 18:00 - 21.05.2023 18:15","7353","7274"
"21.05.2023 18:15 - 21.05.2023 18:30","7353","7274"
"21.05.2023 18:30 - 21.05.2023 18:45","7353","7274"
"21.05.2023 18:45 - 21.05.2023 19:00","7353","7274"
"21.05.2023 19:00 - 21.05.2023 19:15","7327","7223"
"21.05.2023 19:15 - 21.05.2023 19:30","7327","7223"
