"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2023 00:00 - 01.01.2023 00:15","42609","38692"
"01.01.2023 00:15 - 01.01.2023 00:30","42152","38374"
"01.01.2023 00:30 - 01.01.2023 00:45","41520","38248"
"01.01.2023 00:45 - 01.01.2023 01:00","40889","38070"
"01.01.2023 01:00 - 01.01.2023 01:15","40431","37733"
"01.01.2023 01:15 - 01.01.2023 01:30","39862","37634"
"01.01.2023 01:30 - 01.01.2023 01:45","39342","38044"
"01.01.2023 01:45 - 01.01.2023 02:00","38849","37698"
"01.01.2023 02:00 - 01.01.2023 02:15","38663","37277"
"01.01.2023 02:15 - 01.01.2023 02:30","38551","37067"
"01.01.2023 02:30 - 01.01.2023 02:45","38062","36847"
"01.01.2023 02:45 - 01.01.2023 03:00","37687","36568"
"01.01.2023 03:00 - 01.01.2023 03:15","37247","36371"
"01.01.2023 03:15 - 01.01.2023 03:30","37266","35858"
"01.01.2023 03:30 - 01.01.2023 03:45","37175","35736"
"01.01.2023 03:45 - 01.01.2023 04:00","37134","35765"
"01.01.2023 04:00 - 01.01.2023 04:15","37393","35625"
"01.01.2023 04:15 - 01.01.2023 04:30","37457","35420"
"01.01.2023 04:30 - 01.01.2023 04:45","37343","35399"
"01.01.2023 04:45 - 01.01.2023 05:00","37114","35501"
"01.01.2023 05:00 - 01.01.2023 05:15","36958","35655"
"01.01.2023 05:15 - 01.01.2023 05:30","36462","35653"
"01.01.2023 05:30 - 01.01.2023 05:45","36016","35726"
"01.01.2023 05:45 - 01.01.2023 06:00","35540","35555"
"01.01.2023 06:00 - 01.01.2023 06:15","34803","35196"
"01.01.2023 06:15 - 01.01.2023 06:30","34870","35392"
"01.01.2023 06:30 - 01.01.2023 06:45","34331","35152"
"01.01.2023 06:45 - 01.01.2023 07:00","34345","35187"
"01.01.2023 07:00 - 01.01.2023 07:15","34644","35834"
"01.01.2023 07:15 - 01.01.2023 07:30","34760","36061"
"01.01.2023 07:30 - 01.01.2023 07:45","35169","36278"
"01.01.2023 07:45 - 01.01.2023 08:00","35216","36516"
"01.01.2023 08:00 - 01.01.2023 08:15","36035","36244"
"01.01.2023 08:15 - 01.01.2023 08:30","36206","36530"
