"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Austria (AT)","Actual Total Load [MW] - Austria (AT)"
"01.04.2023 03:30 - 01.04.2023 03:45","5176","5356"
"01.04.2023 03:45 - 01.04.2023 04:00","5136","5378"
"01.04.2023 04:00 - 01.04.2023 04:15","5120","5398"
"01.04.2023 04:15 - 01.04.2023 04:30","5100","5387"
"01.04.2023 04:30 - 01.04.2023 04:45","5088","5402"
"01.04.2023 04:45 - 01.04.2023 05:00","5088","5429"
"01.04.2023 05:00 - 01.04.2023 05:15","5104","5542"
"01.04.2023 05:15 - 01.04.2023 05:30","5124","5624"
"01.04.2023 05:30 - 01.04.2023 05:45","5152","5704"
"01.04.2023 05:45 - 01.04.2023 06:00","5204","5763"
"01.04.2023 06:00 - 01.04.2023 06:15","5272","5861"
"01.04.2023 06:15 - 01.04.2023 06:30","5324","5975"
"01.04.2023 06:30 - 01.04.2023 06:45","5404","5989"
"01.04.2023 06:45 - 01.04.2023 07:00","5484","6064"
"01.04.2023 07:00 - 01.04.2023 07:15","5564","6201"
"01.04.2023 07:15 - 01.04.2023 07:30","5660","6272"
"01.04.2023 07:30 - 01.04.2023 07:45","5736","6344"
"01.04.2023 07:45 - 01.04.2023 08:00","5824","6425"
"01.04.2023 08:00 - 01.04.2023 08:15","5940","6532"
"01.04.2023 08:15 - 01.04.2023 08:30","6044","6548"
"01.04.2023 08:30 - 01.04.2023 08:45","6136","6573"
"01.04.2023 08:45 - 01.04.2023 09:00","6228","6627"
"01.04.2023 09:00 - 01.04.2023 09:15","6336","6668"
"01.04.2023 09:15 - 01.04.2023 09:30","6388","6671"
"01.04.2023 09:30 - 01.04.2023 09:45","6440","6722"
"01.04.2023 09:45 - 01.04.2023 10:00","6484","6718"
"01.04.2023 10:00 - 01.04.2023 10:15","6552","6720"
"01.04.2023 10:15 - 01.04.2023 10:30","6568","6710"
"01.04.2023 10:30 - 01.04.2023 10:45","6592","6749"
"01.04.2023 10:45 - 01.04.2023 11:00","6596","6785"
"01.04.2023 11:00 - 01.04.2023 11:15","6592","6798"
"01.04.2023 11:15 - 01.04.2023 11:30","6596","6875"
"01.04.2023 11:30 - 01.04.2023 11:45","6572","6896"
"01.04.2023 11:45 - 01.04.2023 12:00","6564","6834"
"01.04.2023 12:00 - 01.04.2023 12:15","6556","6814"
"01.04.2023 12:15 - 01.04.2023 12:30","6564","6717"
"01.04.2023 12:30 - 01.04.2023 12:45","6548","6656"
"01.04.2023 12:45 - 01.04.2023 13:00","6480","6604"
"01.04.2023 13:00 - 01.04.2023 13:15","6412","6631"
"01.04.2023 13:15 - 01.04.2023 13:30","6292","6502"
"01.04.2023 13:30 - 01.04.2023 13:45","6188","6485"
"01.04.2023 13:45 - 01.04.2023 14:00","6124","6369"
"01.04.2023 14:00 - 01.04.2023 14:15","6104","6344"
"01.04.2023 14:15 - 01.04.2023 14:30","6060","6298"
"01.04.2023 14:30 - 01.04.2023 14:45","5996","6279"
"01.04.2023 14:45 - 01.04.2023 15:00","5952","6240"
"01.04.2023 15:00 - 01.04.2023 15:15","5928","6177"
"01.04.2023 15:15 - 01.04.2023 15:30","5892","6108"
"01.04.2023 15:30 - 01.04.2023 15:45","5896","6100"
"01.04.2023 15:45 - 01.04.2023 16:00","5876","6088"
"01.04.2023 16:00 - 01.04.2023 16:15","5868","6095"
"01.04.2023 16:15 - 01.04.2023 16:30","5860","6048"
"01.04.2023 16:30 - 01.04.2023 16:45","5904","6114"
"01.04.2023 16:45 - 01.04.2023 17:00","5928","6122"
"01.04.2023 17:00 - 01.04.2023 17:15","5936","6140"
"01.04.2023 17:15 - 01.04.2023 17:30","5980","6188"
"01.04.2023 17:30 - 01.04.2023 17:45","6052","6274"
"01.04.2023 17:45 - 01.04.2023 18:00","6128","6344"
"01.04.2023 18:00 - 01.04.2023 18:15","6212","6412"
"01.04.2023 18:15 - 01.04.2023 18:30","6296","6418"
"01.04.2023 18:30 - 01.04.2023 18:45","6384","6442"
"01.04.2023 18:45 - 01.04.2023 19:00","6496","6506"
"01.04.2023 19:00 - 01.04.2023 19:15","6600","6563"
"01.04.2023 19:15 - 01.04.2023 19:30","6656","6613"
"01.04.2023 19:30 - 01.04.2023 19:45","6704","6646"
"01.04.2023 19:45 - 01.04.2023 20:00","6716","6633"
"01.04.2023 20:00 - 01.04.2023 20:15","6704","6577"
"01.04.2023 20:15 - 01.04.2023 20:30","6652","6497"
"01.04.2023 20:30 - 01.04.2023 20:45","6580","6425"
"01.04.2023 20:45 - 01.04.2023 21:00","6500","6296"
"01.04.2023 21:00 - 01.04.2023 21:15","6404","6186"
"01.04.2023 21:15 - 01.04.2023 21:30","6312","6103"
"01.04.2023 21:30 - 01.04.2023 21:45","6220","6046"
"01.04.2023 21:45 - 01.04.2023 22:00","6116","5973"
"01.04.2023 22:00 - 01.04.2023 22:15","6028","6154"
"01.04.2023 22:15 - 01.04.2023 22:30","5924","6102"
"01.04.2023 22:30 - 01.04.2023 22:45","5844","5982"
"01.04.2023 22:45 - 01.04.2023 23:00","5780","5882"
"01.04.2023 23:00 - 01.04.2023 23:15","5956","5817"
"01.04.2023 23:15 - 01.04.2023 23:30","5896","5690"
"01.04.2023 23:30 - 01.04.2023 23:45","5768","5563"
"01.04.2023 23:45 - 02.04.2023 00:00","5664","5440"
"02.04.2023 00:00 - 02.04.2023 00:15","6000","5505"
"02.04.2023 00:15 - 02.04.2023 00:30","5876","5345"
"02.04.2023 00:30 - 02.04.2023 00:45","5780","5266"
"02.04.2023 00:45 - 02.04.2023 01:00","5700","5186"
"02.04.2023 01:00 - 02.04.2023 01:15","5316","5147"
"02.04.2023 01:15 - 02.04.2023 01:30","5220","5089"
"02.04.2023 01:30 - 02.04.2023 01:45","5124","5063"
"02.04.2023 01:45 - 02.04.2023 02:00","5048","4977"
"02.04.2023 02:00 - 02.04.2023 02:15","5032","5055"
"02.04.2023 02:15 - 02.04.2023 02:30","4956","5036"
"02.04.2023 02:30 - 02.04.2023 02:45","4896","4977"
"02.04.2023 02:45 - 02.04.2023 03:00","4816","4918"
"02.04.2023 03:00 - 02.04.2023 03:15","4876","4902"
"02.04.2023 03:15 - 02.04.2023 03:30","4856","4833"
"02.04.2023 03:30 - 02.04.2023 03:45","4836","4824"
"02.04.2023 03:45 - 02.04.2023 04:00","4824","4854"
"02.04.2023 04:00 - 02.04.2023 04:15","4784","4879"
"02.04.2023 04:15 - 02.04.2023 04:30","4780","4829"
"02.04.2023 04:30 - 02.04.2023 04:45","4800","4848"
"02.04.2023 04:45 - 02.04.2023 05:00","4816","4925"
"02.04.2023 05:00 - 02.04.2023 05:15","4872","5006"
"02.04.2023 05:15 - 02.04.2023 05:30","4916","5041"
"02.04.2023 05:30 - 02.04.2023 05:45","4960","5071"
"02.04.2023 05:45 - 02.04.2023 06:00","5016","5120"
"02.04.2023 06:00 - 02.04.2023 06:15","5080","5184"
"02.04.2023 06:15 - 02.04.2023 06:30","5144","5244"
"02.04.2023 06:30 - 02.04.2023 06:45","5212","5339"
"02.04.2023 06:45 - 02.04.2023 07:00","5264","5384"
"02.04.2023 07:00 - 02.04.2023 07:15","5332","5481"
"02.04.2023 07:15 - 02.04.2023 07:30","5372","5568"
"02.04.2023 07:30 - 02.04.2023 07:45","5412","5639"
"02.04.2023 07:45 - 02.04.2023 08:00","5464","5710"
"02.04.2023 08:00 - 02.04.2023 08:15","5560","5761"
"02.04.2023 08:15 - 02.04.2023 08:30","5600","5846"
"02.04.2023 08:30 - 02.04.2023 08:45","5664","5932"
"02.04.2023 08:45 - 02.04.2023 09:00","5700","5928"
"02.04.2023 09:00 - 02.04.2023 09:15","5732","6029"
"02.04.2023 09:15 - 02.04.2023 09:30","5736","6090"
"02.04.2023 09:30 - 02.04.2023 09:45","5744","6114"
"02.04.2023 09:45 - 02.04.2023 10:00","5760","6142"
"02.04.2023 10:00 - 02.04.2023 10:15","5848","6207"
"02.04.2023 10:15 - 02.04.2023 10:30","5876","6238"
"02.04.2023 10:30 - 02.04.2023 10:45","5884","6271"
"02.04.2023 10:45 - 02.04.2023 11:00","5908","6373"
"02.04.2023 11:00 - 02.04.2023 11:15","5840","6417"
"02.04.2023 11:15 - 02.04.2023 11:30","5868","6476"
"02.04.2023 11:30 - 02.04.2023 11:45","5880","6445"
"02.04.2023 11:45 - 02.04.2023 12:00","5820","6438"
"02.04.2023 12:00 - 02.04.2023 12:15","5856","6440"
"02.04.2023 12:15 - 02.04.2023 12:30","5776","6331"
"02.04.2023 12:30 - 02.04.2023 12:45","5724","6220"
"02.04.2023 12:45 - 02.04.2023 13:00","5692","6182"
"02.04.2023 13:00 - 02.04.2023 13:15","5696","6218"
"02.04.2023 13:15 - 02.04.2023 13:30","5652","6210"
"02.04.2023 13:30 - 02.04.2023 13:45","5632","6189"
"02.04.2023 13:45 - 02.04.2023 14:00","5616","6114"
"02.04.2023 14:00 - 02.04.2023 14:15","5608","6121"
"02.04.2023 14:15 - 02.04.2023 14:30","5596","6100"
"02.04.2023 14:30 - 02.04.2023 14:45","5568","6054"
"02.04.2023 14:45 - 02.04.2023 15:00","5556","5992"
"02.04.2023 15:00 - 02.04.2023 15:15","5532","5972"
"02.04.2023 15:15 - 02.04.2023 15:30","5544","5962"
"02.04.2023 15:30 - 02.04.2023 15:45","5580","5964"
"02.04.2023 15:45 - 02.04.2023 16:00","5624","5900"
"02.04.2023 16:00 - 02.04.2023 16:15","5680","5901"
"02.04.2023 16:15 - 02.04.2023 16:30","5684","5906"
"02.04.2023 16:30 - 02.04.2023 16:45","5720","5996"
"02.04.2023 16:45 - 02.04.2023 17:00","5788","6007"
"02.04.2023 17:00 - 02.04.2023 17:15","5732","6059"
"02.04.2023 17:15 - 02.04.2023 17:30","5828","6108"
"02.04.2023 17:30 - 02.04.2023 17:45","5928","6183"
"02.04.2023 17:45 - 02.04.2023 18:00","6032","6240"
"02.04.2023 18:00 - 02.04.2023 18:15","6124","6368"
"02.04.2023 18:15 - 02.04.2023 18:30","6232","6393"
"02.04.2023 18:30 - 02.04.2023 18:45","6308","6450"
"02.04.2023 18:45 - 02.04.2023 19:00","6384","6529"
"02.04.2023 19:00 - 02.04.2023 19:15","6440","6605"
"02.04.2023 19:15 - 02.04.2023 19:30","6464","6637"
"02.04.2023 19:30 - 02.04.2023 19:45","6476","6649"
"02.04.2023 19:45 - 02.04.2023 20:00","6468","6647"
"02.04.2023 20:00 - 02.04.2023 20:15","6456","6571"
"02.04.2023 20:15 - 02.04.2023 20:30","6404","6518"
"02.04.2023 20:30 - 02.04.2023 20:45","6340","6455"
"02.04.2023 20:45 - 02.04.2023 21:00","6272","6334"
"02.04.2023 21:00 - 02.04.2023 21:15","6200","6206"
"02.04.2023 21:15 - 02.04.2023 21:30","6104","6121"
"02.04.2023 21:30 - 02.04.2023 21:45","6024","6095"
"02.04.2023 21:45 - 02.04.2023 22:00","5944","6085"
"02.04.2023 22:00 - 02.04.2023 22:15","6100","6320"
"02.04.2023 22:15 - 02.04.2023 22:30","6052","6310"
"02.04.2023 22:30 - 02.04.2023 22:45","5936","6196"
"02.04.2023 22:45 - 02.04.2023 23:00","5856","6090"
"02.04.2023 23:00 - 02.04.2023 23:15","5860","6048"
"02.04.2023 23:15 - 02.04.2023 23:30","5724","5958"
"02.04.2023 23:30 - 02.04.2023 23:45","5616","5856"
"02.04.2023 23:45 - 03.04.2023 00:00","5540","5825"
"03.04.2023 00:00 - 03.04.2023 00:15","6084","5907"
"03.04.2023 00:15 - 03.04.2023 00:30","5992","5824"
"03.04.2023 00:30 - 03.04.2023 00:45","5900","5711"
"03.04.2023 00:45 - 03.04.2023 01:00","5808","5603"
"03.04.2023 01:00 - 03.04.2023 01:15","5784","5571"
"03.04.2023 01:15 - 03.04.2023 01:30","5716","5547"
"03.04.2023 01:30 - 03.04.2023 01:45","5664","5492"
"03.04.2023 01:45 - 03.04.2023 02:00","5608","5466"
"03.04.2023 02:00 - 03.04.2023 02:15","5684","5532"
"03.04.2023 02:15 - 03.04.2023 02:30","5644","5508"
"03.04.2023 02:30 - 03.04.2023 02:45","5600","5481"
"03.04.2023 02:45 - 03.04.2023 03:00","5572","5428"
"03.04.2023 03:00 - 03.04.2023 03:15","5576","5454"
"03.04.2023 03:15 - 03.04.2023 03:30","5568","5446"
"03.04.2023 03:30 - 03.04.2023 03:45","5568","5459"
"03.04.2023 03:45 - 03.04.2023 04:00","5584","5458"
"03.04.2023 04:00 - 03.04.2023 04:15","5656","5580"
"03.04.2023 04:15 - 03.04.2023 04:30","5712","5617"
"03.04.2023 04:30 - 03.04.2023 04:45","5792","5702"
"03.04.2023 04:45 - 03.04.2023 05:00","5908","5798"
"03.04.2023 05:00 - 03.04.2023 05:15","6120","6068"
"03.04.2023 05:15 - 03.04.2023 05:30","6292","6259"
"03.04.2023 05:30 - 03.04.2023 05:45","6504","6441"
"03.04.2023 05:45 - 03.04.2023 06:00","6756","6657"
"03.04.2023 06:00 - 03.04.2023 06:15","7104","7125"
"03.04.2023 06:15 - 03.04.2023 06:30","7392","7338"
"03.04.2023 06:30 - 03.04.2023 06:45","7624","7579"
"03.04.2023 06:45 - 03.04.2023 07:00","7808","7770"
"03.04.2023 07:00 - 03.04.2023 07:15","8032","8021"
"03.04.2023 07:15 - 03.04.2023 07:30","8180","8203"
"03.04.2023 07:30 - 03.04.2023 07:45","8296","8346"
"03.04.2023 07:45 - 03.04.2023 08:00","8384","8415"
"03.04.2023 08:00 - 03.04.2023 08:15","8472","8505"
"03.04.2023 08:15 - 03.04.2023 08:30","8500","8518"
"03.04.2023 08:30 - 03.04.2023 08:45","8512","8572"
"03.04.2023 08:45 - 03.04.2023 09:00","8500","8625"
"03.04.2023 09:00 - 03.04.2023 09:15","8444","8502"
"03.04.2023 09:15 - 03.04.2023 09:30","8424","8551"
"03.04.2023 09:30 - 03.04.2023 09:45","8428","8510"
"03.04.2023 09:45 - 03.04.2023 10:00","8408","8509"
"03.04.2023 10:00 - 03.04.2023 10:15","8384","8481"
"03.04.2023 10:15 - 03.04.2023 10:30","8360","8527"
"03.04.2023 10:30 - 03.04.2023 10:45","8344","8546"
"03.04.2023 10:45 - 03.04.2023 11:00","8336","8596"
"03.04.2023 11:00 - 03.04.2023 11:15","8292","8582"
"03.04.2023 11:15 - 03.04.2023 11:30","8296","8601"
"03.04.2023 11:30 - 03.04.2023 11:45","8280","8626"
"03.04.2023 11:45 - 03.04.2023 12:00","8224","8572"
"03.04.2023 12:00 - 03.04.2023 12:15","8160","8559"
"03.04.2023 12:15 - 03.04.2023 12:30","8052","8379"
"03.04.2023 12:30 - 03.04.2023 12:45","8000","8334"
"03.04.2023 12:45 - 03.04.2023 13:00","7964","8274"
"03.04.2023 13:00 - 03.04.2023 13:15","7984","8261"
"03.04.2023 13:15 - 03.04.2023 13:30","7960","8175"
"03.04.2023 13:30 - 03.04.2023 13:45","7912","8166"
"03.04.2023 13:45 - 03.04.2023 14:00","7856","8033"
"03.04.2023 14:00 - 03.04.2023 14:15","7828","8006"
"03.04.2023 14:15 - 03.04.2023 14:30","7800","7948"
"03.04.2023 14:30 - 03.04.2023 14:45","7776","7904"
"03.04.2023 14:45 - 03.04.2023 15:00","7760","7820"
"03.04.2023 15:00 - 03.04.2023 15:15","7752","7820"
"03.04.2023 15:15 - 03.04.2023 15:30","7752","7750"
"03.04.2023 15:30 - 03.04.2023 15:45","7748","7736"
"03.04.2023 15:45 - 03.04.2023 16:00","7748","7723"
"03.04.2023 16:00 - 03.04.2023 16:15","7736","7679"
"03.04.2023 16:15 - 03.04.2023 16:30","7736","7633"
"03.04.2023 16:30 - 03.04.2023 16:45","7744","7654"
"03.04.2023 16:45 - 03.04.2023 17:00","7784","7652"
"03.04.2023 17:00 - 03.04.2023 17:15","7804","7712"
"03.04.2023 17:15 - 03.04.2023 17:30","7860","7764"
"03.04.2023 17:30 - 03.04.2023 17:45","7916","7806"
"03.04.2023 17:45 - 03.04.2023 18:00","7976","7846"
"03.04.2023 18:00 - 03.04.2023 18:15","8036","7931"
"03.04.2023 18:15 - 03.04.2023 18:30","8084","8015"
"03.04.2023 18:30 - 03.04.2023 18:45","8132","8090"
"03.04.2023 18:45 - 03.04.2023 19:00","8144","8128"
"03.04.2023 19:00 - 03.04.2023 19:15","8132","8185"
"03.04.2023 19:15 - 03.04.2023 19:30","8080","8212"
"03.04.2023 19:30 - 03.04.2023 19:45","8024","8194"
"03.04.2023 19:45 - 03.04.2023 20:00","7936","8139"
"03.04.2023 20:00 - 03.04.2023 20:15","7844","8046"
"03.04.2023 20:15 - 03.04.2023 20:30","7720","7964"
"03.04.2023 20:30 - 03.04.2023 20:45","7588","7842"
"03.04.2023 20:45 - 03.04.2023 21:00","7448","7720"
"03.04.2023 21:00 - 03.04.2023 21:15","7316","7524"
"03.04.2023 21:15 - 03.04.2023 21:30","7184","7346"
"03.04.2023 21:30 - 03.04.2023 21:45","7036","7214"
"03.04.2023 21:45 - 03.04.2023 22:00","6904","7147"
"03.04.2023 22:00 - 03.04.2023 22:15","7032","7226"
"03.04.2023 22:15 - 03.04.2023 22:30","6944","7130"
"03.04.2023 22:30 - 03.04.2023 22:45","6796","6996"
"03.04.2023 22:45 - 03.04.2023 23:00","6668","6865"
"03.04.2023 23:00 - 03.04.2023 23:15","6584","6851"
"03.04.2023 23:15 - 03.04.2023 23:30","6436","6763"
"03.04.2023 23:30 - 03.04.2023 23:45","6312","6614"
"03.04.2023 23:45 - 04.04.2023 00:00","6212","6527"
"04.04.2023 00:00 - 04.04.2023 00:15","5932","6629"
"04.04.2023 00:15 - 04.04.2023 00:30","5848","6497"
"04.04.2023 00:30 - 04.04.2023 00:45","5760","6405"
"04.04.2023 00:45 - 04.04.2023 01:00","5676","6296"
"04.04.2023 01:00 - 04.04.2023 01:15","5668","6214"
"04.04.2023 01:15 - 04.04.2023 01:30","5596","6183"
"04.04.2023 01:30 - 04.04.2023 01:45","5552","6123"
"04.04.2023 01:45 - 04.04.2023 02:00","5504","6113"
"04.04.2023 02:00 - 04.04.2023 02:15","5576","6172"
"04.04.2023 02:15 - 04.04.2023 02:30","5532","6093"
"04.04.2023 02:30 - 04.04.2023 02:45","5496","6070"
"04.04.2023 02:45 - 04.04.2023 03:00","5464","5971"
"04.04.2023 03:00 - 04.04.2023 03:15","5476","5999"
"04.04.2023 03:15 - 04.04.2023 03:30","5472","6019"
"04.04.2023 03:30 - 04.04.2023 03:45","5476","6026"
"04.04.2023 03:45 - 04.04.2023 04:00","5496","6068"
"04.04.2023 04:00 - 04.04.2023 04:15","5564","6142"
"04.04.2023 04:15 - 04.04.2023 04:30","5632","6184"
"04.04.2023 04:30 - 04.04.2023 04:45","5720","6243"
"04.04.2023 04:45 - 04.04.2023 05:00","5844","6299"
"04.04.2023 05:00 - 04.04.2023 05:15","6060","6602"
"04.04.2023 05:15 - 04.04.2023 05:30","6232","6766"
"04.04.2023 05:30 - 04.04.2023 05:45","6452","6974"
"04.04.2023 05:45 - 04.04.2023 06:00","6684","7141"
"04.04.2023 06:00 - 04.04.2023 06:15","7000","7519"
"04.04.2023 06:15 - 04.04.2023 06:30","7288","7768"
"04.04.2023 06:30 - 04.04.2023 06:45","7532","7898"
"04.04.2023 06:45 - 04.04.2023 07:00","7728","8048"
"04.04.2023 07:00 - 04.04.2023 07:15","7964","8255"
"04.04.2023 07:15 - 04.04.2023 07:30","8100","8354"
"04.04.2023 07:30 - 04.04.2023 07:45","8224","8426"
"04.04.2023 07:45 - 04.04.2023 08:00","8324","8546"
"04.04.2023 08:00 - 04.04.2023 08:15","8408","8537"
"04.04.2023 08:15 - 04.04.2023 08:30","8440","8517"
"04.04.2023 08:30 - 04.04.2023 08:45","8468","8492"
"04.04.2023 08:45 - 04.04.2023 09:00","8472","8452"
"04.04.2023 09:00 - 04.04.2023 09:15","8440","8310"
"04.04.2023 09:15 - 04.04.2023 09:30","8440","8280"
"04.04.2023 09:30 - 04.04.2023 09:45","8448","8290"
"04.04.2023 09:45 - 04.04.2023 10:00","8424","8256"
"04.04.2023 10:00 - 04.04.2023 10:15","8392","8180"
"04.04.2023 10:15 - 04.04.2023 10:30","8388","8205"
"04.04.2023 10:30 - 04.04.2023 10:45","8392","8188"
"04.04.2023 10:45 - 04.04.2023 11:00","8388","8123"
"04.04.2023 11:00 - 04.04.2023 11:15","8352","8106"
"04.04.2023 11:15 - 04.04.2023 11:30","8356","8056"
"04.04.2023 11:30 - 04.04.2023 11:45","8340","8039"
"04.04.2023 11:45 - 04.04.2023 12:00","8288","7964"
"04.04.2023 12:00 - 04.04.2023 12:15","8216","7799"
"04.04.2023 12:15 - 04.04.2023 12:30","8128","7612"
"04.04.2023 12:30 - 04.04.2023 12:45","8080","7538"
"04.04.2023 12:45 - 04.04.2023 13:00","8052","7435"
"04.04.2023 13:00 - 04.04.2023 13:15","8096","7420"
"04.04.2023 13:15 - 04.04.2023 13:30","8068","7343"
"04.04.2023 13:30 - 04.04.2023 13:45","8012","7281"
"04.04.2023 13:45 - 04.04.2023 14:00","7960","7186"
"04.04.2023 14:00 - 04.04.2023 14:15","7916","7116"
"04.04.2023 14:15 - 04.04.2023 14:30","7872","7107"
"04.04.2023 14:30 - 04.04.2023 14:45","7852","7028"
"04.04.2023 14:45 - 04.04.2023 15:00","7812","7012"
"04.04.2023 15:00 - 04.04.2023 15:15","7780","7014"
"04.04.2023 15:15 - 04.04.2023 15:30","7764","6961"
"04.04.2023 15:30 - 04.04.2023 15:45","7760","6979"
"04.04.2023 15:45 - 04.04.2023 16:00","7760","6971"
"04.04.2023 16:00 - 04.04.2023 16:15","7752","6946"
"04.04.2023 16:15 - 04.04.2023 16:30","7748","7008"
"04.04.2023 16:30 - 04.04.2023 16:45","7760","7017"
"04.04.2023 16:45 - 04.04.2023 17:00","7796","7076"
"04.04.2023 17:00 - 04.04.2023 17:15","7824","7143"
"04.04.2023 17:15 - 04.04.2023 17:30","7880","7236"
"04.04.2023 17:30 - 04.04.2023 17:45","7944","7310"
"04.04.2023 17:45 - 04.04.2023 18:00","8016","7370"
"04.04.2023 18:00 - 04.04.2023 18:15","8060","7564"
"04.04.2023 18:15 - 04.04.2023 18:30","8096","7640"
"04.04.2023 18:30 - 04.04.2023 18:45","8140","7776"
"04.04.2023 18:45 - 04.04.2023 19:00","8160","7893"
"04.04.2023 19:00 - 04.04.2023 19:15","8152","7915"
"04.04.2023 19:15 - 04.04.2023 19:30","8112","7950"
"04.04.2023 19:30 - 04.04.2023 19:45","8052","7984"
"04.04.2023 19:45 - 04.04.2023 20:00","7984","7986"
"04.04.2023 20:00 - 04.04.2023 20:15","7896","7918"
"04.04.2023 20:15 - 04.04.2023 20:30","7788","7850"
"04.04.2023 20:30 - 04.04.2023 20:45","7676","7748"
"04.04.2023 20:45 - 04.04.2023 21:00","7544","7616"
"04.04.2023 21:00 - 04.04.2023 21:15","7420","7451"
"04.04.2023 21:15 - 04.04.2023 21:30","7288","7325"
"04.04.2023 21:30 - 04.04.2023 21:45","7152","7162"
"04.04.2023 21:45 - 04.04.2023 22:00","7016","7065"
"04.04.2023 22:00 - 04.04.2023 22:15","7112","7210"
"04.04.2023 22:15 - 04.04.2023 22:30","7020","7104"
"04.04.2023 22:30 - 04.04.2023 22:45","6864","6936"
"04.04.2023 22:45 - 04.04.2023 23:00","6740","6841"
"04.04.2023 23:00 - 04.04.2023 23:15","6636","6781"
"04.04.2023 23:15 - 04.04.2023 23:30","6488","6619"
"04.04.2023 23:30 - 04.04.2023 23:45","6364","6536"
"04.04.2023 23:45 - 05.04.2023 00:00","6264","6476"
"05.04.2023 00:00 - 05.04.2023 00:15","6356","6460"
"05.04.2023 00:15 - 05.04.2023 00:30","6276","6351"
"05.04.2023 00:30 - 05.04.2023 00:45","6188","6243"
"05.04.2023 00:45 - 05.04.2023 01:00","6108","6215"
"05.04.2023 01:00 - 05.04.2023 01:15","6092","6172"
"05.04.2023 01:15 - 05.04.2023 01:30","6032","6135"
"05.04.2023 01:30 - 05.04.2023 01:45","5980","6112"
"05.04.2023 01:45 - 05.04.2023 02:00","5936","6086"
"05.04.2023 02:00 - 05.04.2023 02:15","6000","6165"
"05.04.2023 02:15 - 05.04.2023 02:30","5960","6144"
"05.04.2023 02:30 - 05.04.2023 02:45","5920","6078"
"05.04.2023 02:45 - 05.04.2023 03:00","5888","6057"
"05.04.2023 03:00 - 05.04.2023 03:15","5884","6069"
"05.04.2023 03:15 - 05.04.2023 03:30","5880","6009"
"05.04.2023 03:30 - 05.04.2023 03:45","5892","6068"
"05.04.2023 03:45 - 05.04.2023 04:00","5916","6064"
"05.04.2023 04:00 - 05.04.2023 04:15","5972","6150"
"05.04.2023 04:15 - 05.04.2023 04:30","6028","6176"
"05.04.2023 04:30 - 05.04.2023 04:45","6108","6187"
"05.04.2023 04:45 - 05.04.2023 05:00","6200","6265"
"05.04.2023 05:00 - 05.04.2023 05:15","6384","6526"
"05.04.2023 05:15 - 05.04.2023 05:30","6528","6672"
"05.04.2023 05:30 - 05.04.2023 05:45","6740","6838"
"05.04.2023 05:45 - 05.04.2023 06:00","6996","7053"
"05.04.2023 06:00 - 05.04.2023 06:15","7328","7464"
"05.04.2023 06:15 - 05.04.2023 06:30","7604","7721"
"05.04.2023 06:30 - 05.04.2023 06:45","7812","7828"
"05.04.2023 06:45 - 05.04.2023 07:00","7976","7975"
"05.04.2023 07:00 - 05.04.2023 07:15","8200","8160"
"05.04.2023 07:15 - 05.04.2023 07:30","8332","8274"
"05.04.2023 07:30 - 05.04.2023 07:45","8420","8344"
"05.04.2023 07:45 - 05.04.2023 08:00","8480","8378"
"05.04.2023 08:00 - 05.04.2023 08:15","8516","8439"
"05.04.2023 08:15 - 05.04.2023 08:30","8500","8364"
"05.04.2023 08:30 - 05.04.2023 08:45","8484","8338"
"05.04.2023 08:45 - 05.04.2023 09:00","8456","8312"
"05.04.2023 09:00 - 05.04.2023 09:15","8364","8073"
"05.04.2023 09:15 - 05.04.2023 09:30","8356","8074"
"05.04.2023 09:30 - 05.04.2023 09:45","8352","8062"
"05.04.2023 09:45 - 05.04.2023 10:00","8304","7972"
"05.04.2023 10:00 - 05.04.2023 10:15","8252","7860"
"05.04.2023 10:15 - 05.04.2023 10:30","8216","7839"
"05.04.2023 10:30 - 05.04.2023 10:45","8200","7850"
"05.04.2023 10:45 - 05.04.2023 11:00","8172","7841"
"05.04.2023 11:00 - 05.04.2023 11:15","8136","7803"
"05.04.2023 11:15 - 05.04.2023 11:30","8136","7815"
"05.04.2023 11:30 - 05.04.2023 11:45","8100","7781"
"05.04.2023 11:45 - 05.04.2023 12:00","8032","7691"
"05.04.2023 12:00 - 05.04.2023 12:15","7932","7588"
"05.04.2023 12:15 - 05.04.2023 12:30","7792","7468"
"05.04.2023 12:30 - 05.04.2023 12:45","7716","7446"
"05.04.2023 12:45 - 05.04.2023 13:00","7664","7394"
"05.04.2023 13:00 - 05.04.2023 13:15","7672","7423"
"05.04.2023 13:15 - 05.04.2023 13:30","7624","7339"
"05.04.2023 13:30 - 05.04.2023 13:45","7580","7379"
"05.04.2023 13:45 - 05.04.2023 14:00","7524","7243"
"05.04.2023 14:00 - 05.04.2023 14:15","7500","7132"
"05.04.2023 14:15 - 05.04.2023 14:30","7500","7070"
"05.04.2023 14:30 - 05.04.2023 14:45","7472","7062"
"05.04.2023 14:45 - 05.04.2023 15:00","7472","7026"
"05.04.2023 15:00 - 05.04.2023 15:15","7448","7042"
"05.04.2023 15:15 - 05.04.2023 15:30","7428","7000"
"05.04.2023 15:30 - 05.04.2023 15:45","7436","7025"
"05.04.2023 15:45 - 05.04.2023 16:00","7448","7016"
"05.04.2023 16:00 - 05.04.2023 16:15","7432","6993"
