"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Austria (AT)","Actual Total Load [MW] - Austria (AT)"
"02.01.2023 00:30 - 02.01.2023 00:45","6080","5188"
"02.01.2023 00:45 - 02.01.2023 01:00","5992","5090"
"02.01.2023 01:00 - 02.01.2023 01:15","6020","5106"
"02.01.2023 01:15 - 02.01.2023 01:30","5940","5021"
"02.01.2023 01:30 - 02.01.2023 01:45","5884","4938"
"02.01.2023 01:45 - 02.01.2023 02:00","5824","4916"
"02.01.2023 02:00 - 02.01.2023 02:15","5888","5001"
"02.01.2023 02:15 - 02.01.2023 02:30","5836","4972"
"02.01.2023 02:30 - 02.01.2023 02:45","5784","4948"
"02.01.2023 02:45 - 02.01.2023 03:00","5740","4892"
"02.01.2023 03:00 - 02.01.2023 03:15","5752","4917"
"02.01.2023 03:15 - 02.01.2023 03:30","5740","4926"
"02.01.2023 03:30 - 02.01.2023 03:45","5740","4918"
"02.01.2023 03:45 - 02.01.2023 04:00","5752","4925"
"02.01.2023 04:00 - 02.01.2023 04:15","5784","4980"
"02.01.2023 04:15 - 02.01.2023 04:30","5828","5030"
"02.01.2023 04:30 - 02.01.2023 04:45","5904","5126"
"02.01.2023 04:45 - 02.01.2023 05:00","6000","5189"
"02.01.2023 05:00 - 02.01.2023 05:15","6128","5428"
"02.01.2023 05:15 - 02.01.2023 05:30","6260","5564"
"02.01.2023 05:30 - 02.01.2023 05:45","6436","5723"
"02.01.2023 05:45 - 02.01.2023 06:00","6636","5871"
"02.01.2023 06:00 - 02.01.2023 06:15","6868","6165"
"02.01.2023 06:15 - 02.01.2023 06:30","7100","6389"
"02.01.2023 06:30 - 02.01.2023 06:45","7296","6604"
"02.01.2023 06:45 - 02.01.2023 07:00","7476","6754"
"02.01.2023 07:00 - 02.01.2023 07:15","7696","6996"
"02.01.2023 07:15 - 02.01.2023 07:30","7864","7178"
"02.01.2023 07:30 - 02.01.2023 07:45","7984","7352"
"02.01.2023 07:45 - 02.01.2023 08:00","8076","7483"
"02.01.2023 08:00 - 02.01.2023 08:15","8172","7605"
"02.01.2023 08:15 - 02.01.2023 08:30","8232","7673"
"02.01.2023 08:30 - 02.01.2023 08:45","8284","7784"
"02.01.2023 08:45 - 02.01.2023 09:00","8324","7847"
"02.01.2023 09:00 - 02.01.2023 09:15","8336","7948"
"02.01.2023 09:15 - 02.01.2023 09:30","8364","7978"
"02.01.2023 09:30 - 02.01.2023 09:45","8388","7980"
"02.01.2023 09:45 - 02.01.2023 10:00","8396","7996"
"02.01.2023 10:00 - 02.01.2023 10:15","8408","8009"
"02.01.2023 10:15 - 02.01.2023 10:30","8420","7999"
"02.01.2023 10:30 - 02.01.2023 10:45","8424","7968"
"02.01.2023 10:45 - 02.01.2023 11:00","8444","7959"
"02.01.2023 11:00 - 02.01.2023 11:15","8420","7951"
"02.01.2023 11:15 - 02.01.2023 11:30","8456","7980"
"02.01.2023 11:30 - 02.01.2023 11:45","8448","7994"
"02.01.2023 11:45 - 02.01.2023 12:00","8420","7900"
"02.01.2023 12:00 - 02.01.2023 12:15","8400","7918"
"02.01.2023 12:15 - 02.01.2023 12:30","8316","7798"
"02.01.2023 12:30 - 02.01.2023 12:45","8248","7731"
"02.01.2023 12:45 - 02.01.2023 13:00","8212","7680"
"02.01.2023 13:00 - 02.01.2023 13:15","8224","7710"
"02.01.2023 13:15 - 02.01.2023 13:30","8180","7688"
"02.01.2023 13:30 - 02.01.2023 13:45","8132","7648"
"02.01.2023 13:45 - 02.01.2023 14:00","8092","7596"
"02.01.2023 14:00 - 02.01.2023 14:15","8080","7600"
"02.01.2023 14:15 - 02.01.2023 14:30","8060","7615"
"02.01.2023 14:30 - 02.01.2023 14:45","8048","7622"
"02.01.2023 14:45 - 02.01.2023 15:00","8040","7645"
"02.01.2023 15:00 - 02.01.2023 15:15","8052","7662"
"02.01.2023 15:15 - 02.01.2023 15:30","8060","7714"
"02.01.2023 15:30 - 02.01.2023 15:45","8076","7746"
"02.01.2023 15:45 - 02.01.2023 16:00","8112","7793"
"02.01.2023 16:00 - 02.01.2023 16:15","8172","7847"
"02.01.2023 16:15 - 02.01.2023 16:30","8252","7922"
"02.01.2023 16:30 - 02.01.2023 16:45","8340","8002"
"02.01.2023 16:45 - 02.01.2023 17:00","8408","8103"
"02.01.2023 17:00 - 02.01.2023 17:15","8432","8222"
"02.01.2023 17:15 - 02.01.2023 17:30","8472","8229"
"02.01.2023 17:30 - 02.01.2023 17:45","8488","8202"
"02.01.2023 17:45 - 02.01.2023 18:00","8472","8216"
"02.01.2023 18:00 - 02.01.2023 18:15","8432","8144"
"02.01.2023 18:15 - 02.01.2023 18:30","8376","8135"
"02.01.2023 18:30 - 02.01.2023 18:45","8316","8062"
"02.01.2023 18:45 - 02.01.2023 19:00","8244","7969"
"02.01.2023 19:00 - 02.01.2023 19:15","8136","7861"
"02.01.2023 19:15 - 02.01.2023 19:30","8036","7740"
"02.01.2023 19:30 - 02.01.2023 19:45","7936","7627"
"02.01.2023 19:45 - 02.01.2023 20:00","7820","7478"
"02.01.2023 20:00 - 02.01.2023 20:15","7712","7350"
"02.01.2023 20:15 - 02.01.2023 20:30","7580","7175"
"02.01.2023 20:30 - 02.01.2023 20:45","7468","7064"
"02.01.2023 20:45 - 02.01.2023 21:00","7348","6952"
"02.01.2023 21:00 - 02.01.2023 21:15","7224","6808"
"02.01.2023 21:15 - 02.01.2023 21:30","7120","6678"
"02.01.2023 21:30 - 02.01.2023 21:45","7008","6569"
"02.01.2023 21:45 - 02.01.2023 22:00","6920","6474"
"02.01.2023 22:00 - 02.01.2023 22:15","7112","6668"
"02.01.2023 22:15 - 02.01.2023 22:30","7048","6596"
"02.01.2023 22:30 - 02.01.2023 22:45","6916","6475"
"02.01.2023 22:45 - 02.01.2023 23:00","6804","6341"
"02.01.2023 23:00 - 02.01.2023 23:15","6748","6276"
"02.01.2023 23:15 - 02.01.2023 23:30","6612","6160"
"02.01.2023 23:30 - 02.01.2023 23:45","6496","6008"
"02.01.2023 23:45 - 03.01.2023 00:00","6392","5896"
"03.01.2023 00:00 - 03.01.2023 00:15","5328","5950"
"03.01.2023 00:15 - 03.01.2023 00:30","5240","5825"
"03.01.2023 00:30 - 03.01.2023 00:45","5152","5741"
"03.01.2023 00:45 - 03.01.2023 01:00","5080","5637"
"03.01.2023 01:00 - 03.01.2023 01:15","5080","5623"
"03.01.2023 01:15 - 03.01.2023 01:30","5016","5522"
"03.01.2023 01:30 - 03.01.2023 01:45","4968","5492"
"03.01.2023 01:45 - 03.01.2023 02:00","4920","5426"
"03.01.2023 02:00 - 03.01.2023 02:15","4916","5476"
"03.01.2023 02:15 - 03.01.2023 02:30","4868","5414"
"03.01.2023 02:30 - 03.01.2023 02:45","4832","5346"
"03.01.2023 02:45 - 03.01.2023 03:00","4808","5327"
"03.01.2023 03:00 - 03.01.2023 03:15","4824","5306"
"03.01.2023 03:15 - 03.01.2023 03:30","4824","5247"
"03.01.2023 03:30 - 03.01.2023 03:45","4828","5234"
"03.01.2023 03:45 - 03.01.2023 04:00","4848","5200"
"03.01.2023 04:00 - 03.01.2023 04:15","4888","5255"
"03.01.2023 04:15 - 03.01.2023 04:30","4944","5297"
"03.01.2023 04:30 - 03.01.2023 04:45","5012","5368"
"03.01.2023 04:45 - 03.01.2023 05:00","5108","5448"
