"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Spain (ES)","Generation - Solar  [MW] Current / Spain (ES)","Generation - Wind Offshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Offshore  [MW] Current / Spain (ES)","Generation - Wind Onshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Onshore  [MW] Current / Spain (ES)"
"03.01.2022 19:00 - 03.01.2022 20:00","45","63","n/e","n/e","9145","9040"
"03.01.2022 20:00 - 03.01.2022 21:00","41","26","n/e","n/e","9714","9988"
"03.01.2022 21:00 - 03.01.2022 22:00","34","19","n/e","n/e","10239","10511"
"03.01.2022 22:00 - 03.01.2022 23:00","28","14","n/e","n/e","10518","10721"
"03.01.2022 23:00 - 04.01.2022 00:00","23","10","n/e","n/e","10878","11076"
"04.01.2022 00:00 - 04.01.2022 01:00","25","8","n/e","n/e","11310","11388"
"04.01.2022 01:00 - 04.01.2022 02:00","22","5","n/e","n/e","11643","11671"
"04.01.2022 02:00 - 04.01.2022 03:00","20","3","n/e","n/e","11870","11815"
"04.01.2022 03:00 - 04.01.2022 04:00","19","3","n/e","n/e","11885","11514"
"04.01.2022 04:00 - 04.01.2022 05:00","16","2","n/e","n/e","11777","11168"
"04.01.2022 05:00 - 04.01.2022 06:00","12","2","n/e","n/e","11660","11099"
"04.01.2022 06:00 - 04.01.2022 07:00","10","4","n/e","n/e","11642","10776"
"04.01.2022 07:00 - 04.01.2022 08:00","11","11","n/e","n/e","11497","10711"
"04.01.2022 08:00 - 04.01.2022 09:00","73","86","n/e","n/e","11204","10862"
"04.01.2022 09:00 - 04.01.2022 10:00","1412","1549","n/e","n/e","10786","10585"
"04.01.2022 10:00 - 04.01.2022 11:00","3897","4059","n/e","n/e","10406","9971"
"04.01.2022 11:00 - 04.01.2022 12:00","5211","5113","n/e","n/e","10125","9907"
"04.01.2022 12:00 - 04.01.2022 13:00","5610","5349","n/e","n/e","10077","10769"
"04.01.2022 13:00 - 04.01.2022 14:00","5183","4519","n/e","n/e","10898","11555"
"04.01.2022 14:00 - 04.01.2022 15:00","4627","3796","n/e","n/e","11689","13039"
"04.01.2022 15:00 - 04.01.2022 16:00","3996","3089","n/e","n/e","12408","13577"
"04.01.2022 16:00 - 04.01.2022 17:00","2780","2031","n/e","n/e","12971","13894"
"04.01.2022 17:00 - 04.01.2022 18:00","1066","679","n/e","n/e","13330","13191"
"04.01.2022 18:00 - 04.01.2022 19:00","93","44","n/e","n/e","13706","13076"
"04.01.2022 19:00 - 04.01.2022 20:00","16","0","n/e","n/e","14253","13638"
"04.01.2022 20:00 - 04.01.2022 21:00","10","2","n/e","n/e","14682","15145"
"04.01.2022 21:00 - 04.01.2022 22:00","6","6","n/e","n/e","14851","15322"
"04.01.2022 22:00 - 04.01.2022 23:00","6","7","n/e","n/e","14873","15440"
"04.01.2022 23:00 - 05.01.2022 00:00","6","7","n/e","n/e","14736","15373"
"05.01.2022 00:00 - 05.01.2022 01:00","5","8","n/e","n/e","14453","15035"
"05.01.2022 01:00 - 05.01.2022 02:00","0","10","n/e","n/e","14233","14189"
"05.01.2022 02:00 - 05.01.2022 03:00","1","8","n/e","n/e","13945","13666"
"05.01.2022 03:00 - 05.01.2022 04:00","0","7","n/e","n/e","13638","13191"
"05.01.2022 04:00 - 05.01.2022 05:00","5","5","n/e","n/e","13468","12853"
"05.01.2022 05:00 - 05.01.2022 06:00","5","6","n/e","n/e","13308","12531"
"05.01.2022 06:00 - 05.01.2022 07:00","5","6","n/e","n/e","13151","12026"
"05.01.2022 07:00 - 05.01.2022 08:00","0","7","n/e","n/e","12952","12385"
"05.01.2022 08:00 - 05.01.2022 09:00","66","62","n/e","n/e","12748","13321"
"05.01.2022 09:00 - 05.01.2022 10:00","1627","1513","n/e","n/e","12539","13407"
"05.01.2022 10:00 - 05.01.2022 11:00","4013","4022","n/e","n/e","12519","12915"
"05.01.2022 11:00 - 05.01.2022 12:00","5311","5393","n/e","n/e","12744","12603"
"05.01.2022 12:00 - 05.01.2022 13:00","5754","5837","n/e","n/e","13016","12414"
"05.01.2022 13:00 - 05.01.2022 14:00","5481","5695","n/e","n/e","12717","12942"
"05.01.2022 14:00 - 05.01.2022 15:00","4857","4847","n/e","n/e","11891","12656"
"05.01.2022 15:00 - 05.01.2022 16:00","3824","4010","n/e","n/e","11294","12391"
"05.01.2022 16:00 - 05.01.2022 17:00","2182","2529","n/e","n/e","10341","11008"
"05.01.2022 17:00 - 05.01.2022 18:00","593","764","n/e","n/e","9333","9554"
"05.01.2022 18:00 - 05.01.2022 19:00","37","37","n/e","n/e","8420","9091"
"05.01.2022 19:00 - 05.01.2022 20:00","9","10","n/e","n/e","8114","8985"
"05.01.2022 20:00 - 05.01.2022 21:00","10","13","n/e","n/e","7890","8847"
"05.01.2022 21:00 - 05.01.2022 22:00","8","7","n/e","n/e","7681","8899"
"05.01.2022 22:00 - 05.01.2022 23:00","7","8","n/e","n/e","7705","8852"
"05.01.2022 23:00 - 06.01.2022 00:00","9","7","n/e","n/e","7893","9007"
"06.01.2022 00:00 - 06.01.2022 01:00","4","4","n/e","n/e","8224","8695"
"06.01.2022 01:00 - 06.01.2022 02:00","4","0","n/e","n/e","8531","8613"
"06.01.2022 02:00 - 06.01.2022 03:00","4","0","n/e","n/e","8721","9303"
"06.01.2022 03:00 - 06.01.2022 04:00","5","0","n/e","n/e","8806","9093"
"06.01.2022 04:00 - 06.01.2022 05:00","6","0","n/e","n/e","8841","8693"
"06.01.2022 05:00 - 06.01.2022 06:00","6","0","n/e","n/e","8869","8445"
"06.01.2022 06:00 - 06.01.2022 07:00","6","0","n/e","n/e","8654","8148"
"06.01.2022 07:00 - 06.01.2022 08:00","6","3","n/e","n/e","8394","7874"
"06.01.2022 08:00 - 06.01.2022 09:00","111","116","n/e","n/e","8311","7792"
"06.01.2022 09:00 - 06.01.2022 10:00","1871","2049","n/e","n/e","8223","7541"
"06.01.2022 10:00 - 06.01.2022 11:00","4997","4849","n/e","n/e","7822","7052"
"06.01.2022 11:00 - 06.01.2022 12:00","6860","7205","n/e","n/e","7432","6628"
"06.01.2022 12:00 - 06.01.2022 13:00","7751","8098","n/e","n/e","7298","6812"
"06.01.2022 13:00 - 06.01.2022 14:00","8039","8252","n/e","n/e","7117","7298"
"06.01.2022 14:00 - 06.01.2022 15:00","7946","7958","n/e","n/e","6975","7624"
"06.01.2022 15:00 - 06.01.2022 16:00","7422","7543","n/e","n/e","6893","7890"
"06.01.2022 16:00 - 06.01.2022 17:00","5429","5810","n/e","n/e","6823","7919"
"06.01.2022 17:00 - 06.01.2022 18:00","2288","2684","n/e","n/e","6883","7458"
"06.01.2022 18:00 - 06.01.2022 19:00","238","245","n/e","n/e","7331","7995"
"06.01.2022 19:00 - 06.01.2022 20:00","46","50","n/e","n/e","7792","8398"
"06.01.2022 20:00 - 06.01.2022 21:00","40","51","n/e","n/e","8064","8417"
"06.01.2022 21:00 - 06.01.2022 22:00","39","15","n/e","n/e","8295","8309"
"06.01.2022 22:00 - 06.01.2022 23:00","28","12","n/e","n/e","8540","8214"
"06.01.2022 23:00 - 07.01.2022 00:00","25","10","n/e","n/e","8774","8307"
"07.01.2022 00:00 - 07.01.2022 01:00","11","10","n/e","n/e","8600","8404"
"07.01.2022 01:00 - 07.01.2022 02:00","10","12","n/e","n/e","8585","8268"
"07.01.2022 02:00 - 07.01.2022 03:00","10","11","n/e","n/e","8592","8244"
"07.01.2022 03:00 - 07.01.2022 04:00","9","10","n/e","n/e","8755","8051"
"07.01.2022 04:00 - 07.01.2022 05:00","9","11","n/e","n/e","8952","8143"
"07.01.2022 05:00 - 07.01.2022 06:00","9","10","n/e","n/e","9176","8415"
"07.01.2022 06:00 - 07.01.2022 07:00","9","11","n/e","n/e","9306","8793"
"07.01.2022 07:00 - 07.01.2022 08:00","8","10","n/e","n/e","9493","8723"
"07.01.2022 08:00 - 07.01.2022 09:00","112","99","n/e","n/e","9638","8990"
"07.01.2022 09:00 - 07.01.2022 10:00","2215","2012","n/e","n/e","9740","9358"
"07.01.2022 10:00 - 07.01.2022 11:00","5257","5211","n/e","n/e","9611","8764"
"07.01.2022 11:00 - 07.01.2022 12:00","6976","6997","n/e","n/e","9647","9132"
"07.01.2022 12:00 - 07.01.2022 13:00","7918","7538","n/e","n/e","10099","9259"
"07.01.2022 13:00 - 07.01.2022 14:00","8199","8318","n/e","n/e","10405","8832"
"07.01.2022 14:00 - 07.01.2022 15:00","8277","8443","n/e","n/e","10329","9166"
"07.01.2022 15:00 - 07.01.2022 16:00","7832","7990","n/e","n/e","10050","9386"
