"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Spain (ES)","Generation - Solar  [MW] Current / Spain (ES)","Generation - Wind Offshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Offshore  [MW] Current / Spain (ES)","Generation - Wind Onshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Onshore  [MW] Current / Spain (ES)"
"05.07.2022 09:30 - 05.07.2022 09:45","8164","7906","n/e","n/e","5921","6022"
"05.07.2022 09:45 - 05.07.2022 10:00","8756","8524","n/e","n/e","5795","5889"
"05.07.2022 10:00 - 05.07.2022 10:15","9458","9758","n/e","n/e","5651","5549"
"05.07.2022 10:15 - 05.07.2022 10:30","9873","10197","n/e","n/e","5566","5481"
"05.07.2022 10:30 - 05.07.2022 10:45","10233","10548","n/e","n/e","5503","5432"
"05.07.2022 10:45 - 05.07.2022 11:00","10548","10828","n/e","n/e","5460","5401"
"05.07.2022 11:00 - 05.07.2022 11:15","10903","10871","n/e","n/e","5408","5225"
"05.07.2022 11:15 - 05.07.2022 11:30","11146","11108","n/e","n/e","5396","5234"
"05.07.2022 11:30 - 05.07.2022 11:45","11359","11304","n/e","n/e","5396","5254"
"05.07.2022 11:45 - 05.07.2022 12:00","11545","11467","n/e","n/e","5408","5291"
"05.07.2022 12:00 - 05.07.2022 12:15","11761","11489","n/e","n/e","5406","5119"
"05.07.2022 12:15 - 05.07.2022 12:30","11894","11655","n/e","n/e","5444","5203"
"05.07.2022 12:30 - 05.07.2022 12:45","12000","11807","n/e","n/e","5497","5298"
"05.07.2022 12:45 - 05.07.2022 13:00","12081","11934","n/e","n/e","5563","5406"
"05.07.2022 13:00 - 05.07.2022 13:15","12188","12261","n/e","n/e","5620","5394"
"05.07.2022 13:15 - 05.07.2022 13:30","12215","12282","n/e","n/e","5714","5494"
"05.07.2022 13:30 - 05.07.2022 13:45","12216","12271","n/e","n/e","5821","5602"
"05.07.2022 13:45 - 05.07.2022 14:00","12194","12239","n/e","n/e","5937","5722"
"05.07.2022 14:00 - 05.07.2022 14:15","12182","12137","n/e","n/e","6060","6094"
"05.07.2022 14:15 - 05.07.2022 14:30","12125","12110","n/e","n/e","6186","6192"
"05.07.2022 14:30 - 05.07.2022 14:45","12057","12074","n/e","n/e","6311","6293"
"05.07.2022 14:45 - 05.07.2022 15:00","11976","12027","n/e","n/e","6438","6402"
"05.07.2022 15:00 - 05.07.2022 15:15","11914","11979","n/e","n/e","6560","6828"
"05.07.2022 15:15 - 05.07.2022 15:30","11805","11919","n/e","n/e","6698","6952"
"05.07.2022 15:30 - 05.07.2022 15:45","11681","11846","n/e","n/e","6845","7080"
"05.07.2022 15:45 - 05.07.2022 16:00","11539","11745","n/e","n/e","7000","7215"
"05.07.2022 16:00 - 05.07.2022 16:15","11429","11804","n/e","n/e","7162","7523"
"05.07.2022 16:15 - 05.07.2022 16:30","11245","11571","n/e","n/e","7325","7659"
"05.07.2022 16:30 - 05.07.2022 16:45","11038","11296","n/e","n/e","7488","7798"
"05.07.2022 16:45 - 05.07.2022 17:00","10809","10994","n/e","n/e","7652","7942"
"05.07.2022 17:00 - 05.07.2022 17:15","10615","10296","n/e","n/e","7821","8420"
"05.07.2022 17:15 - 05.07.2022 17:30","10339","10079","n/e","n/e","7990","8555"
"05.07.2022 17:30 - 05.07.2022 17:45","10041","9856","n/e","n/e","8163","8694"
"05.07.2022 17:45 - 05.07.2022 18:00","9719","9614","n/e","n/e","8337","8838"
"05.07.2022 18:00 - 05.07.2022 18:15","9468","8814","n/e","n/e","8525","9354"
"05.07.2022 18:15 - 05.07.2022 18:30","9089","8500","n/e","n/e","8693","9516"
"05.07.2022 18:30 - 05.07.2022 18:45","8677","8135","n/e","n/e","8853","9677"
"05.07.2022 18:45 - 05.07.2022 19:00","8217","7708","n/e","n/e","9010","9833"
"05.07.2022 19:00 - 05.07.2022 19:15","7965","7586","n/e","n/e","9163","10457"
"05.07.2022 19:15 - 05.07.2022 19:30","7330","6904","n/e","n/e","9326","10583"
"05.07.2022 19:30 - 05.07.2022 19:45","6594","6172","n/e","n/e","9498","10712"
"05.07.2022 19:45 - 05.07.2022 20:00","5785","5407","n/e","n/e","9675","10841"
"05.07.2022 20:00 - 05.07.2022 20:15","5187","4768","n/e","n/e","9868","11255"
"05.07.2022 20:15 - 05.07.2022 20:30","4280","3916","n/e","n/e","10044","11376"
"05.07.2022 20:30 - 05.07.2022 20:45","3402","3115","n/e","n/e","10212","11481"
"05.07.2022 20:45 - 05.07.2022 21:00","2593","2393","n/e","n/e","10372","11572"
"05.07.2022 21:00 - 05.07.2022 21:15","1911","1656","n/e","n/e","10550","11888"
"05.07.2022 21:15 - 05.07.2022 21:30","1353","1247","n/e","n/e","10693","11943"
"05.07.2022 21:30 - 05.07.2022 21:45","974","950","n/e","n/e","10825","12000"
"05.07.2022 21:45 - 05.07.2022 22:00","743","746","n/e","n/e","10940","12050"
"05.07.2022 22:00 - 05.07.2022 22:15","588","565","n/e","n/e","11094","12258"
"05.07.2022 22:15 - 05.07.2022 22:30","537","509","n/e","n/e","11159","12311"
"05.07.2022 22:30 - 05.07.2022 22:45","506","488","n/e","n/e","11191","12313"
"05.07.2022 22:45 - 05.07.2022 23:00","490","482","n/e","n/e","11195","12279"
"05.07.2022 23:00 - 05.07.2022 23:15","480","477","n/e","n/e","11205","11995"
"05.07.2022 23:15 - 05.07.2022 23:30","476","473","n/e","n/e","11171","11931"
"05.07.2022 23:30 - 05.07.2022 23:45","469","470","n/e","n/e","11126","11861"
"05.07.2022 23:45 - 06.07.2022 00:00","461","467","n/e","n/e","11075","11784"
"06.07.2022 00:00 - 06.07.2022 00:15","460","471","n/e","n/e","11356","11794"
"06.07.2022 00:15 - 06.07.2022 00:30","449","470","n/e","n/e","11302","11697"
"06.07.2022 00:30 - 06.07.2022 00:45","437","469","n/e","n/e","11241","11590"
"06.07.2022 00:45 - 06.07.2022 01:00","426","467","n/e","n/e","11170","11477"
"06.07.2022 01:00 - 06.07.2022 01:15","417","458","n/e","n/e","11120","11607"
"06.07.2022 01:15 - 06.07.2022 01:30","405","461","n/e","n/e","11017","11462"
"06.07.2022 01:30 - 06.07.2022 01:45","392","465","n/e","n/e","10895","11315"
"06.07.2022 01:45 - 06.07.2022 02:00","379","465","n/e","n/e","10758","11170"
"06.07.2022 02:00 - 06.07.2022 02:15","368","492","n/e","n/e","10617","11035"
"06.07.2022 02:15 - 06.07.2022 02:30","350","472","n/e","n/e","10469","10917"
"06.07.2022 02:30 - 06.07.2022 02:45","330","446","n/e","n/e","10322","10798"
"06.07.2022 02:45 - 06.07.2022 03:00","311","417","n/e","n/e","10180","10675"
"06.07.2022 03:00 - 06.07.2022 03:15","283","394","n/e","n/e","10035","10626"
"06.07.2022 03:15 - 06.07.2022 03:30","273","373","n/e","n/e","9903","10508"
"06.07.2022 03:30 - 06.07.2022 03:45","272","354","n/e","n/e","9776","10380"
"06.07.2022 03:45 - 06.07.2022 04:00","275","336","n/e","n/e","9653","10242"
"06.07.2022 04:00 - 06.07.2022 04:15","285","334","n/e","n/e","9540","9719"
"06.07.2022 04:15 - 06.07.2022 04:30","289","321","n/e","n/e","9415","9618"
"06.07.2022 04:30 - 06.07.2022 04:45","289","307","n/e","n/e","9285","9513"
"06.07.2022 04:45 - 06.07.2022 05:00","285","291","n/e","n/e","9150","9404"
"06.07.2022 05:00 - 06.07.2022 05:15","281","282","n/e","n/e","9019","9139"
"06.07.2022 05:15 - 06.07.2022 05:30","273","257","n/e","n/e","8879","9026"
"06.07.2022 05:30 - 06.07.2022 05:45","265","230","n/e","n/e","8738","8910"
"06.07.2022 05:45 - 06.07.2022 06:00","255","203","n/e","n/e","8598","8785"
"06.07.2022 06:00 - 06.07.2022 06:15","257","167","n/e","n/e","8456","8812"
"06.07.2022 06:15 - 06.07.2022 06:30","252","158","n/e","n/e","8325","8672"
"06.07.2022 06:30 - 06.07.2022 06:45","254","168","n/e","n/e","8199","8534"
"06.07.2022 06:45 - 06.07.2022 07:00","278","203","n/e","n/e","8077","8397"
"06.07.2022 07:00 - 06.07.2022 07:15","460","376","n/e","n/e","7967","8555"
"06.07.2022 07:15 - 06.07.2022 07:30","674","618","n/e","n/e","7839","8412"
"06.07.2022 07:30 - 06.07.2022 07:45","998","949","n/e","n/e","7705","8274"
"06.07.2022 07:45 - 06.07.2022 08:00","1426","1368","n/e","n/e","7567","8139"
"06.07.2022 08:00 - 06.07.2022 08:15","2385","2139","n/e","n/e","7417","8257"
"06.07.2022 08:15 - 06.07.2022 08:30","3090","2870","n/e","n/e","7292","8131"
"06.07.2022 08:30 - 06.07.2022 08:45","3832","3657","n/e","n/e","7181","8010"
"06.07.2022 08:45 - 06.07.2022 09:00","4586","4460","n/e","n/e","7083","7894"
"06.07.2022 09:00 - 06.07.2022 09:15","5788","5713","n/e","n/e","6977","7654"
"06.07.2022 09:15 - 06.07.2022 09:30","6560","6477","n/e","n/e","6904","7559"
"06.07.2022 09:30 - 06.07.2022 09:45","7258","7170","n/e","n/e","6841","7478"
"06.07.2022 09:45 - 06.07.2022 10:00","7882","7788","n/e","n/e","6790","7407"
"06.07.2022 10:00 - 06.07.2022 10:15","8667","8555","n/e","n/e","6723","7382"
"06.07.2022 10:15 - 06.07.2022 10:30","9169","9040","n/e","n/e","6701","7295"
"06.07.2022 10:30 - 06.07.2022 10:45","9608","9456","n/e","n/e","6695","7234"
"06.07.2022 10:45 - 06.07.2022 11:00","9985","9814","n/e","n/e","6702","7194"
"06.07.2022 11:00 - 06.07.2022 11:15","10437","10093","n/e","n/e","6708","7630"
"06.07.2022 11:15 - 06.07.2022 11:30","10696","10456","n/e","n/e","6731","7607"
"06.07.2022 11:30 - 06.07.2022 11:45","10898","10781","n/e","n/e","6757","7605"
"06.07.2022 11:45 - 06.07.2022 12:00","11060","11063","n/e","n/e","6785","7616"
"06.07.2022 12:00 - 06.07.2022 12:15","11207","10958","n/e","n/e","6812","7549"
"06.07.2022 12:15 - 06.07.2022 12:30","11342","11176","n/e","n/e","6844","7550"
"06.07.2022 12:30 - 06.07.2022 12:45","11484","11368","n/e","n/e","6878","7583"
"06.07.2022 12:45 - 06.07.2022 13:00","11623","11530","n/e","n/e","6915","7645"
"06.07.2022 13:00 - 06.07.2022 13:15","11825","11610","n/e","n/e","6942","7645"
"06.07.2022 13:15 - 06.07.2022 13:30","11906","11680","n/e","n/e","6992","7698"
"06.07.2022 13:30 - 06.07.2022 13:45","11936","11739","n/e","n/e","7052","7771"
"06.07.2022 13:45 - 06.07.2022 14:00","11924","11782","n/e","n/e","7120","7871"
"06.07.2022 14:00 - 06.07.2022 14:15","11905","11892","n/e","n/e","7184","7692"
"06.07.2022 14:15 - 06.07.2022 14:30","11857","11888","n/e","n/e","7267","7783"
"06.07.2022 14:30 - 06.07.2022 14:45","11809","11869","n/e","n/e","7356","7875"
"06.07.2022 14:45 - 06.07.2022 15:00","11755","11827","n/e","n/e","7452","7982"
"06.07.2022 15:00 - 06.07.2022 15:15","11739","11893","n/e","n/e","7546","7529"
"06.07.2022 15:15 - 06.07.2022 15:30","11644","11789","n/e","n/e","7652","7698"
"06.07.2022 15:30 - 06.07.2022 15:45","11517","11660","n/e","n/e","7761","7875"
"06.07.2022 15:45 - 06.07.2022 16:00","11368","11508","n/e","n/e","7871","8053"
"06.07.2022 16:00 - 06.07.2022 16:15","11207","11144","n/e","n/e","7992","8315"
"06.07.2022 16:15 - 06.07.2022 16:30","11050","10997","n/e","n/e","8097","8387"
"06.07.2022 16:30 - 06.07.2022 16:45","10904","10831","n/e","n/e","8196","8454"
"06.07.2022 16:45 - 06.07.2022 17:00","10756","10644","n/e","n/e","8292","8522"
"06.07.2022 17:00 - 06.07.2022 17:15","10675","10418","n/e","n/e","8379","8741"
"06.07.2022 17:15 - 06.07.2022 17:30","10472","10192","n/e","n/e","8482","8791"
"06.07.2022 17:30 - 06.07.2022 17:45","10221","9942","n/e","n/e","8593","8844"
"06.07.2022 17:45 - 06.07.2022 18:00","9930","9669","n/e","n/e","8713","8901"
"06.07.2022 18:00 - 06.07.2022 18:15","9681","9268","n/e","n/e","8836","8573"
"06.07.2022 18:15 - 06.07.2022 18:30","9341","8997","n/e","n/e","8966","8636"
"06.07.2022 18:30 - 06.07.2022 18:45","8987","8679","n/e","n/e","9100","8702"
"06.07.2022 18:45 - 06.07.2022 19:00","8591","8286","n/e","n/e","9232","8778"
"06.07.2022 19:00 - 06.07.2022 19:15","8445","8197","n/e","n/e","9381","9464"
"06.07.2022 19:15 - 06.07.2022 19:30","7827","7453","n/e","n/e","9501","9544"
"06.07.2022 19:30 - 06.07.2022 19:45","7066","6610","n/e","n/e","9611","9632"
"06.07.2022 19:45 - 06.07.2022 20:00","6197","5713","n/e","n/e","9712","9727"
"06.07.2022 20:00 - 06.07.2022 20:15","5535","5302","n/e","n/e","9815","10407"
"06.07.2022 20:15 - 06.07.2022 20:30","4558","4362","n/e","n/e","9904","10475"
"06.07.2022 20:30 - 06.07.2022 20:45","3627","3490","n/e","n/e","9989","10541"
"06.07.2022 20:45 - 06.07.2022 21:00","2783","2708","n/e","n/e","10074","10603"
"06.07.2022 21:00 - 06.07.2022 21:15","2071","1967","n/e","n/e","10157","10449"
"06.07.2022 21:15 - 06.07.2022 21:30","1495","1464","n/e","n/e","10248","10525"
"06.07.2022 21:30 - 06.07.2022 21:45","1097","1100","n/e","n/e","10343","10577"
"06.07.2022 21:45 - 06.07.2022 22:00","851","852","n/e","n/e","10434","10607"
"06.07.2022 22:00 - 06.07.2022 22:15","671","636","n/e","n/e","10567","10249"
"06.07.2022 22:15 - 06.07.2022 22:30","619","580","n/e","n/e","10613","10313"
"06.07.2022 22:30 - 06.07.2022 22:45","588","563","n/e","n/e","10623","10324"
"06.07.2022 22:45 - 06.07.2022 23:00","573","561","n/e","n/e","10606","10302"
"06.07.2022 23:00 - 06.07.2022 23:15","558","562","n/e","n/e","10573","10315"
"06.07.2022 23:15 - 06.07.2022 23:30","561","560","n/e","n/e","10540","10351"
"06.07.2022 23:30 - 06.07.2022 23:45","568","557","n/e","n/e","10515","10390"
"06.07.2022 23:45 - 07.07.2022 00:00","577","552","n/e","n/e","10496","10428"
"07.07.2022 00:00 - 07.07.2022 00:15","568","539","n/e","n/e","10492","10753"
"07.07.2022 00:15 - 07.07.2022 00:30","557","537","n/e","n/e","10507","10751"
"07.07.2022 00:30 - 07.07.2022 00:45","550","537","n/e","n/e","10517","10739"
"07.07.2022 00:45 - 07.07.2022 01:00","546","539","n/e","n/e","10521","10721"
"07.07.2022 01:00 - 07.07.2022 01:15","546","512","n/e","n/e","10536","10853"
"07.07.2022 01:15 - 07.07.2022 01:30","541","526","n/e","n/e","10520","10844"
"07.07.2022 01:30 - 07.07.2022 01:45","531","542","n/e","n/e","10492","10802"
"07.07.2022 01:45 - 07.07.2022 02:00","519","559","n/e","n/e","10455","10739"
"07.07.2022 02:00 - 07.07.2022 02:15","505","590","n/e","n/e","10410","10638"
"07.07.2022 02:15 - 07.07.2022 02:30","490","590","n/e","n/e","10372","10600"
"07.07.2022 02:30 - 07.07.2022 02:45","477","587","n/e","n/e","10339","10552"
"07.07.2022 02:45 - 07.07.2022 03:00","465","581","n/e","n/e","10313","10496"
"07.07.2022 03:00 - 07.07.2022 03:15","450","529","n/e","n/e","10281","10653"
"07.07.2022 03:15 - 07.07.2022 03:30","443","529","n/e","n/e","10268","10604"
"07.07.2022 03:30 - 07.07.2022 03:45","438","530","n/e","n/e","10260","10555"
"07.07.2022 03:45 - 07.07.2022 04:00","434","529","n/e","n/e","10254","10508"
"07.07.2022 04:00 - 07.07.2022 04:15","436","546","n/e","n/e","10259","10396"
"07.07.2022 04:15 - 07.07.2022 04:30","429","547","n/e","n/e","10247","10372"
"07.07.2022 04:30 - 07.07.2022 04:45","420","547","n/e","n/e","10226","10350"
"07.07.2022 04:45 - 07.07.2022 05:00","408","542","n/e","n/e","10201","10327"
"07.07.2022 05:00 - 07.07.2022 05:15","396","588","n/e","n/e","10162","10073"
"07.07.2022 05:15 - 07.07.2022 05:30","381","564","n/e","n/e","10146","10060"
"07.07.2022 05:30 - 07.07.2022 05:45","367","530","n/e","n/e","10139","10050"
"07.07.2022 05:45 - 07.07.2022 06:00","351","488","n/e","n/e","10142","10041"
"07.07.2022 06:00 - 07.07.2022 06:15","349","497","n/e","n/e","10152","10117"
"07.07.2022 06:15 - 07.07.2022 06:30","335","449","n/e","n/e","10159","10061"
"07.07.2022 06:30 - 07.07.2022 06:45","325","414","n/e","n/e","10162","9997"
"07.07.2022 06:45 - 07.07.2022 07:00","338","408","n/e","n/e","10154","9932"
"07.07.2022 07:00 - 07.07.2022 07:15","482","608","n/e","n/e","10181","10044"
"07.07.2022 07:15 - 07.07.2022 07:30","691","829","n/e","n/e","10128","9972"
"07.07.2022 07:30 - 07.07.2022 07:45","1028","1156","n/e","n/e","10045","9886"
"07.07.2022 07:45 - 07.07.2022 08:00","1491","1595","n/e","n/e","9940","9796"
"07.07.2022 08:00 - 07.07.2022 08:15","2620","2595","n/e","n/e","9813","9705"
"07.07.2022 08:15 - 07.07.2022 08:30","3463","3439","n/e","n/e","9705","9646"
"07.07.2022 08:30 - 07.07.2022 08:45","4372","4339","n/e","n/e","9612","9588"
"07.07.2022 08:45 - 07.07.2022 09:00","5301","5253","n/e","n/e","9533","9534"
"07.07.2022 09:00 - 07.07.2022 09:15","6840","6911","n/e","n/e","9451","9525"
"07.07.2022 09:15 - 07.07.2022 09:30","7755","7744","n/e","n/e","9391","9482"
"07.07.2022 09:30 - 07.07.2022 09:45","8532","8477","n/e","n/e","9338","9451"
"07.07.2022 09:45 - 07.07.2022 10:00","9180","9114","n/e","n/e","9290","9426"
"07.07.2022 10:00 - 07.07.2022 10:15","9974","10143","n/e","n/e","9233","9110"
"07.07.2022 10:15 - 07.07.2022 10:30","10435","10586","n/e","n/e","9203","9100"
"07.07.2022 10:30 - 07.07.2022 10:45","10822","10956","n/e","n/e","9184","9110"
"07.07.2022 10:45 - 07.07.2022 11:00","11149","11263","n/e","n/e","9172","9130"
"07.07.2022 11:00 - 07.07.2022 11:15","11516","11582","n/e","n/e","9168","9187"
"07.07.2022 11:15 - 07.07.2022 11:30","11754","11783","n/e","n/e","9159","9194"
"07.07.2022 11:30 - 07.07.2022 11:45","11962","11945","n/e","n/e","9146","9199"
"07.07.2022 11:45 - 07.07.2022 12:00","12141","12078","n/e","n/e","9128","9202"
"07.07.2022 12:00 - 07.07.2022 12:15","12351","12120","n/e","n/e","9115","9287"
"07.07.2022 12:15 - 07.07.2022 12:30","12475","12255","n/e","n/e","9083","9295"
"07.07.2022 12:30 - 07.07.2022 12:45","12573","12381","n/e","n/e","9045","9305"
"07.07.2022 12:45 - 07.07.2022 13:00","12645","12491","n/e","n/e","9006","9316"
"07.07.2022 13:00 - 07.07.2022 13:15","12733","12759","n/e","n/e","8943","9161"
"07.07.2022 13:15 - 07.07.2022 13:30","12764","12806","n/e","n/e","8926","9182"
"07.07.2022 13:30 - 07.07.2022 13:45","12778","12835","n/e","n/e","8930","9200"
"07.07.2022 13:45 - 07.07.2022 14:00","12779","12850","n/e","n/e","8951","9218"
"07.07.2022 14:00 - 07.07.2022 14:15","12784","12799","n/e","n/e","8973","8877"
"07.07.2022 14:15 - 07.07.2022 14:30","12769","12814","n/e","n/e","9011","8926"
"07.07.2022 14:30 - 07.07.2022 14:45","12750","12812","n/e","n/e","9050","8977"
"07.07.2022 14:45 - 07.07.2022 15:00","12720","12787","n/e","n/e","9091","9029"
"07.07.2022 15:00 - 07.07.2022 15:15","12728","12802","n/e","n/e","9123","8716"
"07.07.2022 15:15 - 07.07.2022 15:30","12653","12725","n/e","n/e","9175","8792"
"07.07.2022 15:30 - 07.07.2022 15:45","12545","12625","n/e","n/e","9235","8873"
"07.07.2022 15:45 - 07.07.2022 16:00","12409","12504","n/e","n/e","9304","8962"
"07.07.2022 16:00 - 07.07.2022 16:15","12286","12370","n/e","n/e","9364","9043"
"07.07.2022 16:15 - 07.07.2022 16:30","12108","12241","n/e","n/e","9452","9148"
"07.07.2022 16:30 - 07.07.2022 16:45","11917","12098","n/e","n/e","9550","9263"
"07.07.2022 16:45 - 07.07.2022 17:00","11711","11935","n/e","n/e","9658","9388"
"07.07.2022 17:00 - 07.07.2022 17:15","11542","11801","n/e","n/e","9763","9287"
"07.07.2022 17:15 - 07.07.2022 17:30","11298","11568","n/e","n/e","9886","9410"
"07.07.2022 17:30 - 07.07.2022 17:45","11031","11304","n/e","n/e","10016","9536"
"07.07.2022 17:45 - 07.07.2022 18:00","10734","11009","n/e","n/e","10152","9667"
"07.07.2022 18:00 - 07.07.2022 18:15","10533","11017","n/e","n/e","10287","9846"
"07.07.2022 18:15 - 07.07.2022 18:30","10152","10673","n/e","n/e","10435","9962"
"07.07.2022 18:30 - 07.07.2022 18:45","9716","10249","n/e","n/e","10589","10071"
"07.07.2022 18:45 - 07.07.2022 19:00","9205","9717","n/e","n/e","10746","10178"
"07.07.2022 19:00 - 07.07.2022 19:15","8972","9970","n/e","n/e","10915","10416"
"07.07.2022 19:15 - 07.07.2022 19:30","8192","8986","n/e","n/e","11068","10530"
"07.07.2022 19:30 - 07.07.2022 19:45","7267","7884","n/e","n/e","11214","10635"
"07.07.2022 19:45 - 07.07.2022 20:00","6250","6726","n/e","n/e","11353","10734"
"07.07.2022 20:00 - 07.07.2022 20:15","5429","6025","n/e","n/e","11499","10979"
"07.07.2022 20:15 - 07.07.2022 20:30","4391","4921","n/e","n/e","11629","11056"
"07.07.2022 20:30 - 07.07.2022 20:45","3462","3884","n/e","n/e","11756","11121"
"07.07.2022 20:45 - 07.07.2022 21:00","2662","2949","n/e","n/e","11880","11180"
"07.07.2022 21:00 - 07.07.2022 21:15","2010","2007","n/e","n/e","12011","11274"
"07.07.2022 21:15 - 07.07.2022 21:30","1494","1472","n/e","n/e","12131","11339"
"07.07.2022 21:30 - 07.07.2022 21:45","1135","1093","n/e","n/e","12248","11396"
"07.07.2022 21:45 - 07.07.2022 22:00","904","842","n/e","n/e","12353","11442"
"07.07.2022 22:00 - 07.07.2022 22:15","719","586","n/e","n/e","12512","11528"
"07.07.2022 22:15 - 07.07.2022 22:30","676","563","n/e","n/e","12554","11547"
"07.07.2022 22:30 - 07.07.2022 22:45","649","559","n/e","n/e","12548","11550"
"07.07.2022 22:45 - 07.07.2022 23:00","633","562","n/e","n/e","12501","11537"
"07.07.2022 23:00 - 07.07.2022 23:15","621","571","n/e","n/e","12463","11704"
"07.07.2022 23:15 - 07.07.2022 23:30","614","573","n/e","n/e","12360","11649"
"07.07.2022 23:30 - 07.07.2022 23:45","607","575","n/e","n/e","12242","11579"
"07.07.2022 23:45 - 08.07.2022 00:00","599","577","n/e","n/e","12113","11495"
"08.07.2022 00:00 - 08.07.2022 00:15","562","572","n/e","n/e","11281","11402"
"08.07.2022 00:15 - 08.07.2022 00:30","549","573","n/e","n/e","11172","11306"
"08.07.2022 00:30 - 08.07.2022 00:45","544","574","n/e","n/e","11079","11205"
"08.07.2022 00:45 - 08.07.2022 01:00","544","576","n/e","n/e","10996","11097"
"08.07.2022 01:00 - 08.07.2022 01:15","549","538","n/e","n/e","10932","10651"
"08.07.2022 01:15 - 08.07.2022 01:30","550","549","n/e","n/e","10846","10539"
"08.07.2022 01:30 - 08.07.2022 01:45","548","563","n/e","n/e","10748","10423"
"08.07.2022 01:45 - 08.07.2022 02:00","543","576","n/e","n/e","10640","10303"
"08.07.2022 02:00 - 08.07.2022 02:15","536","608","n/e","n/e","10527","10459"
"08.07.2022 02:15 - 08.07.2022 02:30","529","604","n/e","n/e","10415","10352"
"08.07.2022 02:30 - 08.07.2022 02:45","522","597","n/e","n/e","10309","10248"
"08.07.2022 02:45 - 08.07.2022 03:00","517","587","n/e","n/e","10206","10147"
"08.07.2022 03:00 - 08.07.2022 03:15","511","506","n/e","n/e","10106","10546"
"08.07.2022 03:15 - 08.07.2022 03:30","508","500","n/e","n/e","10010","10449"
"08.07.2022 03:30 - 08.07.2022 03:45","506","497","n/e","n/e","9915","10346"
"08.07.2022 03:45 - 08.07.2022 04:00","505","494","n/e","n/e","9820","10234"
"08.07.2022 04:00 - 08.07.2022 04:15","504","522","n/e","n/e","9734","10290"
"08.07.2022 04:15 - 08.07.2022 04:30","503","524","n/e","n/e","9632","10182"
"08.07.2022 04:30 - 08.07.2022 04:45","502","521","n/e","n/e","9526","10073"
"08.07.2022 04:45 - 08.07.2022 05:00","500","514","n/e","n/e","9416","9959"
"08.07.2022 05:00 - 08.07.2022 05:15","503","559","n/e","n/e","9305","10030"
"08.07.2022 05:15 - 08.07.2022 05:30","496","531","n/e","n/e","9195","9907"
"08.07.2022 05:30 - 08.07.2022 05:45","485","494","n/e","n/e","9088","9784"
"08.07.2022 05:45 - 08.07.2022 06:00","470","453","n/e","n/e","8980","9659"
"08.07.2022 06:00 - 08.07.2022 06:15","472","451","n/e","n/e","8892","9827"
"08.07.2022 06:15 - 08.07.2022 06:30","455","401","n/e","n/e","8770","9690"
"08.07.2022 06:30 - 08.07.2022 06:45","443","369","n/e","n/e","8635","9556"
"08.07.2022 06:45 - 08.07.2022 07:00","453","372","n/e","n/e","8484","9417"
"08.07.2022 07:00 - 08.07.2022 07:15","640","563","n/e","n/e","8361","9636"
"08.07.2022 07:15 - 08.07.2022 07:30","852","827","n/e","n/e","8174","9455"
"08.07.2022 07:30 - 08.07.2022 07:45","1192","1210","n/e","n/e","7967","9260"
"08.07.2022 07:45 - 08.07.2022 08:00","1666","1711","n/e","n/e","7745","9051"
"08.07.2022 08:00 - 08.07.2022 08:15","2802","2816","n/e","n/e","7526","8981"
"08.07.2022 08:15 - 08.07.2022 08:30","3679","3754","n/e","n/e","7295","8743"
"08.07.2022 08:30 - 08.07.2022 08:45","4637","4749","n/e","n/e","7069","8498"
"08.07.2022 08:45 - 08.07.2022 09:00","5618","5744","n/e","n/e","6852","8249"
"08.07.2022 09:00 - 08.07.2022 09:15","7316","7528","n/e","n/e","6622","7823"
"08.07.2022 09:15 - 08.07.2022 09:30","8278","8373","n/e","n/e","6439","7620"
"08.07.2022 09:30 - 08.07.2022 09:45","9060","9093","n/e","n/e","6277","7420"
"08.07.2022 09:45 - 08.07.2022 10:00","9680","9701","n/e","n/e","6137","7227"
"08.07.2022 10:00 - 08.07.2022 10:15","10405","10786","n/e","n/e","5986","6712"
"08.07.2022 10:15 - 08.07.2022 10:30","10820","11195","n/e","n/e","5885","6570"
"08.07.2022 10:30 - 08.07.2022 10:45","11177","11527","n/e","n/e","5800","6442"
"08.07.2022 10:45 - 08.07.2022 11:00","11482","11793","n/e","n/e","5730","6324"
"08.07.2022 11:00 - 08.07.2022 11:15","11841","12319","n/e","n/e","5660","6342"
"08.07.2022 11:15 - 08.07.2022 11:30","12050","12470","n/e","n/e","5606","6240"
"08.07.2022 11:30 - 08.07.2022 11:45","12214","12583","n/e","n/e","5556","6147"
"08.07.2022 11:45 - 08.07.2022 12:00","12341","12669","n/e","n/e","5509","6061"
"08.07.2022 12:00 - 08.07.2022 12:15","12471","12354","n/e","n/e","5460","6060"
"08.07.2022 12:15 - 08.07.2022 12:30","12554","12423","n/e","n/e","5419","5986"
"08.07.2022 12:30 - 08.07.2022 12:45","12626","12472","n/e","n/e","5381","5915"
"08.07.2022 12:45 - 08.07.2022 13:00","12692","12508","n/e","n/e","5347","5849"
"08.07.2022 13:00 - 08.07.2022 13:15","12766","12344","n/e","n/e","5306","5765"
"08.07.2022 13:15 - 08.07.2022 13:30","12816","12388","n/e","n/e","5282","5741"
"08.07.2022 13:30 - 08.07.2022 13:45","12857","12417","n/e","n/e","5266","5723"
