"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Austria (AT)","Generation - Solar  [MW] Current / Austria (AT)","Generation - Wind Offshore  [MW] Day Ahead/ Austria (AT)","Generation - Wind Offshore  [MW] Current / Austria (AT)","Generation - Wind Onshore  [MW] Day Ahead/ Austria (AT)","Generation - Wind Onshore  [MW] Current / Austria (AT)"
"01.01.2022 17:00 - 01.01.2022 17:15","0","0","n/e","n/e","1388","1516"
"01.01.2022 17:15 - 01.01.2022 17:30","0","0","n/e","n/e","1388","1488"
"01.01.2022 17:30 - 01.01.2022 17:45","0","0","n/e","n/e","1388","1560"
"01.01.2022 17:45 - 01.01.2022 18:00","0","0","n/e","n/e","1384","1540"
"01.01.2022 18:00 - 01.01.2022 18:15","0","0","n/e","n/e","1380","1516"
"01.01.2022 18:15 - 01.01.2022 18:30","0","0","n/e","n/e","1372","1492"
"01.01.2022 18:30 - 01.01.2022 18:45","0","0","n/e","n/e","1360","1464"
"01.01.2022 18:45 - 01.01.2022 19:00","0","0","n/e","n/e","1352","1440"
"01.01.2022 19:00 - 01.01.2022 19:15","0","0","n/e","n/e","1336","1404"
"01.01.2022 19:15 - 01.01.2022 19:30","0","0","n/e","n/e","1312","1364"
"01.01.2022 19:30 - 01.01.2022 19:45","0","0","n/e","n/e","1288","1332"
"01.01.2022 19:45 - 01.01.2022 20:00","0","0","n/e","n/e","1264","1296"
"01.01.2022 20:00 - 01.01.2022 20:15","0","0","n/e","n/e","1232","1252"
"01.01.2022 20:15 - 01.01.2022 20:30","0","0","n/e","n/e","1188","1200"
"01.01.2022 20:30 - 01.01.2022 20:45","0","0","n/e","n/e","1144","1172"
"01.01.2022 20:45 - 01.01.2022 21:00","0","0","n/e","n/e","1100","1124"
"01.01.2022 21:00 - 01.01.2022 21:15","0","0","n/e","n/e","1052","1056"
"01.01.2022 21:15 - 01.01.2022 21:30","0","0","n/e","n/e","996","976"
"01.01.2022 21:30 - 01.01.2022 21:45","0","0","n/e","n/e","944","892"
"01.01.2022 21:45 - 01.01.2022 22:00","0","0","n/e","n/e","888","808"
"01.01.2022 22:00 - 01.01.2022 22:15","0","0","n/e","n/e","828","724"
"01.01.2022 22:15 - 01.01.2022 22:30","0","0","n/e","n/e","764","644"
"01.01.2022 22:30 - 01.01.2022 22:45","0","0","n/e","n/e","700","560"
"01.01.2022 22:45 - 01.01.2022 23:00","0","0","n/e","n/e","636","476"
"01.01.2022 23:00 - 01.01.2022 23:15","0","0","n/e","n/e","576","404"
"01.01.2022 23:15 - 01.01.2022 23:30","0","0","n/e","n/e","524","340"
"01.01.2022 23:30 - 01.01.2022 23:45","0","0","n/e","n/e","468","280"
"01.01.2022 23:45 - 02.01.2022 00:00","0","0","n/e","n/e","412","216"
"02.01.2022 00:00 - 02.01.2022 00:15","0","0","n/e","n/e","124","176"
"02.01.2022 00:15 - 02.01.2022 00:30","0","0","n/e","n/e","116","156"
"02.01.2022 00:30 - 02.01.2022 00:45","0","0","n/e","n/e","108","148"
"02.01.2022 00:45 - 02.01.2022 01:00","0","0","n/e","n/e","104","124"
"02.01.2022 01:00 - 02.01.2022 01:15","0","0","n/e","n/e","100","108"
"02.01.2022 01:15 - 02.01.2022 01:30","0","0","n/e","n/e","100","104"
"02.01.2022 01:30 - 02.01.2022 01:45","0","0","n/e","n/e","104","96"
"02.01.2022 01:45 - 02.01.2022 02:00","0","0","n/e","n/e","104","92"
"02.01.2022 02:00 - 02.01.2022 02:15","0","0","n/e","n/e","108","92"
"02.01.2022 02:15 - 02.01.2022 02:30","0","0","n/e","n/e","116","92"
"02.01.2022 02:30 - 02.01.2022 02:45","0","0","n/e","n/e","124","88"
"02.01.2022 02:45 - 02.01.2022 03:00","0","0","n/e","n/e","136","88"
"02.01.2022 03:00 - 02.01.2022 03:15","0","0","n/e","n/e","156","96"
"02.01.2022 03:15 - 02.01.2022 03:30","0","0","n/e","n/e","192","104"
"02.01.2022 03:30 - 02.01.2022 03:45","0","0","n/e","n/e","224","112"
"02.01.2022 03:45 - 02.01.2022 04:00","0","0","n/e","n/e","260","120"
"02.01.2022 04:00 - 02.01.2022 04:15","0","0","n/e","n/e","288","144"
"02.01.2022 04:15 - 02.01.2022 04:30","0","0","n/e","n/e","316","188"
"02.01.2022 04:30 - 02.01.2022 04:45","0","0","n/e","n/e","344","232"
"02.01.2022 04:45 - 02.01.2022 05:00","0","0","n/e","n/e","372","272"
"02.01.2022 05:00 - 02.01.2022 05:15","0","0","n/e","n/e","396","328"
"02.01.2022 05:15 - 02.01.2022 05:30","0","0","n/e","n/e","420","392"
"02.01.2022 05:30 - 02.01.2022 05:45","0","0","n/e","n/e","448","444"
"02.01.2022 05:45 - 02.01.2022 06:00","0","0","n/e","n/e","472","516"
"02.01.2022 06:00 - 02.01.2022 06:15","0","0","n/e","n/e","492","580"
"02.01.2022 06:15 - 02.01.2022 06:30","0","0","n/e","n/e","512","636"
"02.01.2022 06:30 - 02.01.2022 06:45","0","0","n/e","n/e","532","692"
"02.01.2022 06:45 - 02.01.2022 07:00","0","0","n/e","n/e","552","752"
"02.01.2022 07:00 - 02.01.2022 07:15","0","0","n/e","n/e","564","800"
"02.01.2022 07:15 - 02.01.2022 07:30","0","0","n/e","n/e","576","840"
"02.01.2022 07:30 - 02.01.2022 07:45","0","0","n/e","n/e","584","880"
"02.01.2022 07:45 - 02.01.2022 08:00","16","16","n/e","n/e","596","924"
"02.01.2022 08:00 - 02.01.2022 08:15","44","44","n/e","n/e","584","944"
"02.01.2022 08:15 - 02.01.2022 08:30","52","52","n/e","n/e","556","952"
"02.01.2022 08:30 - 02.01.2022 08:45","64","60","n/e","n/e","528","756"
"02.01.2022 08:45 - 02.01.2022 09:00","76","72","n/e","n/e","496","768"
"02.01.2022 09:00 - 02.01.2022 09:15","96","92","n/e","n/e","476","760"
"02.01.2022 09:15 - 02.01.2022 09:30","136","132","n/e","n/e","464","728"
"02.01.2022 09:30 - 02.01.2022 09:45","156","148","n/e","n/e","452","696"
"02.01.2022 09:45 - 02.01.2022 10:00","184","176","n/e","n/e","440","660"
"02.01.2022 10:00 - 02.01.2022 10:15","212","200","n/e","n/e","408","604"
"02.01.2022 10:15 - 02.01.2022 10:30","244","232","n/e","n/e","364","524"
"02.01.2022 10:30 - 02.01.2022 10:45","272","256","n/e","n/e","316","440"
"02.01.2022 10:45 - 02.01.2022 11:00","288","272","n/e","n/e","268","360"
"02.01.2022 11:00 - 02.01.2022 11:15","288","296","n/e","n/e","232","304"
"02.01.2022 11:15 - 02.01.2022 11:30","292","324","n/e","n/e","212","280"
"02.01.2022 11:30 - 02.01.2022 11:45","276","340","n/e","n/e","188","236"
"02.01.2022 11:45 - 02.01.2022 12:00","256","344","n/e","n/e","164","212"
"02.01.2022 12:00 - 02.01.2022 12:15","228","352","n/e","n/e","148","192"
"02.01.2022 12:15 - 02.01.2022 12:30","204","368","n/e","n/e","140","180"
"02.01.2022 12:30 - 02.01.2022 12:45","172","368","n/e","n/e","132","152"
"02.01.2022 12:45 - 02.01.2022 13:00","144","352","n/e","n/e","124","148"
"02.01.2022 13:00 - 02.01.2022 13:15","136","344","n/e","n/e","124","144"
"02.01.2022 13:15 - 02.01.2022 13:30","132","344","n/e","n/e","124","148"
"02.01.2022 13:30 - 02.01.2022 13:45","124","328","n/e","n/e","124","152"
"02.01.2022 13:45 - 02.01.2022 14:00","120","296","n/e","n/e","128","156"
"02.01.2022 14:00 - 02.01.2022 14:15","112","268","n/e","n/e","128","156"
