"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Austria (AT)","Generation - Solar  [MW] Current / Austria (AT)","Generation - Wind Offshore  [MW] Day Ahead/ Austria (AT)","Generation - Wind Offshore  [MW] Current / Austria (AT)","Generation - Wind Onshore  [MW] Day Ahead/ Austria (AT)","Generation - Wind Onshore  [MW] Current / Austria (AT)"
"03.01.2022 01:30 - 03.01.2022 01:45","0","0","n/e","n/e","1524","1312"
"03.01.2022 01:45 - 03.01.2022 02:00","0","0","n/e","n/e","1524","1344"
"03.01.2022 02:00 - 03.01.2022 02:15","0","0","n/e","n/e","1524","1368"
"03.01.2022 02:15 - 03.01.2022 02:30","0","0","n/e","n/e","1516","1388"
"03.01.2022 02:30 - 03.01.2022 02:45","0","0","n/e","n/e","1512","1380"
"03.01.2022 02:45 - 03.01.2022 03:00","0","0","n/e","n/e","1504","1384"
"03.01.2022 03:00 - 03.01.2022 03:15","0","0","n/e","n/e","1508","1420"
"03.01.2022 03:15 - 03.01.2022 03:30","0","0","n/e","n/e","1528","1484"
"03.01.2022 03:30 - 03.01.2022 03:45","0","0","n/e","n/e","1544","1544"
"03.01.2022 03:45 - 03.01.2022 04:00","0","0","n/e","n/e","1560","1616"
"03.01.2022 04:00 - 03.01.2022 04:15","0","0","n/e","n/e","1572","1684"
"03.01.2022 04:15 - 03.01.2022 04:30","0","0","n/e","n/e","1576","1744"
"03.01.2022 04:30 - 03.01.2022 04:45","0","0","n/e","n/e","1584","1808"
"03.01.2022 04:45 - 03.01.2022 05:00","0","0","n/e","n/e","1592","1872"
"03.01.2022 05:00 - 03.01.2022 05:15","0","0","n/e","n/e","1600","1940"
"03.01.2022 05:15 - 03.01.2022 05:30","0","0","n/e","n/e","1612","2016"
"03.01.2022 05:30 - 03.01.2022 05:45","0","0","n/e","n/e","1624","2004"
"03.01.2022 05:45 - 03.01.2022 06:00","0","0","n/e","n/e","1636","2092"
"03.01.2022 06:00 - 03.01.2022 06:15","0","0","n/e","n/e","1672","2180"
"03.01.2022 06:15 - 03.01.2022 06:30","0","0","n/e","n/e","1724","2268"
