"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Romania (RO)","Generation - Solar  [MW] Current / Romania (RO)","Generation - Wind Offshore  [MW] Day Ahead/ Romania (RO)","Generation - Wind Offshore  [MW] Current / Romania (RO)","Generation - Wind Onshore  [MW] Day Ahead/ Romania (RO)","Generation - Wind Onshore  [MW] Current / Romania (RO)"
"01.01.2022 09:30 - 01.01.2022 09:45","175","177","n/e","n/e","910","910"
"01.01.2022 09:45 - 01.01.2022 10:00","178","179","n/e","n/e","910","910"
"01.01.2022 10:00 - 01.01.2022 10:15","240","241","n/e","n/e","850","850"
"01.01.2022 10:15 - 01.01.2022 10:30","242","243","n/e","n/e","849","849"
"01.01.2022 10:30 - 01.01.2022 10:45","243","244","n/e","n/e","848","848"
"01.01.2022 10:45 - 01.01.2022 11:00","244","246","n/e","n/e","846","846"
"01.01.2022 11:00 - 01.01.2022 11:15","279","280","n/e","n/e","814","814"
"01.01.2022 11:15 - 01.01.2022 11:30","278","280","n/e","n/e","813","813"
"01.01.2022 11:30 - 01.01.2022 11:45","277","278","n/e","n/e","812","812"
"01.01.2022 11:45 - 01.01.2022 12:00","276","277","n/e","n/e","811","811"
"01.01.2022 12:00 - 01.01.2022 12:15","250","251","n/e","n/e","785","785"
"01.01.2022 12:15 - 01.01.2022 12:30","248","250","n/e","n/e","785","785"
"01.01.2022 12:30 - 01.01.2022 12:45","246","247","n/e","n/e","785","785"
"01.01.2022 12:45 - 01.01.2022 13:00","244","245","n/e","n/e","785","785"
"01.01.2022 13:00 - 01.01.2022 13:15","173","175","n/e","n/e","775","775"
"01.01.2022 13:15 - 01.01.2022 13:30","170","172","n/e","n/e","775","775"
"01.01.2022 13:30 - 01.01.2022 13:45","167","168","n/e","n/e","775","775"
"01.01.2022 13:45 - 01.01.2022 14:00","163","164","n/e","n/e","774","774"
"01.01.2022 14:00 - 01.01.2022 14:15","73","73","n/e","n/e","801","801"
"01.01.2022 14:15 - 01.01.2022 14:30","70","70","n/e","n/e","801","801"
"01.01.2022 14:30 - 01.01.2022 14:45","67","67","n/e","n/e","802","802"
"01.01.2022 14:45 - 01.01.2022 15:00","64","64","n/e","n/e","802","802"
"01.01.2022 15:00 - 01.01.2022 15:15","12","12","n/e","n/e","877","877"
"01.01.2022 15:15 - 01.01.2022 15:30","11","11","n/e","n/e","878","878"
"01.01.2022 15:30 - 01.01.2022 15:45","10","10","n/e","n/e","880","880"
"01.01.2022 15:45 - 01.01.2022 16:00","10","10","n/e","n/e","881","881"
"01.01.2022 16:00 - 01.01.2022 16:15","0","0","n/e","n/e","980","980"
"01.01.2022 16:15 - 01.01.2022 16:30","0","0","n/e","n/e","981","981"
"01.01.2022 16:30 - 01.01.2022 16:45","0","0","n/e","n/e","982","982"
"01.01.2022 16:45 - 01.01.2022 17:00","0","0","n/e","n/e","984","984"
"01.01.2022 17:00 - 01.01.2022 17:15","0","0","n/e","n/e","969","969"
"01.01.2022 17:15 - 01.01.2022 17:30","0","0","n/e","n/e","969","969"
"01.01.2022 17:30 - 01.01.2022 17:45","0","0","n/e","n/e","970","970"
"01.01.2022 17:45 - 01.01.2022 18:00","0","0","n/e","n/e","969","969"
"01.01.2022 18:00 - 01.01.2022 18:15","0","0","n/e","n/e","889","889"
"01.01.2022 18:15 - 01.01.2022 18:30","0","0","n/e","n/e","888","888"
"01.01.2022 18:30 - 01.01.2022 18:45","0","0","n/e","n/e","888","888"
"01.01.2022 18:45 - 01.01.2022 19:00","0","0","n/e","n/e","887","887"
"01.01.2022 19:00 - 01.01.2022 19:15","0","0","n/e","n/e","859","859"
"01.01.2022 19:15 - 01.01.2022 19:30","0","0","n/e","n/e","858","858"
"01.01.2022 19:30 - 01.01.2022 19:45","0","0","n/e","n/e","858","858"
"01.01.2022 19:45 - 01.01.2022 20:00","0","0","n/e","n/e","858","858"
"01.01.2022 20:00 - 01.01.2022 20:15","0","0","n/e","n/e","851","851"
"01.01.2022 20:15 - 01.01.2022 20:30","0","0","n/e","n/e","851","851"
"01.01.2022 20:30 - 01.01.2022 20:45","0","0","n/e","n/e","852","852"
"01.01.2022 20:45 - 01.01.2022 21:00","0","0","n/e","n/e","852","852"
"01.01.2022 21:00 - 01.01.2022 21:15","0","0","n/e","n/e","871","871"
"01.01.2022 21:15 - 01.01.2022 21:30","0","0","n/e","n/e","872","872"
"01.01.2022 21:30 - 01.01.2022 21:45","0","0","n/e","n/e","873","873"
"01.01.2022 21:45 - 01.01.2022 22:00","0","0","n/e","n/e","873","873"
"01.01.2022 22:00 - 01.01.2022 22:15","0","0","n/e","n/e","989","989"
"01.01.2022 22:15 - 01.01.2022 22:30","0","0","n/e","n/e","990","990"
"01.01.2022 22:30 - 01.01.2022 22:45","0","0","n/e","n/e","991","991"
"01.01.2022 22:45 - 01.01.2022 23:00","0","0","n/e","n/e","992","992"
"01.01.2022 23:00 - 01.01.2022 23:15","0","0","n/e","n/e","1136","1163"
"01.01.2022 23:15 - 01.01.2022 23:30","0","0","n/e","n/e","1136","1163"
"01.01.2022 23:30 - 01.01.2022 23:45","0","0","n/e","n/e","1137","1180"
"01.01.2022 23:45 - 02.01.2022 00:00","0","0","n/e","n/e","1137","1172"
"02.01.2022 00:00 - 02.01.2022 00:15","0","0","n/e","n/e","1028","1032"
"02.01.2022 00:15 - 02.01.2022 00:30","0","0","n/e","n/e","1030","1034"
"02.01.2022 00:30 - 02.01.2022 00:45","0","0","n/e","n/e","1032","1027"
"02.01.2022 00:45 - 02.01.2022 01:00","0","0","n/e","n/e","1034","1013"
"02.01.2022 01:00 - 02.01.2022 01:15","0","0","n/e","n/e","1223","1198"
"02.01.2022 01:15 - 02.01.2022 01:30","0","0","n/e","n/e","1225","1187"
"02.01.2022 01:30 - 02.01.2022 01:45","0","0","n/e","n/e","1227","1199"
"02.01.2022 01:45 - 02.01.2022 02:00","0","0","n/e","n/e","1229","1219"
"02.01.2022 02:00 - 02.01.2022 02:15","0","0","n/e","n/e","1394","1380"
"02.01.2022 02:15 - 02.01.2022 02:30","0","0","n/e","n/e","1395","1381"
"02.01.2022 02:30 - 02.01.2022 02:45","0","0","n/e","n/e","1396","1382"
"02.01.2022 02:45 - 02.01.2022 03:00","0","0","n/e","n/e","1396","1382"
"02.01.2022 03:00 - 02.01.2022 03:15","0","0","n/e","n/e","1563","1564"
"02.01.2022 03:15 - 02.01.2022 03:30","0","0","n/e","n/e","1564","1565"
"02.01.2022 03:30 - 02.01.2022 03:45","0","0","n/e","n/e","1564","1566"
"02.01.2022 03:45 - 02.01.2022 04:00","0","0","n/e","n/e","1564","1568"
"02.01.2022 04:00 - 02.01.2022 04:15","0","0","n/e","n/e","1765","1751"
"02.01.2022 04:15 - 02.01.2022 04:30","0","0","n/e","n/e","1765","1756"
"02.01.2022 04:30 - 02.01.2022 04:45","0","0","n/e","n/e","1765","1781"
"02.01.2022 04:45 - 02.01.2022 05:00","0","0","n/e","n/e","1765","1792"
"02.01.2022 05:00 - 02.01.2022 05:15","0","0","n/e","n/e","1857","1867"
"02.01.2022 05:15 - 02.01.2022 05:30","0","0","n/e","n/e","1857","1867"
"02.01.2022 05:30 - 02.01.2022 05:45","0","0","n/e","n/e","1857","1867"
"02.01.2022 05:45 - 02.01.2022 06:00","0","0","n/e","n/e","1857","1867"
"02.01.2022 06:00 - 02.01.2022 06:15","1","1","n/e","n/e","1874","1875"
"02.01.2022 06:15 - 02.01.2022 06:30","1","1","n/e","n/e","1873","1875"
"02.01.2022 06:30 - 02.01.2022 06:45","2","2","n/e","n/e","1873","1874"
"02.01.2022 06:45 - 02.01.2022 07:00","3","3","n/e","n/e","1873","1874"
"02.01.2022 07:00 - 02.01.2022 07:15","24","24","n/e","n/e","1742","1741"
"02.01.2022 07:15 - 02.01.2022 07:30","26","26","n/e","n/e","1742","1741"
"02.01.2022 07:30 - 02.01.2022 07:45","29","29","n/e","n/e","1741","1740"
"02.01.2022 07:45 - 02.01.2022 08:00","33","33","n/e","n/e","1741","1740"
"02.01.2022 08:00 - 02.01.2022 08:15","99","99","n/e","n/e","1432","1432"
"02.01.2022 08:15 - 02.01.2022 08:30","104","104","n/e","n/e","1427","1427"
"02.01.2022 08:30 - 02.01.2022 08:45","109","109","n/e","n/e","1422","1422"
"02.01.2022 08:45 - 02.01.2022 09:00","113","113","n/e","n/e","1417","1417"
"02.01.2022 09:00 - 02.01.2022 09:15","197","197","n/e","n/e","1089","1089"
"02.01.2022 09:15 - 02.01.2022 09:30","201","201","n/e","n/e","1086","1086"
"02.01.2022 09:30 - 02.01.2022 09:45","205","205","n/e","n/e","1083","1083"
"02.01.2022 09:45 - 02.01.2022 10:00","207","207","n/e","n/e","1079","1079"
"02.01.2022 10:00 - 02.01.2022 10:15","261","261","n/e","n/e","729","729"
"02.01.2022 10:15 - 02.01.2022 10:30","263","263","n/e","n/e","727","727"
"02.01.2022 10:30 - 02.01.2022 10:45","264","264","n/e","n/e","726","726"
"02.01.2022 10:45 - 02.01.2022 11:00","265","265","n/e","n/e","725","725"
"02.01.2022 11:00 - 02.01.2022 11:15","270","270","n/e","n/e","404","404"
"02.01.2022 11:15 - 02.01.2022 11:30","270","270","n/e","n/e","404","404"
"02.01.2022 11:30 - 02.01.2022 11:45","269","269","n/e","n/e","403","403"
"02.01.2022 11:45 - 02.01.2022 12:00","267","267","n/e","n/e","402","402"
"02.01.2022 12:00 - 02.01.2022 12:15","240","240","n/e","n/e","206","206"
"02.01.2022 12:15 - 02.01.2022 12:30","239","239","n/e","n/e","205","205"
"02.01.2022 12:30 - 02.01.2022 12:45","237","237","n/e","n/e","204","204"
"02.01.2022 12:45 - 02.01.2022 13:00","235","235","n/e","n/e","204","204"
"02.01.2022 13:00 - 02.01.2022 13:15","175","175","n/e","n/e","89","89"
"02.01.2022 13:15 - 02.01.2022 13:30","172","172","n/e","n/e","89","89"
"02.01.2022 13:30 - 02.01.2022 13:45","169","169","n/e","n/e","89","89"
"02.01.2022 13:45 - 02.01.2022 14:00","165","165","n/e","n/e","88","88"
"02.01.2022 14:00 - 02.01.2022 14:15","80","80","n/e","n/e","58","58"
"02.01.2022 14:15 - 02.01.2022 14:30","78","78","n/e","n/e","58","58"
"02.01.2022 14:30 - 02.01.2022 14:45","75","75","n/e","n/e","57","57"
"02.01.2022 14:45 - 02.01.2022 15:00","73","73","n/e","n/e","57","57"
"02.01.2022 15:00 - 02.01.2022 15:15","13","13","n/e","n/e","102","102"
"02.01.2022 15:15 - 02.01.2022 15:30","12","12","n/e","n/e","102","102"
"02.01.2022 15:30 - 02.01.2022 15:45","11","11","n/e","n/e","102","102"
"02.01.2022 15:45 - 02.01.2022 16:00","11","11","n/e","n/e","102","102"
"02.01.2022 16:00 - 02.01.2022 16:15","0","0","n/e","n/e","181","181"
"02.01.2022 16:15 - 02.01.2022 16:30","0","0","n/e","n/e","181","181"
"02.01.2022 16:30 - 02.01.2022 16:45","0","0","n/e","n/e","181","181"
"02.01.2022 16:45 - 02.01.2022 17:00","0","0","n/e","n/e","181","181"
"02.01.2022 17:00 - 02.01.2022 17:15","0","0","n/e","n/e","275","275"
"02.01.2022 17:15 - 02.01.2022 17:30","0","0","n/e","n/e","275","275"
"02.01.2022 17:30 - 02.01.2022 17:45","0","0","n/e","n/e","275","275"
"02.01.2022 17:45 - 02.01.2022 18:00","0","0","n/e","n/e","275","275"
"02.01.2022 18:00 - 02.01.2022 18:15","0","0","n/e","n/e","390","390"
"02.01.2022 18:15 - 02.01.2022 18:30","0","0","n/e","n/e","390","390"
