"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Romania (RO)","Generation - Solar  [MW] Current / Romania (RO)","Generation - Wind Offshore  [MW] Day Ahead/ Romania (RO)","Generation - Wind Offshore  [MW] Current / Romania (RO)","Generation - Wind Onshore  [MW] Day Ahead/ Romania (RO)","Generation - Wind Onshore  [MW] Current / Romania (RO)"
"02.03.2022 19:15 - 02.03.2022 19:30","0","0","n/e","n/e","1446","1446"
"02.03.2022 19:30 - 02.03.2022 19:45","0","0","n/e","n/e","1446","1446"
"02.03.2022 19:45 - 02.03.2022 20:00","0","0","n/e","n/e","1447","1447"
"02.03.2022 20:00 - 02.03.2022 20:15","0","0","n/e","n/e","1474","1474"
"02.03.2022 20:15 - 02.03.2022 20:30","0","0","n/e","n/e","1474","1474"
"02.03.2022 20:30 - 02.03.2022 20:45","0","0","n/e","n/e","1474","1474"
"02.03.2022 20:45 - 02.03.2022 21:00","0","0","n/e","n/e","1474","1474"
"02.03.2022 21:00 - 02.03.2022 21:15","0","0","n/e","n/e","1560","1560"
"02.03.2022 21:15 - 02.03.2022 21:30","0","0","n/e","n/e","1561","1561"
"02.03.2022 21:30 - 02.03.2022 21:45","0","0","n/e","n/e","1562","1562"
"02.03.2022 21:45 - 02.03.2022 22:00","0","0","n/e","n/e","1563","1563"
"02.03.2022 22:00 - 02.03.2022 22:15","0","0","n/e","n/e","1628","1628"
"02.03.2022 22:15 - 02.03.2022 22:30","0","0","n/e","n/e","1629","1629"
"02.03.2022 22:30 - 02.03.2022 22:45","0","0","n/e","n/e","1630","1630"
"02.03.2022 22:45 - 02.03.2022 23:00","0","0","n/e","n/e","1631","1631"
"02.03.2022 23:00 - 02.03.2022 23:15","0","0","n/e","n/e","1640","1691"
"02.03.2022 23:15 - 02.03.2022 23:30","0","0","n/e","n/e","1640","1690"
"02.03.2022 23:30 - 02.03.2022 23:45","0","0","n/e","n/e","1641","1672"
"02.03.2022 23:45 - 03.03.2022 00:00","0","0","n/e","n/e","1641","1666"
"03.03.2022 00:00 - 03.03.2022 00:15","0","0","n/e","n/e","1860","1848"
"03.03.2022 00:15 - 03.03.2022 00:30","0","0","n/e","n/e","1860","1849"
"03.03.2022 00:30 - 03.03.2022 00:45","0","0","n/e","n/e","1860","1849"
"03.03.2022 00:45 - 03.03.2022 01:00","0","0","n/e","n/e","1861","1850"
"03.03.2022 01:00 - 03.03.2022 01:15","0","0","n/e","n/e","1861","1866"
"03.03.2022 01:15 - 03.03.2022 01:30","0","0","n/e","n/e","1861","1866"
"03.03.2022 01:30 - 03.03.2022 01:45","0","0","n/e","n/e","1860","1866"
"03.03.2022 01:45 - 03.03.2022 02:00","0","0","n/e","n/e","1860","1866"
"03.03.2022 02:00 - 03.03.2022 02:15","0","0","n/e","n/e","1860","1886"
"03.03.2022 02:15 - 03.03.2022 02:30","0","0","n/e","n/e","1860","1886"
"03.03.2022 02:30 - 03.03.2022 02:45","0","0","n/e","n/e","1860","1886"
"03.03.2022 02:45 - 03.03.2022 03:00","0","0","n/e","n/e","1860","1887"
"03.03.2022 03:00 - 03.03.2022 03:15","0","0","n/e","n/e","1864","1872"
"03.03.2022 03:15 - 03.03.2022 03:30","0","0","n/e","n/e","1864","1872"
"03.03.2022 03:30 - 03.03.2022 03:45","0","0","n/e","n/e","1864","1872"
"03.03.2022 03:45 - 03.03.2022 04:00","0","0","n/e","n/e","1864","1872"
"03.03.2022 04:00 - 03.03.2022 04:15","0","0","n/e","n/e","1856","1871"
"03.03.2022 04:15 - 03.03.2022 04:30","0","0","n/e","n/e","1856","1871"
"03.03.2022 04:30 - 03.03.2022 04:45","0","0","n/e","n/e","1856","1870"
"03.03.2022 04:45 - 03.03.2022 05:00","0","0","n/e","n/e","1855","1874"
"03.03.2022 05:00 - 03.03.2022 05:15","0","0","n/e","n/e","1820","1836"
"03.03.2022 05:15 - 03.03.2022 05:30","1","1","n/e","n/e","1819","1849"
"03.03.2022 05:30 - 03.03.2022 05:45","2","2","n/e","n/e","1819","1885"
"03.03.2022 05:45 - 03.03.2022 06:00","4","4","n/e","n/e","1818","1880"
"03.03.2022 06:00 - 03.03.2022 06:15","28","28","n/e","n/e","1739","1748"
"03.03.2022 06:15 - 03.03.2022 06:30","33","33","n/e","n/e","1738","1747"
"03.03.2022 06:30 - 03.03.2022 06:45","40","40","n/e","n/e","1738","1772"
"03.03.2022 06:45 - 03.03.2022 07:00","48","48","n/e","n/e","1737","1772"
"03.03.2022 07:00 - 03.03.2022 07:15","154","154","n/e","n/e","1707","1719"
"03.03.2022 07:15 - 03.03.2022 07:30","165","165","n/e","n/e","1707","1719"
"03.03.2022 07:30 - 03.03.2022 07:45","177","177","n/e","n/e","1707","1719"
"03.03.2022 07:45 - 03.03.2022 08:00","188","188","n/e","n/e","1708","1719"
"03.03.2022 08:00 - 03.03.2022 08:15","334","334","n/e","n/e","1676","1689"
"03.03.2022 08:15 - 03.03.2022 08:30","347","347","n/e","n/e","1676","1688"
"03.03.2022 08:30 - 03.03.2022 08:45","356","356","n/e","n/e","1675","1688"
"03.03.2022 08:45 - 03.03.2022 09:00","366","366","n/e","n/e","1675","1688"
"03.03.2022 09:00 - 03.03.2022 09:15","468","468","n/e","n/e","1676","1691"
"03.03.2022 09:15 - 03.03.2022 09:30","475","475","n/e","n/e","1675","1690"
"03.03.2022 09:30 - 03.03.2022 09:45","481","481","n/e","n/e","1674","1689"
"03.03.2022 09:45 - 03.03.2022 10:00","486","486","n/e","n/e","1674","1689"
"03.03.2022 10:00 - 03.03.2022 10:15","547","547","n/e","n/e","1643","1644"
"03.03.2022 10:15 - 03.03.2022 10:30","550","550","n/e","n/e","1642","1642"
"03.03.2022 10:30 - 03.03.2022 10:45","552","552","n/e","n/e","1640","1641"
"03.03.2022 10:45 - 03.03.2022 11:00","553","553","n/e","n/e","1639","1640"
"03.03.2022 11:00 - 03.03.2022 11:15","543","543","n/e","n/e","1529","1529"
"03.03.2022 11:15 - 03.03.2022 11:30","543","543","n/e","n/e","1528","1528"
"03.03.2022 11:30 - 03.03.2022 11:45","541","541","n/e","n/e","1526","1526"
"03.03.2022 11:45 - 03.03.2022 12:00","538","538","n/e","n/e","1525","1525"
"03.03.2022 12:00 - 03.03.2022 12:15","473","473","n/e","n/e","1434","1435"
"03.03.2022 12:15 - 03.03.2022 12:30","470","470","n/e","n/e","1434","1434"
"03.03.2022 12:30 - 03.03.2022 12:45","467","467","n/e","n/e","1433","1434"
"03.03.2022 12:45 - 03.03.2022 13:00","464","464","n/e","n/e","1433","1433"
"03.03.2022 13:00 - 03.03.2022 13:15","371","371","n/e","n/e","1305","1305"
"03.03.2022 13:15 - 03.03.2022 13:30","367","367","n/e","n/e","1303","1303"
"03.03.2022 13:30 - 03.03.2022 13:45","362","362","n/e","n/e","1301","1301"
"03.03.2022 13:45 - 03.03.2022 14:00","357","357","n/e","n/e","1299","1299"
"03.03.2022 14:00 - 03.03.2022 14:15","265","265","n/e","n/e","1051","1051"
"03.03.2022 14:15 - 03.03.2022 14:30","259","259","n/e","n/e","1048","1049"
"03.03.2022 14:30 - 03.03.2022 14:45","253","253","n/e","n/e","1046","1046"
"03.03.2022 14:45 - 03.03.2022 15:00","247","247","n/e","n/e","1043","1044"
"03.03.2022 15:00 - 03.03.2022 15:15","145","145","n/e","n/e","812","814"
"03.03.2022 15:15 - 03.03.2022 15:30","138","138","n/e","n/e","809","811"
"03.03.2022 15:30 - 03.03.2022 15:45","133","133","n/e","n/e","807","809"
"03.03.2022 15:45 - 03.03.2022 16:00","128","128","n/e","n/e","805","807"
"03.03.2022 16:00 - 03.03.2022 16:15","38","38","n/e","n/e","688","688"
"03.03.2022 16:15 - 03.03.2022 16:30","36","36","n/e","n/e","688","688"
"03.03.2022 16:30 - 03.03.2022 16:45","33","33","n/e","n/e","688","688"
"03.03.2022 16:45 - 03.03.2022 17:00","31","31","n/e","n/e","689","689"
"03.03.2022 17:00 - 03.03.2022 17:15","1","1","n/e","n/e","690","690"
"03.03.2022 17:15 - 03.03.2022 17:30","1","1","n/e","n/e","690","690"
"03.03.2022 17:30 - 03.03.2022 17:45","1","1","n/e","n/e","691","691"
"03.03.2022 17:45 - 03.03.2022 18:00","1","1","n/e","n/e","691","691"
"03.03.2022 18:00 - 03.03.2022 18:15","0","0","n/e","n/e","734","734"
"03.03.2022 18:15 - 03.03.2022 18:30","0","0","n/e","n/e","733","733"
"03.03.2022 18:30 - 03.03.2022 18:45","0","0","n/e","n/e","733","733"
"03.03.2022 18:45 - 03.03.2022 19:00","0","0","n/e","n/e","732","732"
"03.03.2022 19:00 - 03.03.2022 19:15","0","0","n/e","n/e","704","704"
"03.03.2022 19:15 - 03.03.2022 19:30","0","0","n/e","n/e","703","703"
"03.03.2022 19:30 - 03.03.2022 19:45","0","0","n/e","n/e","702","702"
"03.03.2022 19:45 - 03.03.2022 20:00","0","0","n/e","n/e","702","702"
"03.03.2022 20:00 - 03.03.2022 20:15","0","0","n/e","n/e","650","650"
"03.03.2022 20:15 - 03.03.2022 20:30","0","0","n/e","n/e","650","650"
"03.03.2022 20:30 - 03.03.2022 20:45","0","0","n/e","n/e","650","650"
"03.03.2022 20:45 - 03.03.2022 21:00","0","0","n/e","n/e","650","650"
"03.03.2022 21:00 - 03.03.2022 21:15","0","0","n/e","n/e","621","621"
"03.03.2022 21:15 - 03.03.2022 21:30","0","0","n/e","n/e","621","621"
"03.03.2022 21:30 - 03.03.2022 21:45","0","0","n/e","n/e","621","621"
"03.03.2022 21:45 - 03.03.2022 22:00","0","0","n/e","n/e","621","621"
"03.03.2022 22:00 - 03.03.2022 22:15","0","0","n/e","n/e","575","575"
"03.03.2022 22:15 - 03.03.2022 22:30","0","0","n/e","n/e","575","575"
"03.03.2022 22:30 - 03.03.2022 22:45","0","0","n/e","n/e","574","574"
"03.03.2022 22:45 - 03.03.2022 23:00","0","0","n/e","n/e","574","574"
"03.03.2022 23:00 - 03.03.2022 23:15","0","0","n/e","n/e","553","550"
"03.03.2022 23:15 - 03.03.2022 23:30","0","0","n/e","n/e","553","550"
"03.03.2022 23:30 - 03.03.2022 23:45","0","0","n/e","n/e","553","550"
"03.03.2022 23:45 - 04.03.2022 00:00","0","0","n/e","n/e","552","549"
"04.03.2022 00:00 - 04.03.2022 00:15","0","0","n/e","n/e","410","446"
"04.03.2022 00:15 - 04.03.2022 00:30","0","0","n/e","n/e","410","446"
"04.03.2022 00:30 - 04.03.2022 00:45","0","0","n/e","n/e","410","445"
"04.03.2022 00:45 - 04.03.2022 01:00","0","0","n/e","n/e","410","448"
"04.03.2022 01:00 - 04.03.2022 01:15","0","0","n/e","n/e","389","402"
"04.03.2022 01:15 - 04.03.2022 01:30","0","0","n/e","n/e","389","423"
"04.03.2022 01:30 - 04.03.2022 01:45","0","0","n/e","n/e","389","410"
"04.03.2022 01:45 - 04.03.2022 02:00","0","0","n/e","n/e","389","404"
"04.03.2022 02:00 - 04.03.2022 02:15","0","0","n/e","n/e","381","381"
"04.03.2022 02:15 - 04.03.2022 02:30","0","0","n/e","n/e","381","381"
"04.03.2022 02:30 - 04.03.2022 02:45","0","0","n/e","n/e","381","381"
"04.03.2022 02:45 - 04.03.2022 03:00","0","0","n/e","n/e","381","379"
"04.03.2022 03:00 - 04.03.2022 03:15","0","0","n/e","n/e","342","322"
"04.03.2022 03:15 - 04.03.2022 03:30","0","0","n/e","n/e","342","322"
"04.03.2022 03:30 - 04.03.2022 03:45","0","0","n/e","n/e","342","321"
"04.03.2022 03:45 - 04.03.2022 04:00","0","0","n/e","n/e","341","320"
"04.03.2022 04:00 - 04.03.2022 04:15","0","0","n/e","n/e","272","248"
"04.03.2022 04:15 - 04.03.2022 04:30","0","0","n/e","n/e","272","248"
"04.03.2022 04:30 - 04.03.2022 04:45","0","0","n/e","n/e","272","247"
"04.03.2022 04:45 - 04.03.2022 05:00","0","0","n/e","n/e","271","247"
"04.03.2022 05:00 - 04.03.2022 05:15","0","0","n/e","n/e","189","189"
"04.03.2022 05:15 - 04.03.2022 05:30","1","1","n/e","n/e","188","188"
"04.03.2022 05:30 - 04.03.2022 05:45","2","2","n/e","n/e","188","188"
"04.03.2022 05:45 - 04.03.2022 06:00","4","4","n/e","n/e","187","182"
"04.03.2022 06:00 - 04.03.2022 06:15","28","28","n/e","n/e","135","125"
"04.03.2022 06:15 - 04.03.2022 06:30","33","33","n/e","n/e","134","125"
"04.03.2022 06:30 - 04.03.2022 06:45","39","39","n/e","n/e","134","125"
"04.03.2022 06:45 - 04.03.2022 07:00","47","47","n/e","n/e","134","125"
"04.03.2022 07:00 - 04.03.2022 07:15","143","143","n/e","n/e","101","101"
"04.03.2022 07:15 - 04.03.2022 07:30","153","153","n/e","n/e","101","101"
"04.03.2022 07:30 - 04.03.2022 07:45","162","163","n/e","n/e","101","101"
"04.03.2022 07:45 - 04.03.2022 08:00","172","172","n/e","n/e","101","101"
"04.03.2022 08:00 - 04.03.2022 08:15","291","291","n/e","n/e","133","133"
"04.03.2022 08:15 - 04.03.2022 08:30","300","300","n/e","n/e","133","133"
"04.03.2022 08:30 - 04.03.2022 08:45","308","308","n/e","n/e","133","133"
"04.03.2022 08:45 - 04.03.2022 09:00","315","316","n/e","n/e","133","133"
"04.03.2022 09:00 - 04.03.2022 09:15","388","388","n/e","n/e","129","129"
"04.03.2022 09:15 - 04.03.2022 09:30","393","393","n/e","n/e","129","129"
"04.03.2022 09:30 - 04.03.2022 09:45","397","397","n/e","n/e","129","129"
"04.03.2022 09:45 - 04.03.2022 10:00","400","401","n/e","n/e","129","129"
"04.03.2022 10:00 - 04.03.2022 10:15","452","452","n/e","n/e","87","87"
"04.03.2022 10:15 - 04.03.2022 10:30","454","454","n/e","n/e","87","87"
"04.03.2022 10:30 - 04.03.2022 10:45","455","455","n/e","n/e","87","87"
"04.03.2022 10:45 - 04.03.2022 11:00","456","456","n/e","n/e","87","87"
"04.03.2022 11:00 - 04.03.2022 11:15","453","453","n/e","n/e","94","94"
"04.03.2022 11:15 - 04.03.2022 11:30","453","453","n/e","n/e","94","94"
"04.03.2022 11:30 - 04.03.2022 11:45","451","451","n/e","n/e","94","94"
"04.03.2022 11:45 - 04.03.2022 12:00","450","450","n/e","n/e","94","94"
"04.03.2022 12:00 - 04.03.2022 12:15","411","412","n/e","n/e","101","101"
"04.03.2022 12:15 - 04.03.2022 12:30","409","409","n/e","n/e","101","101"
"04.03.2022 12:30 - 04.03.2022 12:45","407","407","n/e","n/e","101","101"
"04.03.2022 12:45 - 04.03.2022 13:00","404","404","n/e","n/e","101","101"
"04.03.2022 13:00 - 04.03.2022 13:15","337","337","n/e","n/e","99","99"
"04.03.2022 13:15 - 04.03.2022 13:30","333","334","n/e","n/e","99","99"
"04.03.2022 13:30 - 04.03.2022 13:45","329","330","n/e","n/e","99","99"
"04.03.2022 13:45 - 04.03.2022 14:00","325","325","n/e","n/e","99","99"
"04.03.2022 14:00 - 04.03.2022 14:15","248","248","n/e","n/e","83","83"
"04.03.2022 14:15 - 04.03.2022 14:30","244","244","n/e","n/e","83","83"
"04.03.2022 14:30 - 04.03.2022 14:45","238","238","n/e","n/e","83","83"
"04.03.2022 14:45 - 04.03.2022 15:00","232","232","n/e","n/e","83","83"
"04.03.2022 15:00 - 04.03.2022 15:15","141","141","n/e","n/e","73","73"
"04.03.2022 15:15 - 04.03.2022 15:30","135","135","n/e","n/e","73","73"
"04.03.2022 15:30 - 04.03.2022 15:45","129","129","n/e","n/e","73","73"
"04.03.2022 15:45 - 04.03.2022 16:00","125","125","n/e","n/e","73","73"
"04.03.2022 16:00 - 04.03.2022 16:15","36","36","n/e","n/e","74","74"
"04.03.2022 16:15 - 04.03.2022 16:30","33","33","n/e","n/e","74","74"
"04.03.2022 16:30 - 04.03.2022 16:45","31","31","n/e","n/e","74","74"
"04.03.2022 16:45 - 04.03.2022 17:00","30","30","n/e","n/e","74","74"
"04.03.2022 17:00 - 04.03.2022 17:15","1","1","n/e","n/e","79","79"
"04.03.2022 17:15 - 04.03.2022 17:30","1","1","n/e","n/e","79","79"
"04.03.2022 17:30 - 04.03.2022 17:45","1","1","n/e","n/e","79","79"
"04.03.2022 17:45 - 04.03.2022 18:00","1","1","n/e","n/e","79","79"
"04.03.2022 18:00 - 04.03.2022 18:15","0","0","n/e","n/e","149","149"
"04.03.2022 18:15 - 04.03.2022 18:30","0","0","n/e","n/e","149","149"
"04.03.2022 18:30 - 04.03.2022 18:45","0","0","n/e","n/e","149","149"
"04.03.2022 18:45 - 04.03.2022 19:00","0","0","n/e","n/e","149","149"
"04.03.2022 19:00 - 04.03.2022 19:15","0","0","n/e","n/e","165","165"
"04.03.2022 19:15 - 04.03.2022 19:30","0","0","n/e","n/e","165","165"
"04.03.2022 19:30 - 04.03.2022 19:45","0","0","n/e","n/e","165","165"
"04.03.2022 19:45 - 04.03.2022 20:00","0","0","n/e","n/e","165","165"
"04.03.2022 20:00 - 04.03.2022 20:15","0","0","n/e","n/e","119","119"
"04.03.2022 20:15 - 04.03.2022 20:30","0","0","n/e","n/e","119","119"
"04.03.2022 20:30 - 04.03.2022 20:45","0","0","n/e","n/e","119","119"
"04.03.2022 20:45 - 04.03.2022 21:00","0","0","n/e","n/e","119","119"
"04.03.2022 21:00 - 04.03.2022 21:15","0","0","n/e","n/e","174","174"
"04.03.2022 21:15 - 04.03.2022 21:30","0","0","n/e","n/e","174","174"
"04.03.2022 21:30 - 04.03.2022 21:45","0","0","n/e","n/e","174","174"
"04.03.2022 21:45 - 04.03.2022 22:00","0","0","n/e","n/e","174","174"
"04.03.2022 22:00 - 04.03.2022 22:15","0","0","n/e","n/e","213","213"
"04.03.2022 22:15 - 04.03.2022 22:30","0","0","n/e","n/e","213","213"
"04.03.2022 22:30 - 04.03.2022 22:45","0","0","n/e","n/e","213","213"
"04.03.2022 22:45 - 04.03.2022 23:00","0","0","n/e","n/e","213","213"
"04.03.2022 23:00 - 04.03.2022 23:15","0","0","n/e","n/e","112","116"
"04.03.2022 23:15 - 04.03.2022 23:30","0","0","n/e","n/e","112","116"
"04.03.2022 23:30 - 04.03.2022 23:45","0","0","n/e","n/e","112","116"
"04.03.2022 23:45 - 05.03.2022 00:00","0","0","n/e","n/e","112","116"
"05.03.2022 00:00 - 05.03.2022 00:15","0","0","n/e","n/e","257","254"
"05.03.2022 00:15 - 05.03.2022 00:30","0","0","n/e","n/e","257","254"
"05.03.2022 00:30 - 05.03.2022 00:45","0","0","n/e","n/e","257","254"
"05.03.2022 00:45 - 05.03.2022 01:00","0","0","n/e","n/e","257","254"
"05.03.2022 01:00 - 05.03.2022 01:15","0","0","n/e","n/e","306","293"
"05.03.2022 01:15 - 05.03.2022 01:30","0","0","n/e","n/e","306","293"
"05.03.2022 01:30 - 05.03.2022 01:45","0","0","n/e","n/e","306","293"
"05.03.2022 01:45 - 05.03.2022 02:00","0","0","n/e","n/e","307","293"
"05.03.2022 02:00 - 05.03.2022 02:15","0","0","n/e","n/e","390","369"
"05.03.2022 02:15 - 05.03.2022 02:30","0","0","n/e","n/e","390","370"
"05.03.2022 02:30 - 05.03.2022 02:45","0","0","n/e","n/e","390","370"
"05.03.2022 02:45 - 05.03.2022 03:00","0","0","n/e","n/e","391","370"
"05.03.2022 03:00 - 05.03.2022 03:15","0","0","n/e","n/e","441","422"
"05.03.2022 03:15 - 05.03.2022 03:30","0","0","n/e","n/e","441","422"
"05.03.2022 03:30 - 05.03.2022 03:45","0","0","n/e","n/e","441","422"
"05.03.2022 03:45 - 05.03.2022 04:00","0","0","n/e","n/e","441","412"
"05.03.2022 04:00 - 05.03.2022 04:15","0","0","n/e","n/e","447","430"
"05.03.2022 04:15 - 05.03.2022 04:30","0","0","n/e","n/e","447","430"
"05.03.2022 04:30 - 05.03.2022 04:45","0","0","n/e","n/e","447","430"
"05.03.2022 04:45 - 05.03.2022 05:00","0","0","n/e","n/e","447","429"
"05.03.2022 05:00 - 05.03.2022 05:15","0","0","n/e","n/e","421","395"
"05.03.2022 05:15 - 05.03.2022 05:30","1","1","n/e","n/e","421","395"
"05.03.2022 05:30 - 05.03.2022 05:45","2","2","n/e","n/e","421","395"
"05.03.2022 05:45 - 05.03.2022 06:00","4","4","n/e","n/e","421","395"
"05.03.2022 06:00 - 05.03.2022 06:15","31","31","n/e","n/e","418","384"
"05.03.2022 06:15 - 05.03.2022 06:30","37","37","n/e","n/e","419","384"
"05.03.2022 06:30 - 05.03.2022 06:45","44","44","n/e","n/e","419","384"
"05.03.2022 06:45 - 05.03.2022 07:00","54","54","n/e","n/e","419","384"
"05.03.2022 07:00 - 05.03.2022 07:15","175","174","n/e","n/e","355","332"
"05.03.2022 07:15 - 05.03.2022 07:30","187","187","n/e","n/e","355","332"
"05.03.2022 07:30 - 05.03.2022 07:45","201","201","n/e","n/e","355","331"
"05.03.2022 07:45 - 05.03.2022 08:00","213","213","n/e","n/e","354","331"
"05.03.2022 08:00 - 05.03.2022 08:15","352","351","n/e","n/e","288","272"
"05.03.2022 08:15 - 05.03.2022 08:30","366","366","n/e","n/e","288","272"
"05.03.2022 08:30 - 05.03.2022 08:45","377","377","n/e","n/e","289","272"
"05.03.2022 08:45 - 05.03.2022 09:00","388","388","n/e","n/e","289","273"
"05.03.2022 09:00 - 05.03.2022 09:15","468","468","n/e","n/e","271","271"
"05.03.2022 09:15 - 05.03.2022 09:30","475","475","n/e","n/e","271","271"
"05.03.2022 09:30 - 05.03.2022 09:45","481","481","n/e","n/e","271","271"
"05.03.2022 09:45 - 05.03.2022 10:00","486","486","n/e","n/e","271","271"
"05.03.2022 10:00 - 05.03.2022 10:15","527","527","n/e","n/e","256","256"
"05.03.2022 10:15 - 05.03.2022 10:30","530","530","n/e","n/e","256","256"
"05.03.2022 10:30 - 05.03.2022 10:45","532","532","n/e","n/e","256","256"
"05.03.2022 10:45 - 05.03.2022 11:00","533","533","n/e","n/e","256","256"
"05.03.2022 11:00 - 05.03.2022 11:15","515","515","n/e","n/e","251","251"
"05.03.2022 11:15 - 05.03.2022 11:30","515","515","n/e","n/e","251","251"
"05.03.2022 11:30 - 05.03.2022 11:45","514","514","n/e","n/e","251","251"
"05.03.2022 11:45 - 05.03.2022 12:00","512","512","n/e","n/e","251","251"
"05.03.2022 12:00 - 05.03.2022 12:15","479","479","n/e","n/e","258","258"
"05.03.2022 12:15 - 05.03.2022 12:30","477","477","n/e","n/e","258","258"
"05.03.2022 12:30 - 05.03.2022 12:45","473","473","n/e","n/e","258","258"
"05.03.2022 12:45 - 05.03.2022 13:00","471","471","n/e","n/e","258","258"
"05.03.2022 13:00 - 05.03.2022 13:15","426","426","n/e","n/e","273","273"
"05.03.2022 13:15 - 05.03.2022 13:30","422","422","n/e","n/e","273","273"
"05.03.2022 13:30 - 05.03.2022 13:45","417","417","n/e","n/e","273","273"
"05.03.2022 13:45 - 05.03.2022 14:00","412","412","n/e","n/e","273","273"
"05.03.2022 14:00 - 05.03.2022 14:15","322","323","n/e","n/e","268","268"
"05.03.2022 14:15 - 05.03.2022 14:30","317","317","n/e","n/e","268","268"
"05.03.2022 14:30 - 05.03.2022 14:45","309","309","n/e","n/e","268","268"
"05.03.2022 14:45 - 05.03.2022 15:00","302","302","n/e","n/e","268","268"
"05.03.2022 15:00 - 05.03.2022 15:15","189","189","n/e","n/e","267","267"
"05.03.2022 15:15 - 05.03.2022 15:30","181","181","n/e","n/e","267","267"
"05.03.2022 15:30 - 05.03.2022 15:45","173","173","n/e","n/e","267","267"
"05.03.2022 15:45 - 05.03.2022 16:00","166","166","n/e","n/e","267","267"
"05.03.2022 16:00 - 05.03.2022 16:15","50","50","n/e","n/e","287","287"
"05.03.2022 16:15 - 05.03.2022 16:30","47","47","n/e","n/e","287","287"
"05.03.2022 16:30 - 05.03.2022 16:45","44","44","n/e","n/e","287","287"
"05.03.2022 16:45 - 05.03.2022 17:00","42","42","n/e","n/e","287","287"
"05.03.2022 17:00 - 05.03.2022 17:15","3","3","n/e","n/e","332","331"
"05.03.2022 17:15 - 05.03.2022 17:30","3","3","n/e","n/e","333","332"
"05.03.2022 17:30 - 05.03.2022 17:45","2","2","n/e","n/e","333","332"
"05.03.2022 17:45 - 05.03.2022 18:00","2","2","n/e","n/e","333","333"
"05.03.2022 18:00 - 05.03.2022 18:15","0","0","n/e","n/e","429","429"
"05.03.2022 18:15 - 05.03.2022 18:30","0","0","n/e","n/e","430","430"
"05.03.2022 18:30 - 05.03.2022 18:45","0","0","n/e","n/e","430","430"
"05.03.2022 18:45 - 05.03.2022 19:00","0","0","n/e","n/e","430","430"
"05.03.2022 19:00 - 05.03.2022 19:15","0","0","n/e","n/e","560","560"
"05.03.2022 19:15 - 05.03.2022 19:30","0","0","n/e","n/e","560","560"
"05.03.2022 19:30 - 05.03.2022 19:45","0","0","n/e","n/e","560","560"
"05.03.2022 19:45 - 05.03.2022 20:00","0","0","n/e","n/e","560","560"
"05.03.2022 20:00 - 05.03.2022 20:15","0","0","n/e","n/e","677","677"
"05.03.2022 20:15 - 05.03.2022 20:30","0","0","n/e","n/e","677","677"
"05.03.2022 20:30 - 05.03.2022 20:45","0","0","n/e","n/e","677","677"
"05.03.2022 20:45 - 05.03.2022 21:00","0","0","n/e","n/e","677","677"
"05.03.2022 21:00 - 05.03.2022 21:15","0","0","n/e","n/e","718","718"
"05.03.2022 21:15 - 05.03.2022 21:30","0","0","n/e","n/e","719","719"
"05.03.2022 21:30 - 05.03.2022 21:45","0","0","n/e","n/e","720","720"
"05.03.2022 21:45 - 05.03.2022 22:00","0","0","n/e","n/e","721","721"
"05.03.2022 22:00 - 05.03.2022 22:15","0","0","n/e","n/e","746","746"
"05.03.2022 22:15 - 05.03.2022 22:30","0","0","n/e","n/e","747","747"
"05.03.2022 22:30 - 05.03.2022 22:45","0","0","n/e","n/e","747","747"
"05.03.2022 22:45 - 05.03.2022 23:00","0","0","n/e","n/e","748","748"
"05.03.2022 23:00 - 05.03.2022 23:15","0","0","n/e","n/e","769","807"
"05.03.2022 23:15 - 05.03.2022 23:30","0","0","n/e","n/e","770","808"
"05.03.2022 23:30 - 05.03.2022 23:45","0","0","n/e","n/e","771","809"
"05.03.2022 23:45 - 06.03.2022 00:00","0","0","n/e","n/e","772","810"
"06.03.2022 00:00 - 06.03.2022 00:15","0","0","n/e","n/e","807","806"
"06.03.2022 00:15 - 06.03.2022 00:30","0","0","n/e","n/e","807","806"
"06.03.2022 00:30 - 06.03.2022 00:45","0","0","n/e","n/e","807","806"
"06.03.2022 00:45 - 06.03.2022 01:00","0","0","n/e","n/e","807","806"
"06.03.2022 01:00 - 06.03.2022 01:15","0","0","n/e","n/e","825","799"
"06.03.2022 01:15 - 06.03.2022 01:30","0","0","n/e","n/e","825","799"
"06.03.2022 01:30 - 06.03.2022 01:45","0","0","n/e","n/e","825","799"
"06.03.2022 01:45 - 06.03.2022 02:00","0","0","n/e","n/e","824","798"
"06.03.2022 02:00 - 06.03.2022 02:15","0","0","n/e","n/e","797","798"
"06.03.2022 02:15 - 06.03.2022 02:30","0","0","n/e","n/e","796","798"
"06.03.2022 02:30 - 06.03.2022 02:45","0","0","n/e","n/e","796","798"
"06.03.2022 02:45 - 06.03.2022 03:00","0","0","n/e","n/e","796","797"
"06.03.2022 03:00 - 06.03.2022 03:15","0","0","n/e","n/e","786","766"
"06.03.2022 03:15 - 06.03.2022 03:30","0","0","n/e","n/e","786","766"
"06.03.2022 03:30 - 06.03.2022 03:45","0","0","n/e","n/e","786","766"
"06.03.2022 03:45 - 06.03.2022 04:00","0","0","n/e","n/e","786","766"
"06.03.2022 04:00 - 06.03.2022 04:15","0","0","n/e","n/e","782","766"
"06.03.2022 04:15 - 06.03.2022 04:30","0","0","n/e","n/e","782","766"
