"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Netherlands (NL)","Generation - Solar  [MW] Current / Netherlands (NL)","Generation - Wind Offshore  [MW] Day Ahead/ Netherlands (NL)","Generation - Wind Offshore  [MW] Current / Netherlands (NL)","Generation - Wind Onshore  [MW] Day Ahead/ Netherlands (NL)","Generation - Wind Onshore  [MW] Current / Netherlands (NL)"
"27.04.2022 20:30 - 27.04.2022 20:45","383","n/e","258","n/e","267","n/e"
"27.04.2022 20:45 - 27.04.2022 21:00","248","n/e","262","n/e","291","n/e"
"27.04.2022 21:00 - 27.04.2022 21:15","113","n/e","266","n/e","315","n/e"
"27.04.2022 21:15 - 27.04.2022 21:30","85","n/e","272","n/e","343","n/e"
"27.04.2022 21:30 - 27.04.2022 21:45","56","n/e","281","n/e","375","n/e"
"27.04.2022 21:45 - 27.04.2022 22:00","29","n/e","289","n/e","409","n/e"
"27.04.2022 22:00 - 27.04.2022 22:15","0","n/e","297","n/e","442","n/e"
"27.04.2022 22:15 - 27.04.2022 22:30","0","n/e","309","n/e","476","n/e"
"27.04.2022 22:30 - 27.04.2022 22:45","0","n/e","324","n/e","518","n/e"
"27.04.2022 22:45 - 27.04.2022 23:00","0","n/e","339","n/e","559","n/e"
"27.04.2022 23:00 - 27.04.2022 23:15","0","n/e","354","n/e","601","n/e"
"27.04.2022 23:15 - 27.04.2022 23:30","0","n/e","361","n/e","614","n/e"
"27.04.2022 23:30 - 27.04.2022 23:45","0","n/e","359","n/e","597","n/e"
"27.04.2022 23:45 - 28.04.2022 00:00","0","n/e","358","n/e","584","n/e"
"28.04.2022 00:00 - 28.04.2022 00:15","0","n/e","195","n/e","340","n/e"
"28.04.2022 00:15 - 28.04.2022 00:30","0","n/e","194","n/e","346","n/e"
"28.04.2022 00:30 - 28.04.2022 00:45","0","n/e","193","n/e","353","n/e"
"28.04.2022 00:45 - 28.04.2022 01:00","0","n/e","192","n/e","360","n/e"
"28.04.2022 01:00 - 28.04.2022 01:15","0","n/e","191","n/e","369","n/e"
"28.04.2022 01:15 - 28.04.2022 01:30","0","n/e","189","n/e","380","n/e"
"28.04.2022 01:30 - 28.04.2022 01:45","0","n/e","185","n/e","397","n/e"
"28.04.2022 01:45 - 28.04.2022 02:00","0","n/e","181","n/e","412","n/e"
"28.04.2022 02:00 - 28.04.2022 02:15","0","n/e","177","n/e","428","n/e"
"28.04.2022 02:15 - 28.04.2022 02:30","0","n/e","178","n/e","437","n/e"
"28.04.2022 02:30 - 28.04.2022 02:45","0","n/e","183","n/e","438","n/e"
"28.04.2022 02:45 - 28.04.2022 03:00","0","n/e","189","n/e","439","n/e"
"28.04.2022 03:00 - 28.04.2022 03:15","0","n/e","194","n/e","438","n/e"
"28.04.2022 03:15 - 28.04.2022 03:30","0","n/e","200","n/e","442","n/e"
"28.04.2022 03:30 - 28.04.2022 03:45","0","n/e","206","n/e","447","n/e"
"28.04.2022 03:45 - 28.04.2022 04:00","0","n/e","212","n/e","451","n/e"
"28.04.2022 04:00 - 28.04.2022 04:15","0","n/e","218","n/e","458","n/e"
"28.04.2022 04:15 - 28.04.2022 04:30","0","n/e","225","n/e","462","n/e"
"28.04.2022 04:30 - 28.04.2022 04:45","0","n/e","232","n/e","468","n/e"
"28.04.2022 04:45 - 28.04.2022 05:00","0","n/e","240","n/e","472","n/e"
"28.04.2022 05:00 - 28.04.2022 05:15","0","n/e","247","n/e","476","n/e"
"28.04.2022 05:15 - 28.04.2022 05:30","0","n/e","248","n/e","470","n/e"
"28.04.2022 05:30 - 28.04.2022 05:45","0","n/e","241","n/e","456","n/e"
"28.04.2022 05:45 - 28.04.2022 06:00","0","n/e","235","n/e","439","n/e"
"28.04.2022 06:00 - 28.04.2022 06:15","0","n/e","228","n/e","424","n/e"
"28.04.2022 06:15 - 28.04.2022 06:30","16","n/e","221","n/e","410","n/e"
"28.04.2022 06:30 - 28.04.2022 06:45","34","n/e","213","n/e","400","n/e"
"28.04.2022 06:45 - 28.04.2022 07:00","52","n/e","204","n/e","389","n/e"
"28.04.2022 07:00 - 28.04.2022 07:15","70","n/e","196","n/e","377","n/e"
"28.04.2022 07:15 - 28.04.2022 07:30","231","n/e","189","n/e","368","n/e"
"28.04.2022 07:30 - 28.04.2022 07:45","394","n/e","183","n/e","359","n/e"
"28.04.2022 07:45 - 28.04.2022 08:00","555","n/e","177","n/e","351","n/e"
"28.04.2022 08:00 - 28.04.2022 08:15","718","n/e","171","n/e","342","n/e"
"28.04.2022 08:15 - 28.04.2022 08:30","980","n/e","164","n/e","328","n/e"
"28.04.2022 08:30 - 28.04.2022 08:45","1243","n/e","157","n/e","305","n/e"
"28.04.2022 08:45 - 28.04.2022 09:00","1504","n/e","150","n/e","284","n/e"
"28.04.2022 09:00 - 28.04.2022 09:15","1765","n/e","142","n/e","260","n/e"
"28.04.2022 09:15 - 28.04.2022 09:30","2062","n/e","136","n/e","242","n/e"
"28.04.2022 09:30 - 28.04.2022 09:45","2361","n/e","132","n/e","220","n/e"
"28.04.2022 09:45 - 28.04.2022 10:00","2657","n/e","128","n/e","202","n/e"
"28.04.2022 10:00 - 28.04.2022 10:15","2955","n/e","124","n/e","182","n/e"
"28.04.2022 10:15 - 28.04.2022 10:30","3222","n/e","120","n/e","167","n/e"
"28.04.2022 10:30 - 28.04.2022 10:45","3488","n/e","116","n/e","160","n/e"
"28.04.2022 10:45 - 28.04.2022 11:00","3754","n/e","112","n/e","150","n/e"
"28.04.2022 11:00 - 28.04.2022 11:15","4020","n/e","108","n/e","142","n/e"
"28.04.2022 11:15 - 28.04.2022 11:30","4086","n/e","107","n/e","136","n/e"
"28.04.2022 11:30 - 28.04.2022 11:45","4152","n/e","109","n/e","140","n/e"
"28.04.2022 11:45 - 28.04.2022 12:00","4216","n/e","110","n/e","143","n/e"
"28.04.2022 12:00 - 28.04.2022 12:15","4284","n/e","112","n/e","146","n/e"
"28.04.2022 12:15 - 28.04.2022 12:30","4404","n/e","113","n/e","149","n/e"
"28.04.2022 12:30 - 28.04.2022 12:45","4524","n/e","114","n/e","153","n/e"
"28.04.2022 12:45 - 28.04.2022 13:00","4647","n/e","116","n/e","157","n/e"
"28.04.2022 13:00 - 28.04.2022 13:15","4768","n/e","117","n/e","162","n/e"
"28.04.2022 13:15 - 28.04.2022 13:30","4814","n/e","119","n/e","166","n/e"
"28.04.2022 13:30 - 28.04.2022 13:45","4862","n/e","120","n/e","171","n/e"
"28.04.2022 13:45 - 28.04.2022 14:00","4906","n/e","122","n/e","177","n/e"
"28.04.2022 14:00 - 28.04.2022 14:15","4953","n/e","124","n/e","181","n/e"
"28.04.2022 14:15 - 28.04.2022 14:30","5130","n/e","128","n/e","196","n/e"
"28.04.2022 14:30 - 28.04.2022 14:45","5306","n/e","135","n/e","222","n/e"
"28.04.2022 14:45 - 28.04.2022 15:00","5481","n/e","143","n/e","248","n/e"
"28.04.2022 15:00 - 28.04.2022 15:15","5658","n/e","150","n/e","274","n/e"
"28.04.2022 15:15 - 28.04.2022 15:30","5534","n/e","160","n/e","304","n/e"
"28.04.2022 15:30 - 28.04.2022 15:45","5409","n/e","172","n/e","336","n/e"
"28.04.2022 15:45 - 28.04.2022 16:00","5287","n/e","184","n/e","369","n/e"
"28.04.2022 16:00 - 28.04.2022 16:15","5160","n/e","197","n/e","404","n/e"
"28.04.2022 16:15 - 28.04.2022 16:30","4956","n/e","209","n/e","435","n/e"
"28.04.2022 16:30 - 28.04.2022 16:45","4755","n/e","223","n/e","464","n/e"
"28.04.2022 16:45 - 28.04.2022 17:00","4552","n/e","236","n/e","494","n/e"
"28.04.2022 17:00 - 28.04.2022 17:15","4348","n/e","249","n/e","524","n/e"
"28.04.2022 17:15 - 28.04.2022 17:30","4115","n/e","266","n/e","559","n/e"
"28.04.2022 17:30 - 28.04.2022 17:45","3882","n/e","285","n/e","593","n/e"
"28.04.2022 17:45 - 28.04.2022 18:00","3649","n/e","305","n/e","630","n/e"
"28.04.2022 18:00 - 28.04.2022 18:15","3418","n/e","324","n/e","667","n/e"
"28.04.2022 18:15 - 28.04.2022 18:30","3098","n/e","354","n/e","718","n/e"
"28.04.2022 18:30 - 28.04.2022 18:45","2782","n/e","395","n/e","781","n/e"
"28.04.2022 18:45 - 28.04.2022 19:00","2463","n/e","435","n/e","848","n/e"
"28.04.2022 19:00 - 28.04.2022 19:15","2147","n/e","476","n/e","911","n/e"
"28.04.2022 19:15 - 28.04.2022 19:30","1865","n/e","498","n/e","988","n/e"
"28.04.2022 19:30 - 28.04.2022 19:45","1579","n/e","503","n/e","1073","n/e"
"28.04.2022 19:45 - 28.04.2022 20:00","1295","n/e","507","n/e","1161","n/e"
"28.04.2022 20:00 - 28.04.2022 20:15","1012","n/e","512","n/e","1245","n/e"
"28.04.2022 20:15 - 28.04.2022 20:30","777","n/e","521","n/e","1297","n/e"
"28.04.2022 20:30 - 28.04.2022 20:45","546","n/e","535","n/e","1317","n/e"
"28.04.2022 20:45 - 28.04.2022 21:00","313","n/e","549","n/e","1339","n/e"
"28.04.2022 21:00 - 28.04.2022 21:15","80","n/e","563","n/e","1360","n/e"
"28.04.2022 21:15 - 28.04.2022 21:30","59","n/e","593","n/e","1386","n/e"
"28.04.2022 21:30 - 28.04.2022 21:45","40","n/e","639","n/e","1414","n/e"
"28.04.2022 21:45 - 28.04.2022 22:00","21","n/e","685","n/e","1443","n/e"
"28.04.2022 22:00 - 28.04.2022 22:15","0","n/e","731","n/e","1475","n/e"
"28.04.2022 22:15 - 28.04.2022 22:30","0","n/e","775","n/e","1508","n/e"
"28.04.2022 22:30 - 28.04.2022 22:45","0","n/e","817","n/e","1549","n/e"
"28.04.2022 22:45 - 28.04.2022 23:00","0","n/e","858","n/e","1590","n/e"
"28.04.2022 23:00 - 28.04.2022 23:15","0","n/e","899","n/e","1632","n/e"
"28.04.2022 23:15 - 28.04.2022 23:30","0","n/e","908","n/e","1623","n/e"
"28.04.2022 23:30 - 28.04.2022 23:45","0","n/e","883","n/e","1564","n/e"
"28.04.2022 23:45 - 29.04.2022 00:00","0","n/e","859","n/e","1507","n/e"
"29.04.2022 00:00 - 29.04.2022 00:15","0","n/e","513","n/e","1224","n/e"
"29.04.2022 00:15 - 29.04.2022 00:30","0","n/e","495","n/e","1167","n/e"
"29.04.2022 00:30 - 29.04.2022 00:45","0","n/e","477","n/e","1113","n/e"
"29.04.2022 00:45 - 29.04.2022 01:00","0","n/e","460","n/e","1061","n/e"
"29.04.2022 01:00 - 29.04.2022 01:15","0","n/e","442","n/e","1008","n/e"
"29.04.2022 01:15 - 29.04.2022 01:30","0","n/e","421","n/e","955","n/e"
"29.04.2022 01:30 - 29.04.2022 01:45","0","n/e","397","n/e","903","n/e"
"29.04.2022 01:45 - 29.04.2022 02:00","0","n/e","373","n/e","849","n/e"
"29.04.2022 02:00 - 29.04.2022 02:15","0","n/e","348","n/e","794","n/e"
"29.04.2022 02:15 - 29.04.2022 02:30","0","n/e","333","n/e","769","n/e"
"29.04.2022 02:30 - 29.04.2022 02:45","0","n/e","327","n/e","768","n/e"
"29.04.2022 02:45 - 29.04.2022 03:00","0","n/e","321","n/e","772","n/e"
"29.04.2022 03:00 - 29.04.2022 03:15","0","n/e","315","n/e","773","n/e"
"29.04.2022 03:15 - 29.04.2022 03:30","0","n/e","311","n/e","774","n/e"
"29.04.2022 03:30 - 29.04.2022 03:45","0","n/e","307","n/e","777","n/e"
"29.04.2022 03:45 - 29.04.2022 04:00","0","n/e","304","n/e","778","n/e"
"29.04.2022 04:00 - 29.04.2022 04:15","0","n/e","301","n/e","777","n/e"
"29.04.2022 04:15 - 29.04.2022 04:30","0","n/e","299","n/e","781","n/e"
"29.04.2022 04:30 - 29.04.2022 04:45","0","n/e","297","n/e","782","n/e"
"29.04.2022 04:45 - 29.04.2022 05:00","0","n/e","295","n/e","784","n/e"
"29.04.2022 05:00 - 29.04.2022 05:15","0","n/e","293","n/e","784","n/e"
"29.04.2022 05:15 - 29.04.2022 05:30","0","n/e","290","n/e","768","n/e"
"29.04.2022 05:30 - 29.04.2022 05:45","0","n/e","286","n/e","732","n/e"
"29.04.2022 05:45 - 29.04.2022 06:00","0","n/e","283","n/e","699","n/e"
"29.04.2022 06:00 - 29.04.2022 06:15","0","n/e","279","n/e","665","n/e"
"29.04.2022 06:15 - 29.04.2022 06:30","14","n/e","271","n/e","628","n/e"
"29.04.2022 06:30 - 29.04.2022 06:45","27","n/e","259","n/e","596","n/e"
"29.04.2022 06:45 - 29.04.2022 07:00","41","n/e","246","n/e","565","n/e"
"29.04.2022 07:00 - 29.04.2022 07:15","56","n/e","233","n/e","532","n/e"
"29.04.2022 07:15 - 29.04.2022 07:30","174","n/e","224","n/e","502","n/e"
"29.04.2022 07:30 - 29.04.2022 07:45","292","n/e","219","n/e","476","n/e"
"29.04.2022 07:45 - 29.04.2022 08:00","410","n/e","214","n/e","452","n/e"
"29.04.2022 08:00 - 29.04.2022 08:15","530","n/e","208","n/e","428","n/e"
"29.04.2022 08:15 - 29.04.2022 08:30","653","n/e","204","n/e","408","n/e"
"29.04.2022 08:30 - 29.04.2022 08:45","774","n/e","201","n/e","397","n/e"
"29.04.2022 08:45 - 29.04.2022 09:00","900","n/e","197","n/e","386","n/e"
"29.04.2022 09:00 - 29.04.2022 09:15","1022","n/e","194","n/e","373","n/e"
"29.04.2022 09:15 - 29.04.2022 09:30","1174","n/e","191","n/e","365","n/e"
"29.04.2022 09:30 - 29.04.2022 09:45","1324","n/e","187","n/e","355","n/e"
"29.04.2022 09:45 - 29.04.2022 10:00","1475","n/e","183","n/e","347","n/e"
"29.04.2022 10:00 - 29.04.2022 10:15","1624","n/e","180","n/e","335","n/e"
"29.04.2022 10:15 - 29.04.2022 10:30","1769","n/e","177","n/e","331","n/e"
"29.04.2022 10:30 - 29.04.2022 10:45","1911","n/e","173","n/e","324","n/e"
"29.04.2022 10:45 - 29.04.2022 11:00","2056","n/e","170","n/e","318","n/e"
"29.04.2022 11:00 - 29.04.2022 11:15","2197","n/e","167","n/e","313","n/e"
"29.04.2022 11:15 - 29.04.2022 11:30","2325","n/e","170","n/e","320","n/e"
"29.04.2022 11:30 - 29.04.2022 11:45","2452","n/e","181","n/e","336","n/e"
"29.04.2022 11:45 - 29.04.2022 12:00","2575","n/e","191","n/e","353","n/e"
"29.04.2022 12:00 - 29.04.2022 12:15","2701","n/e","201","n/e","370","n/e"
"29.04.2022 12:15 - 29.04.2022 12:30","2781","n/e","211","n/e","388","n/e"
"29.04.2022 12:30 - 29.04.2022 12:45","2862","n/e","221","n/e","404","n/e"
"29.04.2022 12:45 - 29.04.2022 13:00","2940","n/e","231","n/e","424","n/e"
"29.04.2022 13:00 - 29.04.2022 13:15","3020","n/e","241","n/e","444","n/e"
"29.04.2022 13:15 - 29.04.2022 13:30","3052","n/e","252","n/e","462","n/e"
"29.04.2022 13:30 - 29.04.2022 13:45","3082","n/e","262","n/e","481","n/e"
"29.04.2022 13:45 - 29.04.2022 14:00","3112","n/e","273","n/e","498","n/e"
"29.04.2022 14:00 - 29.04.2022 14:15","3144","n/e","283","n/e","516","n/e"
"29.04.2022 14:15 - 29.04.2022 14:30","3193","n/e","293","n/e","543","n/e"
"29.04.2022 14:30 - 29.04.2022 14:45","3239","n/e","303","n/e","573","n/e"
"29.04.2022 14:45 - 29.04.2022 15:00","3288","n/e","312","n/e","605","n/e"
"29.04.2022 15:00 - 29.04.2022 15:15","3335","n/e","322","n/e","635","n/e"
"29.04.2022 15:15 - 29.04.2022 15:30","3259","n/e","331","n/e","669","n/e"
"29.04.2022 15:30 - 29.04.2022 15:45","3183","n/e","340","n/e","706","n/e"
"29.04.2022 15:45 - 29.04.2022 16:00","3105","n/e","350","n/e","742","n/e"
"29.04.2022 16:00 - 29.04.2022 16:15","3030","n/e","359","n/e","779","n/e"
"29.04.2022 16:15 - 29.04.2022 16:30","2905","n/e","376","n/e","817","n/e"
"29.04.2022 16:30 - 29.04.2022 16:45","2783","n/e","401","n/e","858","n/e"
"29.04.2022 16:45 - 29.04.2022 17:00","2659","n/e","426","n/e","898","n/e"
"29.04.2022 17:00 - 29.04.2022 17:15","2536","n/e","451","n/e","937","n/e"
"29.04.2022 17:15 - 29.04.2022 17:30","2333","n/e","473","n/e","957","n/e"
"29.04.2022 17:30 - 29.04.2022 17:45","2129","n/e","494","n/e","954","n/e"
"29.04.2022 17:45 - 29.04.2022 18:00","1926","n/e","514","n/e","953","n/e"
"29.04.2022 18:00 - 29.04.2022 18:15","1723","n/e","535","n/e","950","n/e"
"29.04.2022 18:15 - 29.04.2022 18:30","1571","n/e","545","n/e","955","n/e"
"29.04.2022 18:30 - 29.04.2022 18:45","1424","n/e","545","n/e","957","n/e"
"29.04.2022 18:45 - 29.04.2022 19:00","1272","n/e","545","n/e","961","n/e"
"29.04.2022 19:00 - 29.04.2022 19:15","1123","n/e","544","n/e","968","n/e"
"29.04.2022 19:15 - 29.04.2022 19:30","986","n/e","542","n/e","979","n/e"
"29.04.2022 19:30 - 29.04.2022 19:45","850","n/e","538","n/e","990","n/e"
"29.04.2022 19:45 - 29.04.2022 20:00","716","n/e","534","n/e","1006","n/e"
"29.04.2022 20:00 - 29.04.2022 20:15","580","n/e","530","n/e","1020","n/e"
"29.04.2022 20:15 - 29.04.2022 20:30","470","n/e","526","n/e","1029","n/e"
"29.04.2022 20:30 - 29.04.2022 20:45","357","n/e","522","n/e","1036","n/e"
"29.04.2022 20:45 - 29.04.2022 21:00","243","n/e","518","n/e","1039","n/e"
"29.04.2022 21:00 - 29.04.2022 21:15","132","n/e","514","n/e","1045","n/e"
"29.04.2022 21:15 - 29.04.2022 21:30","101","n/e","515","n/e","1051","n/e"
"29.04.2022 21:30 - 29.04.2022 21:45","68","n/e","521","n/e","1058","n/e"
"29.04.2022 21:45 - 29.04.2022 22:00","34","n/e","526","n/e","1065","n/e"
"29.04.2022 22:00 - 29.04.2022 22:15","0","n/e","531","n/e","1073","n/e"
"29.04.2022 22:15 - 29.04.2022 22:30","0","n/e","539","n/e","1079","n/e"
"29.04.2022 22:30 - 29.04.2022 22:45","0","n/e","549","n/e","1085","n/e"
"29.04.2022 22:45 - 29.04.2022 23:00","0","n/e","558","n/e","1091","n/e"
"29.04.2022 23:00 - 29.04.2022 23:15","0","n/e","568","n/e","1097","n/e"
"29.04.2022 23:15 - 29.04.2022 23:30","0","n/e","565","n/e","1084","n/e"
"29.04.2022 23:30 - 29.04.2022 23:45","0","n/e","548","n/e","1051","n/e"
"29.04.2022 23:45 - 30.04.2022 00:00","0","n/e","532","n/e","1016","n/e"
"30.04.2022 00:00 - 30.04.2022 00:15","0","n/e","514","n/e","1164","n/e"
"30.04.2022 00:15 - 30.04.2022 00:30","0","n/e","509","n/e","1140","n/e"
"30.04.2022 00:30 - 30.04.2022 00:45","0","n/e","503","n/e","1113","n/e"
"30.04.2022 00:45 - 30.04.2022 01:00","0","n/e","497","n/e","1089","n/e"
"30.04.2022 01:00 - 30.04.2022 01:15","0","n/e","491","n/e","1064","n/e"
"30.04.2022 01:15 - 30.04.2022 01:30","0","n/e","492","n/e","1034","n/e"
"30.04.2022 01:30 - 30.04.2022 01:45","0","n/e","500","n/e","1000","n/e"
"30.04.2022 01:45 - 30.04.2022 02:00","0","n/e","508","n/e","967","n/e"
"30.04.2022 02:00 - 30.04.2022 02:15","0","n/e","516","n/e","933","n/e"
"30.04.2022 02:15 - 30.04.2022 02:30","0","n/e","501","n/e","891","n/e"
"30.04.2022 02:30 - 30.04.2022 02:45","0","n/e","461","n/e","844","n/e"
"30.04.2022 02:45 - 30.04.2022 03:00","0","n/e","420","n/e","800","n/e"
"30.04.2022 03:00 - 30.04.2022 03:15","0","n/e","380","n/e","751","n/e"
"30.04.2022 03:15 - 30.04.2022 03:30","0","n/e","353","n/e","708","n/e"
"30.04.2022 03:30 - 30.04.2022 03:45","0","n/e","337","n/e","665","n/e"
"30.04.2022 03:45 - 30.04.2022 04:00","0","n/e","321","n/e","624","n/e"
"30.04.2022 04:00 - 30.04.2022 04:15","0","n/e","305","n/e","580","n/e"
"30.04.2022 04:15 - 30.04.2022 04:30","0","n/e","289","n/e","541","n/e"
"30.04.2022 04:30 - 30.04.2022 04:45","0","n/e","274","n/e","505","n/e"
"30.04.2022 04:45 - 30.04.2022 05:00","0","n/e","258","n/e","467","n/e"
"30.04.2022 05:00 - 30.04.2022 05:15","0","n/e","242","n/e","431","n/e"
"30.04.2022 05:15 - 30.04.2022 05:30","0","n/e","231","n/e","401","n/e"
"30.04.2022 05:30 - 30.04.2022 05:45","0","n/e","223","n/e","377","n/e"
"30.04.2022 05:45 - 30.04.2022 06:00","0","n/e","215","n/e","352","n/e"
"30.04.2022 06:00 - 30.04.2022 06:15","0","n/e","207","n/e","327","n/e"
"30.04.2022 06:15 - 30.04.2022 06:30","16","n/e","200","n/e","308","n/e"
"30.04.2022 06:30 - 30.04.2022 06:45","33","n/e","193","n/e","291","n/e"
"30.04.2022 06:45 - 30.04.2022 07:00","49","n/e","185","n/e","273","n/e"
"30.04.2022 07:00 - 30.04.2022 07:15","66","n/e","178","n/e","258","n/e"
"30.04.2022 07:15 - 30.04.2022 07:30","202","n/e","171","n/e","245","n/e"
"30.04.2022 07:30 - 30.04.2022 07:45","337","n/e","163","n/e","239","n/e"
"30.04.2022 07:45 - 30.04.2022 08:00","475","n/e","156","n/e","233","n/e"
"30.04.2022 08:00 - 30.04.2022 08:15","609","n/e","149","n/e","224","n/e"
"30.04.2022 08:15 - 30.04.2022 08:30","780","n/e","151","n/e","227","n/e"
"30.04.2022 08:30 - 30.04.2022 08:45","949","n/e","161","n/e","236","n/e"
"30.04.2022 08:45 - 30.04.2022 09:00","1121","n/e","172","n/e","246","n/e"
"30.04.2022 09:00 - 30.04.2022 09:15","1290","n/e","183","n/e","254","n/e"
"30.04.2022 09:15 - 30.04.2022 09:30","1486","n/e","197","n/e","266","n/e"
"30.04.2022 09:30 - 30.04.2022 09:45","1683","n/e","215","n/e","281","n/e"
"30.04.2022 09:45 - 30.04.2022 10:00","1879","n/e","232","n/e","294","n/e"
"30.04.2022 10:00 - 30.04.2022 10:15","2077","n/e","250","n/e","308","n/e"
"30.04.2022 10:15 - 30.04.2022 10:30","2264","n/e","270","n/e","321","n/e"
"30.04.2022 10:30 - 30.04.2022 10:45","2444","n/e","293","n/e","338","n/e"
"30.04.2022 10:45 - 30.04.2022 11:00","2632","n/e","315","n/e","351","n/e"
"30.04.2022 11:00 - 30.04.2022 11:15","2815","n/e","338","n/e","365","n/e"
"30.04.2022 11:15 - 30.04.2022 11:30","2788","n/e","354","n/e","379","n/e"
"30.04.2022 11:30 - 30.04.2022 11:45","2760","n/e","362","n/e","390","n/e"
"30.04.2022 11:45 - 30.04.2022 12:00","2735","n/e","370","n/e","399","n/e"
"30.04.2022 12:00 - 30.04.2022 12:15","2707","n/e","378","n/e","409","n/e"
"30.04.2022 12:15 - 30.04.2022 12:30","2787","n/e","384","n/e","421","n/e"
"30.04.2022 12:30 - 30.04.2022 12:45","2865","n/e","388","n/e","436","n/e"
"30.04.2022 12:45 - 30.04.2022 13:00","2944","n/e","392","n/e","448","n/e"
"30.04.2022 13:00 - 30.04.2022 13:15","3024","n/e","396","n/e","461","n/e"
"30.04.2022 13:15 - 30.04.2022 13:30","3055","n/e","400","n/e","475","n/e"
"30.04.2022 13:30 - 30.04.2022 13:45","3086","n/e","405","n/e","488","n/e"
"30.04.2022 13:45 - 30.04.2022 14:00","3117","n/e","410","n/e","499","n/e"
"30.04.2022 14:00 - 30.04.2022 14:15","3147","n/e","415","n/e","511","n/e"
"30.04.2022 14:15 - 30.04.2022 14:30","3062","n/e","423","n/e","524","n/e"
"30.04.2022 14:30 - 30.04.2022 14:45","2974","n/e","432","n/e","535","n/e"
"30.04.2022 14:45 - 30.04.2022 15:00","2888","n/e","442","n/e","547","n/e"
"30.04.2022 15:00 - 30.04.2022 15:15","2802","n/e","452","n/e","559","n/e"
"30.04.2022 15:15 - 30.04.2022 15:30","2738","n/e","461","n/e","572","n/e"
"30.04.2022 15:30 - 30.04.2022 15:45","2671","n/e","470","n/e","584","n/e"
"30.04.2022 15:45 - 30.04.2022 16:00","2608","n/e","479","n/e","600","n/e"
"30.04.2022 16:00 - 30.04.2022 16:15","2541","n/e","488","n/e","612","n/e"
"30.04.2022 16:15 - 30.04.2022 16:30","2437","n/e","498","n/e","624","n/e"
"30.04.2022 16:30 - 30.04.2022 16:45","2331","n/e","509","n/e","635","n/e"
"30.04.2022 16:45 - 30.04.2022 17:00","2227","n/e","520","n/e","646","n/e"
"30.04.2022 17:00 - 30.04.2022 17:15","2124","n/e","530","n/e","658","n/e"
"30.04.2022 17:15 - 30.04.2022 17:30","2010","n/e","533","n/e","658","n/e"
"30.04.2022 17:30 - 30.04.2022 17:45","1891","n/e","529","n/e","643","n/e"
"30.04.2022 17:45 - 30.04.2022 18:00","1775","n/e","524","n/e","633","n/e"
"30.04.2022 18:00 - 30.04.2022 18:15","1658","n/e","520","n/e","621","n/e"
"30.04.2022 18:15 - 30.04.2022 18:30","1515","n/e","504","n/e","615","n/e"
"30.04.2022 18:30 - 30.04.2022 18:45","1372","n/e","477","n/e","616","n/e"
"30.04.2022 18:45 - 30.04.2022 19:00","1229","n/e","451","n/e","617","n/e"
"30.04.2022 19:00 - 30.04.2022 19:15","1086","n/e","424","n/e","617","n/e"
"30.04.2022 19:15 - 30.04.2022 19:30","956","n/e","395","n/e","618","n/e"
"30.04.2022 19:30 - 30.04.2022 19:45","828","n/e","364","n/e","623","n/e"
"30.04.2022 19:45 - 30.04.2022 20:00","697","n/e","333","n/e","626","n/e"
"30.04.2022 20:00 - 30.04.2022 20:15","569","n/e","302","n/e","631","n/e"
"30.04.2022 20:15 - 30.04.2022 20:30","465","n/e","282","n/e","623","n/e"
"30.04.2022 20:30 - 30.04.2022 20:45","360","n/e","273","n/e","609","n/e"
"30.04.2022 20:45 - 30.04.2022 21:00","255","n/e","264","n/e","589","n/e"
"30.04.2022 21:00 - 30.04.2022 21:15","152","n/e","256","n/e","575","n/e"
"30.04.2022 21:15 - 30.04.2022 21:30","114","n/e","248","n/e","559","n/e"
"30.04.2022 21:30 - 30.04.2022 21:45","76","n/e","240","n/e","546","n/e"
"30.04.2022 21:45 - 30.04.2022 22:00","37","n/e","233","n/e","532","n/e"
"30.04.2022 22:00 - 30.04.2022 22:15","0","n/e","225","n/e","518","n/e"
"30.04.2022 22:15 - 30.04.2022 22:30","0","n/e","218","n/e","507","n/e"
"30.04.2022 22:30 - 30.04.2022 22:45","0","n/e","210","n/e","496","n/e"
"30.04.2022 22:45 - 30.04.2022 23:00","0","n/e","202","n/e","487","n/e"
"30.04.2022 23:00 - 30.04.2022 23:15","0","n/e","194","n/e","476","n/e"
"30.04.2022 23:15 - 30.04.2022 23:30","0","n/e","183","n/e","447","n/e"
"30.04.2022 23:30 - 30.04.2022 23:45","0","n/e","167","n/e","404","n/e"
"30.04.2022 23:45 - 01.05.2022 00:00","0","n/e","151","n/e","361","n/e"
"01.05.2022 00:00 - 01.05.2022 00:15","0","n/e","138","n/e","313","n/e"
"01.05.2022 00:15 - 01.05.2022 00:30","0","n/e","132","n/e","283","n/e"
"01.05.2022 00:30 - 01.05.2022 00:45","0","n/e","124","n/e","258","n/e"
"01.05.2022 00:45 - 01.05.2022 01:00","0","n/e","116","n/e","235","n/e"
"01.05.2022 01:00 - 01.05.2022 01:15","0","n/e","108","n/e","208","n/e"
"01.05.2022 01:15 - 01.05.2022 01:30","0","n/e","99","n/e","188","n/e"
"01.05.2022 01:30 - 01.05.2022 01:45","0","n/e","88","n/e","171","n/e"
