"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Netherlands (NL)","Generation - Solar  [MW] Current / Netherlands (NL)","Generation - Wind Offshore  [MW] Day Ahead/ Netherlands (NL)","Generation - Wind Offshore  [MW] Current / Netherlands (NL)","Generation - Wind Onshore  [MW] Day Ahead/ Netherlands (NL)","Generation - Wind Onshore  [MW] Current / Netherlands (NL)"
"01.01.2022 16:15 - 01.01.2022 16:30","544","n/e","1293","n/e","2385","n/e"
"01.01.2022 16:30 - 01.01.2022 16:45","380","n/e","1305","n/e","2402","n/e"
"01.01.2022 16:45 - 01.01.2022 17:00","218","n/e","1318","n/e","2416","n/e"
"01.01.2022 17:00 - 01.01.2022 17:15","54","n/e","1330","n/e","2431","n/e"
"01.01.2022 17:15 - 01.01.2022 17:30","40","n/e","1338","n/e","2455","n/e"
"01.01.2022 17:30 - 01.01.2022 17:45","26","n/e","1341","n/e","2487","n/e"
"01.01.2022 17:45 - 01.01.2022 18:00","13","n/e","1344","n/e","2517","n/e"
"01.01.2022 18:00 - 01.01.2022 18:15","0","n/e","1346","n/e","2552","n/e"
"01.01.2022 18:15 - 01.01.2022 18:30","0","n/e","1344","n/e","2585","n/e"
"01.01.2022 18:30 - 01.01.2022 18:45","0","n/e","1337","n/e","2621","n/e"
"01.01.2022 18:45 - 01.01.2022 19:00","0","n/e","1330","n/e","2655","n/e"
"01.01.2022 19:00 - 01.01.2022 19:15","0","n/e","1323","n/e","2693","n/e"
"01.01.2022 19:15 - 01.01.2022 19:30","0","n/e","1321","n/e","2712","n/e"
"01.01.2022 19:30 - 01.01.2022 19:45","0","n/e","1322","n/e","2715","n/e"
"01.01.2022 19:45 - 01.01.2022 20:00","0","n/e","1324","n/e","2715","n/e"
"01.01.2022 20:00 - 01.01.2022 20:15","0","n/e","1326","n/e","2717","n/e"
"01.01.2022 20:15 - 01.01.2022 20:30","0","n/e","1327","n/e","2697","n/e"
"01.01.2022 20:30 - 01.01.2022 20:45","0","n/e","1327","n/e","2656","n/e"
"01.01.2022 20:45 - 01.01.2022 21:00","0","n/e","1327","n/e","2611","n/e"
"01.01.2022 21:00 - 01.01.2022 21:15","0","n/e","1327","n/e","2568","n/e"
"01.01.2022 21:15 - 01.01.2022 21:30","0","n/e","1325","n/e","2547","n/e"
"01.01.2022 21:30 - 01.01.2022 21:45","0","n/e","1320","n/e","2548","n/e"
"01.01.2022 21:45 - 01.01.2022 22:00","0","n/e","1315","n/e","2546","n/e"
"01.01.2022 22:00 - 01.01.2022 22:15","0","n/e","1311","n/e","2545","n/e"
"01.01.2022 22:15 - 01.01.2022 22:30","0","n/e","1312","n/e","2553","n/e"
"01.01.2022 22:30 - 01.01.2022 22:45","0","n/e","1317","n/e","2570","n/e"
"01.01.2022 22:45 - 01.01.2022 23:00","0","n/e","1323","n/e","2586","n/e"
"01.01.2022 23:00 - 01.01.2022 23:15","0","n/e","1329","n/e","2604","n/e"
"01.01.2022 23:15 - 01.01.2022 23:30","0","n/e","1334","n/e","2624","n/e"
"01.01.2022 23:30 - 01.01.2022 23:45","0","n/e","1339","n/e","2644","n/e"
"01.01.2022 23:45 - 02.01.2022 00:00","0","n/e","1343","n/e","2667","n/e"
"02.01.2022 00:00 - 02.01.2022 00:15","0","n/e","1307","n/e","2269","n/e"
"02.01.2022 00:15 - 02.01.2022 00:30","0","n/e","1313","n/e","2268","n/e"
"02.01.2022 00:30 - 02.01.2022 00:45","0","n/e","1316","n/e","2273","n/e"
"02.01.2022 00:45 - 02.01.2022 01:00","0","n/e","1318","n/e","2280","n/e"
"02.01.2022 01:00 - 02.01.2022 01:15","0","n/e","1321","n/e","2284","n/e"
"02.01.2022 01:15 - 02.01.2022 01:30","0","n/e","1325","n/e","2305","n/e"
"02.01.2022 01:30 - 02.01.2022 01:45","0","n/e","1331","n/e","2334","n/e"
"02.01.2022 01:45 - 02.01.2022 02:00","0","n/e","1336","n/e","2361","n/e"
"02.01.2022 02:00 - 02.01.2022 02:15","0","n/e","1342","n/e","2391","n/e"
"02.01.2022 02:15 - 02.01.2022 02:30","0","n/e","1346","n/e","2422","n/e"
"02.01.2022 02:30 - 02.01.2022 02:45","0","n/e","1350","n/e","2463","n/e"
"02.01.2022 02:45 - 02.01.2022 03:00","0","n/e","1353","n/e","2503","n/e"
"02.01.2022 03:00 - 02.01.2022 03:15","0","n/e","1356","n/e","2541","n/e"
"02.01.2022 03:15 - 02.01.2022 03:30","0","n/e","1348","n/e","2560","n/e"
"02.01.2022 03:30 - 02.01.2022 03:45","0","n/e","1327","n/e","2560","n/e"
"02.01.2022 03:45 - 02.01.2022 04:00","0","n/e","1307","n/e","2559","n/e"
"02.01.2022 04:00 - 02.01.2022 04:15","0","n/e","1287","n/e","2562","n/e"
"02.01.2022 04:15 - 02.01.2022 04:30","0","n/e","1289","n/e","2571","n/e"
"02.01.2022 04:30 - 02.01.2022 04:45","0","n/e","1313","n/e","2586","n/e"
"02.01.2022 04:45 - 02.01.2022 05:00","0","n/e","1338","n/e","2600","n/e"
"02.01.2022 05:00 - 02.01.2022 05:15","0","n/e","1362","n/e","2616","n/e"
"02.01.2022 05:15 - 02.01.2022 05:30","0","n/e","1377","n/e","2647","n/e"
"02.01.2022 05:30 - 02.01.2022 05:45","0","n/e","1381","n/e","2702","n/e"
"02.01.2022 05:45 - 02.01.2022 06:00","0","n/e","1386","n/e","2756","n/e"
"02.01.2022 06:00 - 02.01.2022 06:15","0","n/e","1391","n/e","2810","n/e"
"02.01.2022 06:15 - 02.01.2022 06:30","0","n/e","1395","n/e","2865","n/e"
"02.01.2022 06:30 - 02.01.2022 06:45","0","n/e","1397","n/e","2918","n/e"
"02.01.2022 06:45 - 02.01.2022 07:00","0","n/e","1400","n/e","2974","n/e"
"02.01.2022 07:00 - 02.01.2022 07:15","0","n/e","1403","n/e","3030","n/e"
"02.01.2022 07:15 - 02.01.2022 07:30","0","n/e","1404","n/e","3072","n/e"
"02.01.2022 07:30 - 02.01.2022 07:45","0","n/e","1404","n/e","3103","n/e"
"02.01.2022 07:45 - 02.01.2022 08:00","0","n/e","1404","n/e","3132","n/e"
"02.01.2022 08:00 - 02.01.2022 08:15","0","n/e","1404","n/e","3165","n/e"
"02.01.2022 08:15 - 02.01.2022 08:30","0","n/e","1404","n/e","3207","n/e"
"02.01.2022 08:30 - 02.01.2022 08:45","0","n/e","1403","n/e","3268","n/e"
"02.01.2022 08:45 - 02.01.2022 09:00","0","n/e","1403","n/e","3325","n/e"
"02.01.2022 09:00 - 02.01.2022 09:15","0","n/e","1402","n/e","3388","n/e"
"02.01.2022 09:15 - 02.01.2022 09:30","37","n/e","1401","n/e","3444","n/e"
"02.01.2022 09:30 - 02.01.2022 09:45","75","n/e","1400","n/e","3502","n/e"
"02.01.2022 09:45 - 02.01.2022 10:00","108","n/e","1399","n/e","3558","n/e"
"02.01.2022 10:00 - 02.01.2022 10:15","146","n/e","1398","n/e","3617","n/e"
"02.01.2022 10:15 - 02.01.2022 10:30","271","n/e","1400","n/e","3681","n/e"
"02.01.2022 10:30 - 02.01.2022 10:45","392","n/e","1404","n/e","3755","n/e"
"02.01.2022 10:45 - 02.01.2022 11:00","512","n/e","1409","n/e","3828","n/e"
"02.01.2022 11:00 - 02.01.2022 11:15","636","n/e","1413","n/e","3900","n/e"
"02.01.2022 11:15 - 02.01.2022 11:30","694","n/e","1418","n/e","3982","n/e"
"02.01.2022 11:30 - 02.01.2022 11:45","752","n/e","1423","n/e","4076","n/e"
