"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Italy (IT)","Generation - Solar  [MW] Current / Italy (IT)","Generation - Wind Offshore  [MW] Day Ahead/ Italy (IT)","Generation - Wind Offshore  [MW] Current / Italy (IT)","Generation - Wind Onshore  [MW] Day Ahead/ Italy (IT)","Generation - Wind Onshore  [MW] Current / Italy (IT)"
"03.01.2022 18:00 - 03.01.2022 19:00","0","0","n/e","n/e","1692","n/e"
"03.01.2022 19:00 - 03.01.2022 20:00","0","0","n/e","n/e","1564","n/e"
"03.01.2022 20:00 - 03.01.2022 21:00","0","0","n/e","n/e","1444","n/e"
"03.01.2022 21:00 - 03.01.2022 22:00","0","0","n/e","n/e","1388","n/e"
"03.01.2022 22:00 - 03.01.2022 23:00","0","0","n/e","n/e","1358","n/e"
"03.01.2022 23:00 - 04.01.2022 00:00","0","0","n/e","n/e","1397","n/e"
"04.01.2022 00:00 - 04.01.2022 01:00","0","0","n/e","n/e","2194","n/e"
"04.01.2022 01:00 - 04.01.2022 02:00","0","0","n/e","n/e","2422","n/e"
"04.01.2022 02:00 - 04.01.2022 03:00","0","0","n/e","n/e","2559","n/e"
"04.01.2022 03:00 - 04.01.2022 04:00","0","0","n/e","n/e","2721","n/e"
"04.01.2022 04:00 - 04.01.2022 05:00","0","0","n/e","n/e","2858","n/e"
"04.01.2022 05:00 - 04.01.2022 06:00","0","0","n/e","n/e","2902","n/e"
"04.01.2022 06:00 - 04.01.2022 07:00","0","0","n/e","n/e","2968","n/e"
"04.01.2022 07:00 - 04.01.2022 08:00","36","36","n/e","n/e","3054","n/e"
"04.01.2022 08:00 - 04.01.2022 09:00","758","758","n/e","n/e","3132","n/e"
"04.01.2022 09:00 - 04.01.2022 10:00","2084","2086","n/e","n/e","3201","n/e"
"04.01.2022 10:00 - 04.01.2022 11:00","3223","3219","n/e","n/e","3245","n/e"
"04.01.2022 11:00 - 04.01.2022 12:00","3890","3869","n/e","n/e","3435","n/e"
"04.01.2022 12:00 - 04.01.2022 13:00","4063","4047","n/e","n/e","3613","n/e"
"04.01.2022 13:00 - 04.01.2022 14:00","3825","3776","n/e","n/e","3822","n/e"
"04.01.2022 14:00 - 04.01.2022 15:00","3048","2968","n/e","n/e","3846","n/e"
"04.01.2022 15:00 - 04.01.2022 16:00","1713","1650","n/e","n/e","3748","n/e"
"04.01.2022 16:00 - 04.01.2022 17:00","318","304","n/e","n/e","3666","n/e"
"04.01.2022 17:00 - 04.01.2022 18:00","0","0","n/e","n/e","3763","n/e"
"04.01.2022 18:00 - 04.01.2022 19:00","0","0","n/e","n/e","3902","n/e"
"04.01.2022 19:00 - 04.01.2022 20:00","0","0","n/e","n/e","3990","n/e"
"04.01.2022 20:00 - 04.01.2022 21:00","0","0","n/e","n/e","4039","n/e"
"04.01.2022 21:00 - 04.01.2022 22:00","0","0","n/e","n/e","4074","n/e"
"04.01.2022 22:00 - 04.01.2022 23:00","0","0","n/e","n/e","4171","n/e"
"04.01.2022 23:00 - 05.01.2022 00:00","0","0","n/e","n/e","4240","n/e"
"05.01.2022 00:00 - 05.01.2022 01:00","0","0","n/e","n/e","3989","n/e"
