"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Italy (IT)","Generation - Solar  [MW] Current / Italy (IT)","Generation - Wind Offshore  [MW] Day Ahead/ Italy (IT)","Generation - Wind Offshore  [MW] Current / Italy (IT)","Generation - Wind Onshore  [MW] Day Ahead/ Italy (IT)","Generation - Wind Onshore  [MW] Current / Italy (IT)"
"02.02.2022 15:00 - 02.02.2022 16:00","4006","3958","n/e","n/e","3406","n/e"
"02.02.2022 16:00 - 02.02.2022 17:00","1600","1502","n/e","n/e","3074","n/e"
"02.02.2022 17:00 - 02.02.2022 18:00","58","55","n/e","n/e","2891","n/e"
"02.02.2022 18:00 - 02.02.2022 19:00","0","0","n/e","n/e","2857","n/e"
"02.02.2022 19:00 - 02.02.2022 20:00","0","0","n/e","n/e","2852","n/e"
"02.02.2022 20:00 - 02.02.2022 21:00","0","0","n/e","n/e","2910","n/e"
"02.02.2022 21:00 - 02.02.2022 22:00","0","0","n/e","n/e","3042","n/e"
"02.02.2022 22:00 - 02.02.2022 23:00","0","0","n/e","n/e","3150","n/e"
"02.02.2022 23:00 - 03.02.2022 00:00","0","0","n/e","n/e","2989","n/e"
"03.02.2022 00:00 - 03.02.2022 01:00","0","0","n/e","n/e","3247","n/e"
"03.02.2022 01:00 - 03.02.2022 02:00","0","0","n/e","n/e","3307","n/e"
"03.02.2022 02:00 - 03.02.2022 03:00","0","0","n/e","n/e","3202","n/e"
"03.02.2022 03:00 - 03.02.2022 04:00","0","0","n/e","n/e","3212","n/e"
"03.02.2022 04:00 - 03.02.2022 05:00","0","0","n/e","n/e","3209","n/e"
"03.02.2022 05:00 - 03.02.2022 06:00","0","0","n/e","n/e","3234","n/e"
"03.02.2022 06:00 - 03.02.2022 07:00","0","0","n/e","n/e","3168","n/e"
"03.02.2022 07:00 - 03.02.2022 08:00","155","155","n/e","n/e","3115","n/e"
"03.02.2022 08:00 - 03.02.2022 09:00","1723","1741","n/e","n/e","3020","n/e"
"03.02.2022 09:00 - 03.02.2022 10:00","4211","4240","n/e","n/e","2927","n/e"
"03.02.2022 10:00 - 03.02.2022 11:00","6056","6051","n/e","n/e","2963","n/e"
"03.02.2022 11:00 - 03.02.2022 12:00","7305","7271","n/e","n/e","2832","n/e"
"03.02.2022 12:00 - 03.02.2022 13:00","7650","7643","n/e","n/e","2636","n/e"
"03.02.2022 13:00 - 03.02.2022 14:00","7228","7227","n/e","n/e","2488","n/e"
"03.02.2022 14:00 - 03.02.2022 15:00","5916","5911","n/e","n/e","2240","n/e"
"03.02.2022 15:00 - 03.02.2022 16:00","3785","3825","n/e","n/e","1861","n/e"
"03.02.2022 16:00 - 03.02.2022 17:00","1536","1547","n/e","n/e","1593","n/e"
"03.02.2022 17:00 - 03.02.2022 18:00","73","53","n/e","n/e","1415","n/e"
"03.02.2022 18:00 - 03.02.2022 19:00","0","0","n/e","n/e","1272","n/e"
"03.02.2022 19:00 - 03.02.2022 20:00","0","0","n/e","n/e","1222","n/e"
"03.02.2022 20:00 - 03.02.2022 21:00","0","0","n/e","n/e","1174","n/e"
"03.02.2022 21:00 - 03.02.2022 22:00","0","0","n/e","n/e","1231","n/e"
"03.02.2022 22:00 - 03.02.2022 23:00","0","0","n/e","n/e","1380","n/e"
"03.02.2022 23:00 - 04.02.2022 00:00","0","0","n/e","n/e","1513","n/e"
"04.02.2022 00:00 - 04.02.2022 01:00","0","0","n/e","n/e","1488","n/e"
"04.02.2022 01:00 - 04.02.2022 02:00","0","0","n/e","n/e","1730","n/e"
"04.02.2022 02:00 - 04.02.2022 03:00","0","0","n/e","n/e","1878","n/e"
"04.02.2022 03:00 - 04.02.2022 04:00","0","0","n/e","n/e","2176","n/e"
"04.02.2022 04:00 - 04.02.2022 05:00","0","0","n/e","n/e","2357","n/e"
"04.02.2022 05:00 - 04.02.2022 06:00","0","0","n/e","n/e","2559","n/e"
"04.02.2022 06:00 - 04.02.2022 07:00","0","0","n/e","n/e","2724","n/e"
"04.02.2022 07:00 - 04.02.2022 08:00","115","110","n/e","n/e","2924","n/e"
"04.02.2022 08:00 - 04.02.2022 09:00","1170","1052","n/e","n/e","2942","n/e"
"04.02.2022 09:00 - 04.02.2022 10:00","2775","2479","n/e","n/e","2885","n/e"
"04.02.2022 10:00 - 04.02.2022 11:00","4148","3739","n/e","n/e","2880","n/e"
"04.02.2022 11:00 - 04.02.2022 12:00","5038","4589","n/e","n/e","3204","n/e"
"04.02.2022 12:00 - 04.02.2022 13:00","5403","4870","n/e","n/e","3535","n/e"
"04.02.2022 13:00 - 04.02.2022 14:00","5273","4796","n/e","n/e","3748","n/e"
"04.02.2022 14:00 - 04.02.2022 15:00","4584","4097","n/e","n/e","3402","n/e"
"04.02.2022 15:00 - 04.02.2022 16:00","3185","2677","n/e","n/e","2988","n/e"
"04.02.2022 16:00 - 04.02.2022 17:00","1344","1142","n/e","n/e","2353","n/e"
"04.02.2022 17:00 - 04.02.2022 18:00","48","68","n/e","n/e","2095","n/e"
"04.02.2022 18:00 - 04.02.2022 19:00","0","0","n/e","n/e","1961","n/e"
"04.02.2022 19:00 - 04.02.2022 20:00","0","0","n/e","n/e","1832","n/e"
"04.02.2022 20:00 - 04.02.2022 21:00","0","0","n/e","n/e","1819","n/e"
"04.02.2022 21:00 - 04.02.2022 22:00","0","0","n/e","n/e","1785","n/e"
"04.02.2022 22:00 - 04.02.2022 23:00","0","0","n/e","n/e","1751","n/e"
"04.02.2022 23:00 - 05.02.2022 00:00","0","0","n/e","n/e","1654","n/e"
"05.02.2022 00:00 - 05.02.2022 01:00","0","0","n/e","n/e","1838","n/e"
"05.02.2022 01:00 - 05.02.2022 02:00","0","0","n/e","n/e","1773","n/e"
"05.02.2022 02:00 - 05.02.2022 03:00","0","0","n/e","n/e","1603","n/e"
"05.02.2022 03:00 - 05.02.2022 04:00","0","0","n/e","n/e","1457","n/e"
"05.02.2022 04:00 - 05.02.2022 05:00","0","0","n/e","n/e","1365","n/e"
"05.02.2022 05:00 - 05.02.2022 06:00","0","0","n/e","n/e","1324","n/e"
"05.02.2022 06:00 - 05.02.2022 07:00","0","0","n/e","n/e","1292","n/e"
"05.02.2022 07:00 - 05.02.2022 08:00","92","112","n/e","n/e","1305","n/e"
"05.02.2022 08:00 - 05.02.2022 09:00","951","1092","n/e","n/e","1221","n/e"
"05.02.2022 09:00 - 05.02.2022 10:00","2416","2662","n/e","n/e","1090","n/e"
"05.02.2022 10:00 - 05.02.2022 11:00","3753","4035","n/e","n/e","1052","n/e"
"05.02.2022 11:00 - 05.02.2022 12:00","4759","4983","n/e","n/e","1154","n/e"
"05.02.2022 12:00 - 05.02.2022 13:00","5115","5274","n/e","n/e","1278","n/e"
"05.02.2022 13:00 - 05.02.2022 14:00","4852","4985","n/e","n/e","1422","n/e"
"05.02.2022 14:00 - 05.02.2022 15:00","3970","4254","n/e","n/e","1466","n/e"
"05.02.2022 15:00 - 05.02.2022 16:00","2486","2546","n/e","n/e","1510","n/e"
"05.02.2022 16:00 - 05.02.2022 17:00","1037","1040","n/e","n/e","1577","n/e"
"05.02.2022 17:00 - 05.02.2022 18:00","47","65","n/e","n/e","1512","n/e"
"05.02.2022 18:00 - 05.02.2022 19:00","0","0","n/e","n/e","1412","n/e"
"05.02.2022 19:00 - 05.02.2022 20:00","0","0","n/e","n/e","1317","n/e"
"05.02.2022 20:00 - 05.02.2022 21:00","0","0","n/e","n/e","1190","n/e"
"05.02.2022 21:00 - 05.02.2022 22:00","0","0","n/e","n/e","1095","n/e"
"05.02.2022 22:00 - 05.02.2022 23:00","0","0","n/e","n/e","1032","n/e"
"05.02.2022 23:00 - 06.02.2022 00:00","0","0","n/e","n/e","1019","n/e"
"06.02.2022 00:00 - 06.02.2022 01:00","0","0","n/e","n/e","865","n/e"
"06.02.2022 01:00 - 06.02.2022 02:00","0","0","n/e","n/e","871","n/e"
"06.02.2022 02:00 - 06.02.2022 03:00","0","0","n/e","n/e","806","n/e"
"06.02.2022 03:00 - 06.02.2022 04:00","0","0","n/e","n/e","734","n/e"
"06.02.2022 04:00 - 06.02.2022 05:00","0","0","n/e","n/e","688","n/e"
"06.02.2022 05:00 - 06.02.2022 06:00","0","0","n/e","n/e","537","n/e"
"06.02.2022 06:00 - 06.02.2022 07:00","0","0","n/e","n/e","398","n/e"
"06.02.2022 07:00 - 06.02.2022 08:00","140","93","n/e","n/e","297","n/e"
"06.02.2022 08:00 - 06.02.2022 09:00","1399","1167","n/e","n/e","212","n/e"
"06.02.2022 09:00 - 06.02.2022 10:00","3347","3018","n/e","n/e","143","n/e"
"06.02.2022 10:00 - 06.02.2022 11:00","5011","4722","n/e","n/e","108","n/e"
"06.02.2022 11:00 - 06.02.2022 12:00","6018","5780","n/e","n/e","144","n/e"
"06.02.2022 12:00 - 06.02.2022 13:00","6393","6031","n/e","n/e","259","n/e"
"06.02.2022 13:00 - 06.02.2022 14:00","6140","5713","n/e","n/e","445","n/e"
"06.02.2022 14:00 - 06.02.2022 15:00","5179","4682","n/e","n/e","654","n/e"
"06.02.2022 15:00 - 06.02.2022 16:00","3476","2813","n/e","n/e","935","n/e"
"06.02.2022 16:00 - 06.02.2022 17:00","1457","1088","n/e","n/e","1242","n/e"
"06.02.2022 17:00 - 06.02.2022 18:00","42","51","n/e","n/e","1524","n/e"
"06.02.2022 18:00 - 06.02.2022 19:00","0","0","n/e","n/e","1787","n/e"
"06.02.2022 19:00 - 06.02.2022 20:00","0","0","n/e","n/e","2172","n/e"
"06.02.2022 20:00 - 06.02.2022 21:00","0","0","n/e","n/e","2749","n/e"
"06.02.2022 21:00 - 06.02.2022 22:00","0","0","n/e","n/e","3202","n/e"
"06.02.2022 22:00 - 06.02.2022 23:00","0","0","n/e","n/e","3628","n/e"
"06.02.2022 23:00 - 07.02.2022 00:00","0","0","n/e","n/e","4170","n/e"
"07.02.2022 00:00 - 07.02.2022 01:00","0","0","n/e","n/e","4505","n/e"
"07.02.2022 01:00 - 07.02.2022 02:00","0","0","n/e","n/e","4940","n/e"
"07.02.2022 02:00 - 07.02.2022 03:00","0","0","n/e","n/e","5447","n/e"
"07.02.2022 03:00 - 07.02.2022 04:00","0","0","n/e","n/e","5923","n/e"
"07.02.2022 04:00 - 07.02.2022 05:00","0","0","n/e","n/e","6265","n/e"
"07.02.2022 05:00 - 07.02.2022 06:00","0","0","n/e","n/e","6514","n/e"
"07.02.2022 06:00 - 07.02.2022 07:00","0","0","n/e","n/e","6703","n/e"
"07.02.2022 07:00 - 07.02.2022 08:00","217","141","n/e","n/e","6865","n/e"
"07.02.2022 08:00 - 07.02.2022 09:00","1776","1286","n/e","n/e","7143","n/e"
"07.02.2022 09:00 - 07.02.2022 10:00","4108","3214","n/e","n/e","7461","n/e"
"07.02.2022 10:00 - 07.02.2022 11:00","6080","4818","n/e","n/e","7547","n/e"
"07.02.2022 11:00 - 07.02.2022 12:00","7277","5952","n/e","n/e","7624","n/e"
"07.02.2022 12:00 - 07.02.2022 13:00","7685","6344","n/e","n/e","7663","n/e"
"07.02.2022 13:00 - 07.02.2022 14:00","7369","6006","n/e","n/e","7389","n/e"
"07.02.2022 14:00 - 07.02.2022 15:00","6257","5013","n/e","n/e","7162","n/e"
"07.02.2022 15:00 - 07.02.2022 16:00","4271","3230","n/e","n/e","7503","n/e"
"07.02.2022 16:00 - 07.02.2022 17:00","1860","1394","n/e","n/e","7753","n/e"
"07.02.2022 17:00 - 07.02.2022 18:00","122","72","n/e","n/e","7816","n/e"
"07.02.2022 18:00 - 07.02.2022 19:00","0","0","n/e","n/e","7599","n/e"
"07.02.2022 19:00 - 07.02.2022 20:00","0","0","n/e","n/e","7362","n/e"
"07.02.2022 20:00 - 07.02.2022 21:00","0","0","n/e","n/e","7123","n/e"
"07.02.2022 21:00 - 07.02.2022 22:00","0","0","n/e","n/e","6624","n/e"
"07.02.2022 22:00 - 07.02.2022 23:00","0","0","n/e","n/e","5915","n/e"
"07.02.2022 23:00 - 08.02.2022 00:00","0","0","n/e","n/e","6205","n/e"
"08.02.2022 00:00 - 08.02.2022 01:00","0","0","n/e","n/e","6159","n/e"
"08.02.2022 01:00 - 08.02.2022 02:00","0","0","n/e","n/e","6195","n/e"
"08.02.2022 02:00 - 08.02.2022 03:00","0","0","n/e","n/e","5935","n/e"
"08.02.2022 03:00 - 08.02.2022 04:00","0","0","n/e","n/e","6108","n/e"
"08.02.2022 04:00 - 08.02.2022 05:00","0","0","n/e","n/e","6141","n/e"
"08.02.2022 05:00 - 08.02.2022 06:00","0","0","n/e","n/e","6287","n/e"
"08.02.2022 06:00 - 08.02.2022 07:00","0","0","n/e","n/e","6312","n/e"
"08.02.2022 07:00 - 08.02.2022 08:00","330","212","n/e","n/e","6162","n/e"
"08.02.2022 08:00 - 08.02.2022 09:00","2578","1992","n/e","n/e","6365","n/e"
"08.02.2022 09:00 - 08.02.2022 10:00","5632","4848","n/e","n/e","6657","n/e"
"08.02.2022 10:00 - 08.02.2022 11:00","7908","6805","n/e","n/e","6849","n/e"
"08.02.2022 11:00 - 08.02.2022 12:00","9149","7913","n/e","n/e","6899","n/e"
"08.02.2022 12:00 - 08.02.2022 13:00","9526","8294","n/e","n/e","6766","n/e"
"08.02.2022 13:00 - 08.02.2022 14:00","9149","7948","n/e","n/e","6553","n/e"
"08.02.2022 14:00 - 08.02.2022 15:00","7919","6938","n/e","n/e","6369","n/e"
"08.02.2022 15:00 - 08.02.2022 16:00","5568","4798","n/e","n/e","5871","n/e"
"08.02.2022 16:00 - 08.02.2022 17:00","2464","2078","n/e","n/e","5330","n/e"
"08.02.2022 17:00 - 08.02.2022 18:00","190","121","n/e","n/e","4829","n/e"
"08.02.2022 18:00 - 08.02.2022 19:00","0","0","n/e","n/e","4345","n/e"
"08.02.2022 19:00 - 08.02.2022 20:00","0","0","n/e","n/e","3878","n/e"
"08.02.2022 20:00 - 08.02.2022 21:00","0","0","n/e","n/e","3510","n/e"
"08.02.2022 21:00 - 08.02.2022 22:00","0","0","n/e","n/e","3205","n/e"
"08.02.2022 22:00 - 08.02.2022 23:00","0","0","n/e","n/e","2924","n/e"
"08.02.2022 23:00 - 09.02.2022 00:00","0","0","n/e","n/e","2820","n/e"
"09.02.2022 00:00 - 09.02.2022 01:00","0","0","n/e","n/e","2428","n/e"
"09.02.2022 01:00 - 09.02.2022 02:00","0","0","n/e","n/e","2287","n/e"
"09.02.2022 02:00 - 09.02.2022 03:00","0","0","n/e","n/e","2133","n/e"
"09.02.2022 03:00 - 09.02.2022 04:00","0","0","n/e","n/e","1900","n/e"
"09.02.2022 04:00 - 09.02.2022 05:00","0","0","n/e","n/e","1818","n/e"
"09.02.2022 05:00 - 09.02.2022 06:00","0","0","n/e","n/e","1736","n/e"
"09.02.2022 06:00 - 09.02.2022 07:00","0","0","n/e","n/e","1642","n/e"
"09.02.2022 07:00 - 09.02.2022 08:00","346","247","n/e","n/e","1566","n/e"
"09.02.2022 08:00 - 09.02.2022 09:00","2519","2112","n/e","n/e","1379","n/e"
"09.02.2022 09:00 - 09.02.2022 10:00","5396","4889","n/e","n/e","1132","n/e"
"09.02.2022 10:00 - 09.02.2022 11:00","7573","6712","n/e","n/e","1041","n/e"
"09.02.2022 11:00 - 09.02.2022 12:00","8804","7962","n/e","n/e","1083","n/e"
"09.02.2022 12:00 - 09.02.2022 13:00","9183","8242","n/e","n/e","1133","n/e"
"09.02.2022 13:00 - 09.02.2022 14:00","8811","7912","n/e","n/e","1170","n/e"
"09.02.2022 14:00 - 09.02.2022 15:00","7613","6769","n/e","n/e","1157","n/e"
"09.02.2022 15:00 - 09.02.2022 16:00","5357","4707","n/e","n/e","1128","n/e"
"09.02.2022 16:00 - 09.02.2022 17:00","2384","2086","n/e","n/e","1033","n/e"
"09.02.2022 17:00 - 09.02.2022 18:00","180","154","n/e","n/e","952","n/e"
"09.02.2022 18:00 - 09.02.2022 19:00","0","0","n/e","n/e","893","n/e"
"09.02.2022 19:00 - 09.02.2022 20:00","0","0","n/e","n/e","849","n/e"
"09.02.2022 20:00 - 09.02.2022 21:00","0","0","n/e","n/e","732","n/e"
"09.02.2022 21:00 - 09.02.2022 22:00","0","0","n/e","n/e","661","n/e"
"09.02.2022 22:00 - 09.02.2022 23:00","0","0","n/e","n/e","621","n/e"
"09.02.2022 23:00 - 10.02.2022 00:00","0","0","n/e","n/e","614","n/e"
"10.02.2022 00:00 - 10.02.2022 01:00","0","0","n/e","n/e","583","n/e"
"10.02.2022 01:00 - 10.02.2022 02:00","0","0","n/e","n/e","583","n/e"
"10.02.2022 02:00 - 10.02.2022 03:00","0","0","n/e","n/e","546","n/e"
"10.02.2022 03:00 - 10.02.2022 04:00","0","0","n/e","n/e","518","n/e"
"10.02.2022 04:00 - 10.02.2022 05:00","0","0","n/e","n/e","493","n/e"
"10.02.2022 05:00 - 10.02.2022 06:00","0","0","n/e","n/e","476","n/e"
"10.02.2022 06:00 - 10.02.2022 07:00","0","0","n/e","n/e","445","n/e"
"10.02.2022 07:00 - 10.02.2022 08:00","374","281","n/e","n/e","421","n/e"
"10.02.2022 08:00 - 10.02.2022 09:00","2393","1994","n/e","n/e","349","n/e"
"10.02.2022 09:00 - 10.02.2022 10:00","4913","4427","n/e","n/e","285","n/e"
"10.02.2022 10:00 - 10.02.2022 11:00","6817","6043","n/e","n/e","252","n/e"
"10.02.2022 11:00 - 10.02.2022 12:00","7903","7107","n/e","n/e","266","n/e"
"10.02.2022 12:00 - 10.02.2022 13:00","8274","7460","n/e","n/e","308","n/e"
"10.02.2022 13:00 - 10.02.2022 14:00","7988","7119","n/e","n/e","368","n/e"
"10.02.2022 14:00 - 10.02.2022 15:00","6972","6050","n/e","n/e","435","n/e"
"10.02.2022 15:00 - 10.02.2022 16:00","4993","4372","n/e","n/e","501","n/e"
"10.02.2022 16:00 - 10.02.2022 17:00","2278","1984","n/e","n/e","602","n/e"
"10.02.2022 17:00 - 10.02.2022 18:00","155","139","n/e","n/e","639","n/e"
"10.02.2022 18:00 - 10.02.2022 19:00","0","0","n/e","n/e","680","n/e"
"10.02.2022 19:00 - 10.02.2022 20:00","0","0","n/e","n/e","766","n/e"
"10.02.2022 20:00 - 10.02.2022 21:00","0","0","n/e","n/e","764","n/e"
"10.02.2022 21:00 - 10.02.2022 22:00","0","0","n/e","n/e","768","n/e"
"10.02.2022 22:00 - 10.02.2022 23:00","0","0","n/e","n/e","801","n/e"
"10.02.2022 23:00 - 11.02.2022 00:00","0","0","n/e","n/e","838","n/e"
"11.02.2022 00:00 - 11.02.2022 01:00","0","0","n/e","n/e","642","n/e"
"11.02.2022 01:00 - 11.02.2022 02:00","0","0","n/e","n/e","720","n/e"
"11.02.2022 02:00 - 11.02.2022 03:00","0","0","n/e","n/e","779","n/e"
"11.02.2022 03:00 - 11.02.2022 04:00","0","0","n/e","n/e","841","n/e"
"11.02.2022 04:00 - 11.02.2022 05:00","0","0","n/e","n/e","896","n/e"
"11.02.2022 05:00 - 11.02.2022 06:00","0","0","n/e","n/e","875","n/e"
"11.02.2022 06:00 - 11.02.2022 07:00","0","0","n/e","n/e","839","n/e"
"11.02.2022 07:00 - 11.02.2022 08:00","345","294","n/e","n/e","825","n/e"
"11.02.2022 08:00 - 11.02.2022 09:00","2171","1937","n/e","n/e","684","n/e"
"11.02.2022 09:00 - 11.02.2022 10:00","4466","4200","n/e","n/e","532","n/e"
"11.02.2022 10:00 - 11.02.2022 11:00","6225","5587","n/e","n/e","432","n/e"
"11.02.2022 11:00 - 11.02.2022 12:00","7268","6509","n/e","n/e","447","n/e"
"11.02.2022 12:00 - 11.02.2022 13:00","7667","6769","n/e","n/e","493","n/e"
"11.02.2022 13:00 - 11.02.2022 14:00","7414","6515","n/e","n/e","538","n/e"
"11.02.2022 14:00 - 11.02.2022 15:00","6451","5583","n/e","n/e","570","n/e"
"11.02.2022 15:00 - 11.02.2022 16:00","4587","3918","n/e","n/e","599","n/e"
"11.02.2022 16:00 - 11.02.2022 17:00","2088","1800","n/e","n/e","646","n/e"
"11.02.2022 17:00 - 11.02.2022 18:00","146","139","n/e","n/e","610","n/e"
"11.02.2022 18:00 - 11.02.2022 19:00","0","0","n/e","n/e","577","n/e"
"11.02.2022 19:00 - 11.02.2022 20:00","0","0","n/e","n/e","576","n/e"
"11.02.2022 20:00 - 11.02.2022 21:00","0","0","n/e","n/e","484","n/e"
"11.02.2022 21:00 - 11.02.2022 22:00","0","0","n/e","n/e","468","n/e"
"11.02.2022 22:00 - 11.02.2022 23:00","0","0","n/e","n/e","528","n/e"
"11.02.2022 23:00 - 12.02.2022 00:00","0","0","n/e","n/e","642","n/e"
"12.02.2022 00:00 - 12.02.2022 01:00","0","0","n/e","n/e","663","n/e"
"12.02.2022 01:00 - 12.02.2022 02:00","0","0","n/e","n/e","921","n/e"
"12.02.2022 02:00 - 12.02.2022 03:00","0","0","n/e","n/e","1060","n/e"
"12.02.2022 03:00 - 12.02.2022 04:00","0","0","n/e","n/e","1202","n/e"
"12.02.2022 04:00 - 12.02.2022 05:00","0","0","n/e","n/e","1388","n/e"
"12.02.2022 05:00 - 12.02.2022 06:00","0","0","n/e","n/e","1508","n/e"
"12.02.2022 06:00 - 12.02.2022 07:00","0","0","n/e","n/e","1514","n/e"
"12.02.2022 07:00 - 12.02.2022 08:00","139","139","n/e","n/e","1518","n/e"
"12.02.2022 08:00 - 12.02.2022 09:00","1430","1453","n/e","n/e","1287","n/e"
"12.02.2022 09:00 - 12.02.2022 10:00","3592","3561","n/e","n/e","1162","n/e"
"12.02.2022 10:00 - 12.02.2022 11:00","5465","5390","n/e","n/e","1142","n/e"
"12.02.2022 11:00 - 12.02.2022 12:00","6530","6436","n/e","n/e","1170","n/e"
"12.02.2022 12:00 - 12.02.2022 13:00","6819","6768","n/e","n/e","1212","n/e"
"12.02.2022 13:00 - 12.02.2022 14:00","6419","6384","n/e","n/e","1286","n/e"
"12.02.2022 14:00 - 12.02.2022 15:00","5307","5310","n/e","n/e","1518","n/e"
"12.02.2022 15:00 - 12.02.2022 16:00","3530","3555","n/e","n/e","1710","n/e"
"12.02.2022 16:00 - 12.02.2022 17:00","1617","1621","n/e","n/e","1913","n/e"
"12.02.2022 17:00 - 12.02.2022 18:00","162","158","n/e","n/e","1901","n/e"
"12.02.2022 18:00 - 12.02.2022 19:00","0","0","n/e","n/e","1871","n/e"
"12.02.2022 19:00 - 12.02.2022 20:00","0","0","n/e","n/e","1815","n/e"
"12.02.2022 20:00 - 12.02.2022 21:00","0","0","n/e","n/e","1636","n/e"
"12.02.2022 21:00 - 12.02.2022 22:00","0","0","n/e","n/e","1393","n/e"
"12.02.2022 22:00 - 12.02.2022 23:00","0","0","n/e","n/e","1267","n/e"
"12.02.2022 23:00 - 13.02.2022 00:00","0","0","n/e","n/e","1079","n/e"
"13.02.2022 00:00 - 13.02.2022 01:00","0","0","n/e","n/e","986","n/e"
"13.02.2022 01:00 - 13.02.2022 02:00","0","0","n/e","n/e","913","n/e"
"13.02.2022 02:00 - 13.02.2022 03:00","0","0","n/e","n/e","831","n/e"
"13.02.2022 03:00 - 13.02.2022 04:00","0","0","n/e","n/e","768","n/e"
"13.02.2022 04:00 - 13.02.2022 05:00","0","0","n/e","n/e","723","n/e"
"13.02.2022 05:00 - 13.02.2022 06:00","0","0","n/e","n/e","688","n/e"
"13.02.2022 06:00 - 13.02.2022 07:00","0","0","n/e","n/e","642","n/e"
"13.02.2022 07:00 - 13.02.2022 08:00","192","192","n/e","n/e","612","n/e"
"13.02.2022 08:00 - 13.02.2022 09:00","1699","1701","n/e","n/e","487","n/e"
"13.02.2022 09:00 - 13.02.2022 10:00","4056","4083","n/e","n/e","401","n/e"
"13.02.2022 10:00 - 13.02.2022 11:00","6112","6113","n/e","n/e","324","n/e"
"13.02.2022 11:00 - 13.02.2022 12:00","7061","7060","n/e","n/e","269","n/e"
"13.02.2022 12:00 - 13.02.2022 13:00","7316","7290","n/e","n/e","238","n/e"
"13.02.2022 13:00 - 13.02.2022 14:00","6784","6764","n/e","n/e","231","n/e"
"13.02.2022 14:00 - 13.02.2022 15:00","5600","5528","n/e","n/e","224","n/e"
"13.02.2022 15:00 - 13.02.2022 16:00","3759","3756","n/e","n/e","236","n/e"
"13.02.2022 16:00 - 13.02.2022 17:00","1688","1664","n/e","n/e","256","n/e"
"13.02.2022 17:00 - 13.02.2022 18:00","175","174","n/e","n/e","261","n/e"
"13.02.2022 18:00 - 13.02.2022 19:00","0","0","n/e","n/e","246","n/e"
"13.02.2022 19:00 - 13.02.2022 20:00","0","0","n/e","n/e","231","n/e"
"13.02.2022 20:00 - 13.02.2022 21:00","0","0","n/e","n/e","210","n/e"
"13.02.2022 21:00 - 13.02.2022 22:00","0","0","n/e","n/e","227","n/e"
"13.02.2022 22:00 - 13.02.2022 23:00","0","0","n/e","n/e","279","n/e"
"13.02.2022 23:00 - 14.02.2022 00:00","0","0","n/e","n/e","296","n/e"
"14.02.2022 00:00 - 14.02.2022 01:00","0","0","n/e","n/e","464","n/e"
"14.02.2022 01:00 - 14.02.2022 02:00","0","0","n/e","n/e","552","n/e"
"14.02.2022 02:00 - 14.02.2022 03:00","0","0","n/e","n/e","667","n/e"
"14.02.2022 03:00 - 14.02.2022 04:00","0","0","n/e","n/e","822","n/e"
"14.02.2022 04:00 - 14.02.2022 05:00","0","0","n/e","n/e","976","n/e"
"14.02.2022 05:00 - 14.02.2022 06:00","0","0","n/e","n/e","1074","n/e"
"14.02.2022 06:00 - 14.02.2022 07:00","0","0","n/e","n/e","1191","n/e"
"14.02.2022 07:00 - 14.02.2022 08:00","205","205","n/e","n/e","1314","n/e"
"14.02.2022 08:00 - 14.02.2022 09:00","1308","1309","n/e","n/e","1494","n/e"
"14.02.2022 09:00 - 14.02.2022 10:00","2818","2816","n/e","n/e","1574","n/e"
"14.02.2022 10:00 - 14.02.2022 11:00","3818","3816","n/e","n/e","1951","n/e"
"14.02.2022 11:00 - 14.02.2022 12:00","4516","4532","n/e","n/e","2481","n/e"
"14.02.2022 12:00 - 14.02.2022 13:00","4667","4652","n/e","n/e","2743","n/e"
"14.02.2022 13:00 - 14.02.2022 14:00","4394","4354","n/e","n/e","2999","n/e"
"14.02.2022 14:00 - 14.02.2022 15:00","3638","3611","n/e","n/e","2998","n/e"
"14.02.2022 15:00 - 14.02.2022 16:00","2518","2494","n/e","n/e","2946","n/e"
"14.02.2022 16:00 - 14.02.2022 17:00","1187","1158","n/e","n/e","2748","n/e"
"14.02.2022 17:00 - 14.02.2022 18:00","117","109","n/e","n/e","2395","n/e"
"14.02.2022 18:00 - 14.02.2022 19:00","0","0","n/e","n/e","2297","n/e"
"14.02.2022 19:00 - 14.02.2022 20:00","0","0","n/e","n/e","2263","n/e"
"14.02.2022 20:00 - 14.02.2022 21:00","0","0","n/e","n/e","2533","n/e"
"14.02.2022 21:00 - 14.02.2022 22:00","0","0","n/e","n/e","2672","n/e"
"14.02.2022 22:00 - 14.02.2022 23:00","0","0","n/e","n/e","2777","n/e"
"14.02.2022 23:00 - 15.02.2022 00:00","0","0","n/e","n/e","2907","n/e"
"15.02.2022 00:00 - 15.02.2022 01:00","0","0","n/e","n/e","3126","n/e"
"15.02.2022 01:00 - 15.02.2022 02:00","0","0","n/e","n/e","3151","n/e"
"15.02.2022 02:00 - 15.02.2022 03:00","0","0","n/e","n/e","3208","n/e"
"15.02.2022 03:00 - 15.02.2022 04:00","0","0","n/e","n/e","3247","n/e"
"15.02.2022 04:00 - 15.02.2022 05:00","0","0","n/e","n/e","3324","n/e"
"15.02.2022 05:00 - 15.02.2022 06:00","0","0","n/e","n/e","3299","n/e"
"15.02.2022 06:00 - 15.02.2022 07:00","0","0","n/e","n/e","3367","n/e"
