"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Luxembourg (LU)","Generation - Solar  [MW] Current / Luxembourg (LU)","Generation - Wind Offshore  [MW] Day Ahead/ Luxembourg (LU)","Generation - Wind Offshore  [MW] Current / Luxembourg (LU)","Generation - Wind Onshore  [MW] Day Ahead/ Luxembourg (LU)","Generation - Wind Onshore  [MW] Current / Luxembourg (LU)"
"01.01.2022 00:00 - 01.01.2022 01:00","n/e","n/e","n/e","n/e","n/e","n/e"
"01.01.2022 01:00 - 01.01.2022 02:00","n/e","n/e","n/e","n/e","n/e","n/e"
"01.01.2022 02:00 - 01.01.2022 03:00","n/e","n/e","n/e","n/e","n/e","n/e"
"01.01.2022 03:00 - 01.01.2022 04:00","n/e","n/e","n/e","n/e","n/e","n/e"
"01.01.2022 04:00 - 01.01.2022 05:00","n/e","n/e","n/e","n/e","n/e","n/e"
"01.01.2022 05:00 - 01.01.2022 06:00","n/e","n/e","n/e","n/e","n/e","n/e"
"01.01.2022 06:00 - 01.01.2022 07:00","n/e","n/e","n/e","n/e","n/e","n/e"
"01.01.2022 07:00 - 01.01.2022 08:00","n/e","n/e","n/e","n/e","n/e","n/e"
"01.01.2022 08:00 - 01.01.2022 09:00","n/e","n/e","n/e","n/e","n/e","n/e"
"01.01.2022 09:00 - 01.01.2022 10:00","n/e","n/e","n/e","n/e","n/e","n/e"
"01.01.2022 10:00 - 01.01.2022 11:00","n/e","n/e","n/e","n/e","n/e","n/e"
"01.01.2022 11:00 - 01.01.2022 12:00","n/e","n/e","n/e","n/e","n/e","n/e"
"01.01.2022 12:00 - 01.01.2022 13:00","n/e","n/e","n/e","n/e","n/e","n/e"
"01.01.2022 13:00 - 01.01.2022 14:00","n/e","n/e","n/e","n/e","n/e","n/e"
"01.01.2022 14:00 - 01.01.2022 15:00","n/e","n/e","n/e","n/e","n/e","n/e"
"01.01.2022 15:00 - 01.01.2022 16:00","n/e","n/e","n/e","n/e","n/e","n/e"
"01.01.2022 16:00 - 01.01.2022 17:00","n/e","n/e","n/e","n/e","n/e","n/e"
"01.01.2022 17:00 - 01.01.2022 18:00","n/e","n/e","n/e","n/e","n/e","n/e"
"01.01.2022 18:00 - 01.01.2022 19:00","n/e","n/e","n/e","n/e","n/e","n/e"
"01.01.2022 19:00 - 01.01.2022 20:00","n/e","n/e","n/e","n/e","n/e","n/e"
"01.01.2022 20:00 - 01.01.2022 21:00","n/e","n/e","n/e","n/e","n/e","n/e"
"01.01.2022 21:00 - 01.01.2022 22:00","n/e","n/e","n/e","n/e","n/e","n/e"
"01.01.2022 22:00 - 01.01.2022 23:00","n/e","n/e","n/e","n/e","n/e","n/e"
"01.01.2022 23:00 - 02.01.2022 00:00","n/e","n/e","n/e","n/e","n/e","n/e"
"02.01.2022 00:00 - 02.01.2022 01:00","n/e","n/e","n/e","n/e","n/e","n/e"
"02.01.2022 01:00 - 02.01.2022 02:00","n/e","n/e","n/e","n/e","n/e","n/e"
"02.01.2022 02:00 - 02.01.2022 03:00","n/e","n/e","n/e","n/e","n/e","n/e"
"02.01.2022 03:00 - 02.01.2022 04:00","n/e","n/e","n/e","n/e","n/e","n/e"
"02.01.2022 04:00 - 02.01.2022 05:00","n/e","n/e","n/e","n/e","n/e","n/e"
"02.01.2022 05:00 - 02.01.2022 06:00","n/e","n/e","n/e","n/e","n/e","n/e"
"02.01.2022 06:00 - 02.01.2022 07:00","n/e","n/e","n/e","n/e","n/e","n/e"
"02.01.2022 07:00 - 02.01.2022 08:00","n/e","n/e","n/e","n/e","n/e","n/e"
"02.01.2022 08:00 - 02.01.2022 09:00","n/e","n/e","n/e","n/e","n/e","n/e"
"02.01.2022 09:00 - 02.01.2022 10:00","n/e","n/e","n/e","n/e","n/e","n/e"
"02.01.2022 10:00 - 02.01.2022 11:00","n/e","n/e","n/e","n/e","n/e","n/e"
"02.01.2022 11:00 - 02.01.2022 12:00","n/e","n/e","n/e","n/e","n/e","n/e"
"02.01.2022 12:00 - 02.01.2022 13:00","n/e","n/e","n/e","n/e","n/e","n/e"
"02.01.2022 13:00 - 02.01.2022 14:00","n/e","n/e","n/e","n/e","n/e","n/e"
"02.01.2022 14:00 - 02.01.2022 15:00","n/e","n/e","n/e","n/e","n/e","n/e"
"02.01.2022 15:00 - 02.01.2022 16:00","n/e","n/e","n/e","n/e","n/e","n/e"
"02.01.2022 16:00 - 02.01.2022 17:00","n/e","n/e","n/e","n/e","n/e","n/e"
"02.01.2022 17:00 - 02.01.2022 18:00","n/e","n/e","n/e","n/e","n/e","n/e"
"02.01.2022 18:00 - 02.01.2022 19:00","n/e","n/e","n/e","n/e","n/e","n/e"
"02.01.2022 19:00 - 02.01.2022 20:00","n/e","n/e","n/e","n/e","n/e","n/e"
"02.01.2022 20:00 - 02.01.2022 21:00","n/e","n/e","n/e","n/e","n/e","n/e"
