"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Germany (DE)","Generation - Solar  [MW] Current / Germany (DE)","Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Offshore  [MW] Current / Germany (DE)","Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Onshore  [MW] Current / Germany (DE)"
"01.01.2022 17:30 - 01.01.2022 17:45","0","0","5653","6229","9847","11879"
"01.01.2022 17:45 - 01.01.2022 18:00","0","0","5684","6235","10236","12395"
"01.01.2022 18:00 - 01.01.2022 18:15","0","0","5921","6156","10609","12861"
"01.01.2022 18:15 - 01.01.2022 18:30","0","0","5601","6151","10986","13199"
"01.01.2022 18:30 - 01.01.2022 18:45","0","0","5631","6160","11365","13501"
"01.01.2022 18:45 - 01.01.2022 19:00","0","0","5663","6163","11740","13994"
"01.01.2022 19:00 - 01.01.2022 19:15","0","0","5691","6163","12098","14396"
"01.01.2022 19:15 - 01.01.2022 19:30","0","0","5716","6170","12419","14837"
"01.01.2022 19:30 - 01.01.2022 19:45","0","0","5744","6186","12739","15155"
"01.01.2022 19:45 - 01.01.2022 20:00","0","0","5774","6200","13059","15435"
"01.01.2022 20:00 - 01.01.2022 20:15","0","0","5806","6216","13371","15548"
"01.01.2022 20:15 - 01.01.2022 20:30","0","0","5839","6236","13660","15820"
"01.01.2022 20:30 - 01.01.2022 20:45","0","0","5874","6259","13948","16113"
"01.01.2022 20:45 - 01.01.2022 21:00","0","0","5908","6284","14228","16327"
"01.01.2022 21:00 - 01.01.2022 21:15","0","0","5945","6321","14517","16563"
"01.01.2022 21:15 - 01.01.2022 21:30","0","0","5982","6365","14811","16713"
"01.01.2022 21:30 - 01.01.2022 21:45","0","0","6018","6409","15107","16877"
"01.01.2022 21:45 - 01.01.2022 22:00","0","0","6057","6442","15410","17016"
"01.01.2022 22:00 - 01.01.2022 22:15","0","0","6118","6486","15479","17035"
"01.01.2022 22:15 - 01.01.2022 22:30","0","0","6138","6508","15702","17197"
"01.01.2022 22:30 - 01.01.2022 22:45","0","0","6157","6545","15933","17249"
"01.01.2022 22:45 - 01.01.2022 23:00","0","0","6173","6585","16179","17264"
"01.01.2022 23:00 - 01.01.2022 23:15","0","0","6184","6644","16430","17378"
"01.01.2022 23:15 - 01.01.2022 23:30","0","0","6183","6664","16684","17638"
"01.01.2022 23:30 - 01.01.2022 23:45","0","0","6183","6700","16943","17755"
"01.01.2022 23:45 - 02.01.2022 00:00","0","0","6178","6694","17199","17791"
"02.01.2022 00:00 - 02.01.2022 00:15","0","0","6409","6698","17309","17976"
"02.01.2022 00:15 - 02.01.2022 00:30","0","0","6397","6713","17402","18067"
"02.01.2022 00:30 - 02.01.2022 00:45","0","0","6385","6735","17475","18015"
"02.01.2022 00:45 - 02.01.2022 01:00","0","0","6366","6708","17562","18146"
"02.01.2022 01:00 - 02.01.2022 01:15","0","0","6168","6708","17642","18129"
"02.01.2022 01:15 - 02.01.2022 01:30","0","0","6151","6685","17695","17964"
"02.01.2022 01:30 - 02.01.2022 01:45","0","0","6134","6665","17737","17844"
"02.01.2022 01:45 - 02.01.2022 02:00","0","0","6111","6582","17772","18263"
"02.01.2022 02:00 - 02.01.2022 02:15","0","0","6091","6582","17807","18403"
"02.01.2022 02:15 - 02.01.2022 02:30","0","0","6073","6606","17862","17867"
"02.01.2022 02:30 - 02.01.2022 02:45","0","0","6047","6599","17908","17240"
"02.01.2022 02:45 - 02.01.2022 03:00","0","0","6023","6572","17956","17625"
"02.01.2022 03:00 - 02.01.2022 03:15","0","0","5989","6538","17995","17545"
"02.01.2022 03:15 - 02.01.2022 03:30","0","0","5953","6540","18030","17579"
"02.01.2022 03:30 - 02.01.2022 03:45","0","0","5914","6504","18076","17645"
"02.01.2022 03:45 - 02.01.2022 04:00","0","0","5871","6408","18118","17970"
"02.01.2022 04:00 - 02.01.2022 04:15","0","0","5826","6096","18155","18247"
"02.01.2022 04:15 - 02.01.2022 04:30","0","0","5783","6084","18126","18122"
"02.01.2022 04:30 - 02.01.2022 04:45","0","0","5738","6054","18101","17662"
"02.01.2022 04:45 - 02.01.2022 05:00","0","0","5689","6068","18080","17668"
"02.01.2022 05:00 - 02.01.2022 05:15","0","0","5641","5969","18064","17468"
"02.01.2022 05:15 - 02.01.2022 05:30","0","0","5607","5912","18093","17631"
"02.01.2022 05:30 - 02.01.2022 05:45","0","0","5568","5892","18125","17700"
"02.01.2022 05:45 - 02.01.2022 06:00","0","0","5520","5853","18157","17463"
"02.01.2022 06:00 - 02.01.2022 06:15","0","0","5478","6054","18442","17570"
"02.01.2022 06:15 - 02.01.2022 06:30","0","0","5424","6010","18552","17335"
"02.01.2022 06:30 - 02.01.2022 06:45","0","0","5371","6079","18663","17302"
"02.01.2022 06:45 - 02.01.2022 07:00","0","0","5309","5928","18772","17758"
"02.01.2022 07:00 - 02.01.2022 07:15","0","0","5256","5949","18892","18032"
"02.01.2022 07:15 - 02.01.2022 07:30","0","0","5250","5858","19057","18256"
"02.01.2022 07:30 - 02.01.2022 07:45","0","0","5244","5724","19230","19141"
"02.01.2022 07:45 - 02.01.2022 08:00","0","0","5235","5453","19412","19712"
"02.01.2022 08:00 - 02.01.2022 08:15","14","6","5212","5262","19614","20330"
