"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Germany (DE)","Generation - Solar  [MW] Current / Germany (DE)","Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Offshore  [MW] Current / Germany (DE)","Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Onshore  [MW] Current / Germany (DE)"
"01.04.2022 05:15 - 01.04.2022 05:30","0","0","4599","4420","22893","21258"
"01.04.2022 05:30 - 01.04.2022 05:45","0","0","4603","4442","22949","21407"
"01.04.2022 05:45 - 01.04.2022 06:00","0","0","4607","4426","23009","21598"
"01.04.2022 06:00 - 01.04.2022 06:15","0","0","4601","4467","23398","22032"
"01.04.2022 06:15 - 01.04.2022 06:30","0","0","4605","4336","23471","22019"
"01.04.2022 06:30 - 01.04.2022 06:45","0","0","4602","4393","23535","21903"
"01.04.2022 06:45 - 01.04.2022 07:00","24","24","4610","4416","23595","21871"
"01.04.2022 07:00 - 01.04.2022 07:15","78","89","4611","4503","23625","22112"
"01.04.2022 07:15 - 01.04.2022 07:30","186","191","4605","4469","23615","22112"
"01.04.2022 07:30 - 01.04.2022 07:45","320","342","4614","4490","23547","22234"
"01.04.2022 07:45 - 01.04.2022 08:00","510","545","4627","4519","23445","22386"
"01.04.2022 08:00 - 01.04.2022 08:15","774","825","4613","4466","23352","22597"
"01.04.2022 08:15 - 01.04.2022 08:30","1102","1171","4608","4464","23283","22600"
"01.04.2022 08:30 - 01.04.2022 08:45","1499","1599","4610","4521","23237","22644"
"01.04.2022 08:45 - 01.04.2022 09:00","1914","2077","4602","4497","23212","22630"
"01.04.2022 09:00 - 01.04.2022 09:15","2345","2551","4585","4565","23343","22792"
"01.04.2022 09:15 - 01.04.2022 09:30","2801","3053","4584","4517","23528","23038"
"01.04.2022 09:30 - 01.04.2022 09:45","3278","3571","4573","4543","23839","23384"
"01.04.2022 09:45 - 01.04.2022 10:00","3753","3947","4563","4516","24152","23559"
"01.04.2022 10:00 - 01.04.2022 10:15","4219","4407","4547","4614","24543","23973"
"01.04.2022 10:15 - 01.04.2022 10:30","4654","4932","4531","4537","24864","24078"
"01.04.2022 10:30 - 01.04.2022 10:45","5078","5399","4503","4531","25231","24399"
"01.04.2022 10:45 - 01.04.2022 11:00","5491","5794","4387","4438","25597","24584"
"01.04.2022 11:00 - 01.04.2022 11:15","5913","6267","4355","4359","25934","25092"
"01.04.2022 11:15 - 01.04.2022 11:30","6306","6630","4305","4267","26136","25435"
"01.04.2022 11:30 - 01.04.2022 11:45","6651","7044","4251","4227","26334","25770"
"01.04.2022 11:45 - 01.04.2022 12:00","6951","7420","4203","4162","26533","26011"
"01.04.2022 12:00 - 01.04.2022 12:15","7191","7677","4142","4138","26708","26196"
"01.04.2022 12:15 - 01.04.2022 12:30","7399","7902","4065","4040","26777","26611"
"01.04.2022 12:30 - 01.04.2022 12:45","7539","8047","3991","3957","26853","26905"
"01.04.2022 12:45 - 01.04.2022 13:00","7606","8142","3917","3936","26929","27176"
"01.04.2022 13:00 - 01.04.2022 13:15","7674","8195","3845","3805","27007","27302"
"01.04.2022 13:15 - 01.04.2022 13:30","7666","7953","3803","3709","27095","27503"
"01.04.2022 13:30 - 01.04.2022 13:45","7612","7955","3665","3630","27208","27837"
"01.04.2022 13:45 - 01.04.2022 14:00","7533","7954","3621","3554","27339","27906"
"01.04.2022 14:00 - 01.04.2022 14:15","7430","7890","3583","3378","27478","27898"
"01.04.2022 14:15 - 01.04.2022 14:30","7287","7737","3563","3321","27604","28051"
"01.04.2022 14:30 - 01.04.2022 14:45","7117","7522","3544","3295","27724","28232"
"01.04.2022 14:45 - 01.04.2022 15:00","6907","7421","3524","3315","27839","27782"
"01.04.2022 15:00 - 01.04.2022 15:15","6619","7129","3512","3351","27903","27977"
"01.04.2022 15:15 - 01.04.2022 15:30","6284","6806","3513","3341","27963","28106"
"01.04.2022 15:30 - 01.04.2022 15:45","5942","6474","3512","3364","27974","28207"
"01.04.2022 15:45 - 01.04.2022 16:00","5572","6079","3515","3372","27984","28191"
"01.04.2022 16:00 - 01.04.2022 16:15","5182","5668","3523","3394","27980","28271"
"01.04.2022 16:15 - 01.04.2022 16:30","4778","5172","3541","3424","27941","28031"
"01.04.2022 16:30 - 01.04.2022 16:45","4364","4646","3558","3394","27902","27871"
"01.04.2022 16:45 - 01.04.2022 17:00","3928","4141","3579","3314","27858","27802"
"01.04.2022 17:00 - 01.04.2022 17:15","3480","3643","3600","3267","27796","27854"
"01.04.2022 17:15 - 01.04.2022 17:30","3022","3110","3619","3273","27648","27682"
"01.04.2022 17:30 - 01.04.2022 17:45","2564","2612","3639","3367","27499","27719"
"01.04.2022 17:45 - 01.04.2022 18:00","2119","2143","3654","3436","27336","27670"
"01.04.2022 18:00 - 01.04.2022 18:15","1704","1731","3672","3471","27122","27429"
"01.04.2022 18:15 - 01.04.2022 18:30","1305","1308","3682","3514","26720","27107"
"01.04.2022 18:30 - 01.04.2022 18:45","948","921","3693","3550","26335","26926"
"01.04.2022 18:45 - 01.04.2022 19:00","645","609","3698","3621","25949","26628"
"01.04.2022 19:00 - 01.04.2022 19:15","423","383","3725","3674","25603","26324"
"01.04.2022 19:15 - 01.04.2022 19:30","264","230","3744","3677","25314","25966"
"01.04.2022 19:30 - 01.04.2022 19:45","147","127","3755","3716","25105","25781"
"01.04.2022 19:45 - 01.04.2022 20:00","50","42","3773","3731","24919","25415"
"01.04.2022 20:00 - 01.04.2022 20:15","0","0","3773","3732","24775","25262"
"01.04.2022 20:15 - 01.04.2022 20:30","0","0","3757","3737","24629","24919"
"01.04.2022 20:30 - 01.04.2022 20:45","0","0","3738","3747","24465","24726"
"01.04.2022 20:45 - 01.04.2022 21:00","0","0","3775","3704","24291","24525"
"01.04.2022 21:00 - 01.04.2022 21:15","0","0","3729","3644","24087","24249"
"01.04.2022 21:15 - 01.04.2022 21:30","0","0","3657","3608","23856","24095"
"01.04.2022 21:30 - 01.04.2022 21:45","0","0","3584","3661","23608","23924"
"01.04.2022 21:45 - 01.04.2022 22:00","0","0","3512","3763","23356","23650"
"01.04.2022 22:00 - 01.04.2022 22:15","0","0","3448","3911","22822","22844"
"01.04.2022 22:15 - 01.04.2022 22:30","0","0","3387","3866","22548","22636"
"01.04.2022 22:30 - 01.04.2022 22:45","0","0","3322","3857","22265","22405"
"01.04.2022 22:45 - 01.04.2022 23:00","0","0","3253","3830","21975","22115"
"01.04.2022 23:00 - 01.04.2022 23:15","0","0","3190","3741","21673","21857"
"01.04.2022 23:15 - 01.04.2022 23:30","0","0","3112","3678","21335","21430"
"01.04.2022 23:30 - 01.04.2022 23:45","0","0","3031","3705","20993","21048"
"01.04.2022 23:45 - 02.04.2022 00:00","0","0","2957","3593","20644","20760"
"02.04.2022 00:00 - 02.04.2022 00:15","0","0","3397","3495","21518","21895"
"02.04.2022 00:15 - 02.04.2022 00:30","0","0","3337","3430","21214","21198"
"02.04.2022 00:30 - 02.04.2022 00:45","0","0","3274","3383","20915","20638"
"02.04.2022 00:45 - 02.04.2022 01:00","0","0","3211","3480","20611","20357"
"02.04.2022 01:00 - 02.04.2022 01:15","0","0","3017","3422","20337","19733"
"02.04.2022 01:15 - 02.04.2022 01:30","0","0","2950","3354","20045","19273"
"02.04.2022 01:30 - 02.04.2022 01:45","0","0","2884","3378","19785","18873"
"02.04.2022 01:45 - 02.04.2022 02:00","0","0","2824","3384","19521","18610"
"02.04.2022 02:00 - 02.04.2022 02:15","0","0","2766","3413","19302","18175"
"02.04.2022 02:15 - 02.04.2022 02:30","0","0","2728","3390","19116","17782"
"02.04.2022 02:30 - 02.04.2022 02:45","0","0","2692","3326","18937","17602"
"02.04.2022 02:45 - 02.04.2022 03:00","0","0","2653","3276","18762","17369"
"02.04.2022 03:00 - 02.04.2022 03:15","0","0","2622","3245","18666","17315"
"02.04.2022 03:15 - 02.04.2022 03:30","0","0","2604","3186","18585","17249"
"02.04.2022 03:30 - 02.04.2022 03:45","0","0","2593","3170","18514","17157"
"02.04.2022 03:45 - 02.04.2022 04:00","0","0","2577","3142","18446","17082"
"02.04.2022 04:00 - 02.04.2022 04:15","0","0","2566","3176","18398","16993"
"02.04.2022 04:15 - 02.04.2022 04:30","0","0","2572","3177","18361","16901"
"02.04.2022 04:30 - 02.04.2022 04:45","0","0","2579","3162","18341","16796"
"02.04.2022 04:45 - 02.04.2022 05:00","0","0","2582","3153","18324","16769"
"02.04.2022 05:00 - 02.04.2022 05:15","0","0","2582","3180","18304","16742"
"02.04.2022 05:15 - 02.04.2022 05:30","0","0","2603","3141","18279","16691"
"02.04.2022 05:30 - 02.04.2022 05:45","0","0","2614","3139","18255","16635"
"02.04.2022 05:45 - 02.04.2022 06:00","0","0","2624","3195","18230","16521"
"02.04.2022 06:00 - 02.04.2022 06:15","0","0","2621","3279","18384","16522"
"02.04.2022 06:15 - 02.04.2022 06:30","0","0","2640","3306","18342","16448"
"02.04.2022 06:30 - 02.04.2022 06:45","0","0","2654","3292","18281","16457"
"02.04.2022 06:45 - 02.04.2022 07:00","36","35","2669","3248","18221","16414"
"02.04.2022 07:00 - 02.04.2022 07:15","141","134","2678","3182","18131","16276"
"02.04.2022 07:15 - 02.04.2022 07:30","345","328","2672","3131","17993","16268"
"02.04.2022 07:30 - 02.04.2022 07:45","603","594","2657","3084","17768","16487"
"02.04.2022 07:45 - 02.04.2022 08:00","962","989","2648","3030","17533","16636"
"02.04.2022 08:00 - 02.04.2022 08:15","1417","1505","2632","2989","17345","16431"
"02.04.2022 08:15 - 02.04.2022 08:30","1952","2106","2588","2944","17231","16076"
"02.04.2022 08:30 - 02.04.2022 08:45","2562","2678","2549","2914","17163","16251"
"02.04.2022 08:45 - 02.04.2022 09:00","3210","3335","2502","2888","17124","16469"
"02.04.2022 09:00 - 02.04.2022 09:15","3846","4086","2460","2839","17381","16804"
"02.04.2022 09:15 - 02.04.2022 09:30","4507","4768","2401","2801","17751","17171"
"02.04.2022 09:30 - 02.04.2022 09:45","5176","5439","2346","2754","18316","17475"
"02.04.2022 09:45 - 02.04.2022 10:00","5828","5956","2290","2723","18870","17959"
"02.04.2022 10:00 - 02.04.2022 10:15","6447","6667","2229","2684","19427","18350"
"02.04.2022 10:15 - 02.04.2022 10:30","7031","7230","2153","2593","19670","18755"
"02.04.2022 10:30 - 02.04.2022 10:45","7577","7765","2085","2512","19930","19053"
"02.04.2022 10:45 - 02.04.2022 11:00","8101","8325","2012","2412","20184","19389"
"02.04.2022 11:00 - 02.04.2022 11:15","8590","8761","1941","2317","20419","19749"
"02.04.2022 11:15 - 02.04.2022 11:30","9070","9216","1863","2208","20387","20021"
"02.04.2022 11:30 - 02.04.2022 11:45","9498","9566","1786","2126","20350","20203"
"02.04.2022 11:45 - 02.04.2022 12:00","9866","9853","1710","2033","20310","20126"
"02.04.2022 12:00 - 02.04.2022 12:15","10189","10081","1637","1972","20242","20208"
"02.04.2022 12:15 - 02.04.2022 12:30","10475","10224","1571","1899","20102","20214"
"02.04.2022 12:30 - 02.04.2022 12:45","10692","10391","1502","1835","19971","20075"
"02.04.2022 12:45 - 02.04.2022 13:00","10832","10372","1438","1773","19840","20016"
"02.04.2022 13:00 - 02.04.2022 13:15","10941","10477","1373","1721","19696","19733"
"02.04.2022 13:15 - 02.04.2022 13:30","10999","10341","1322","1677","19551","19624"
"02.04.2022 13:30 - 02.04.2022 13:45","10989","10244","1271","1645","19447","19385"
"02.04.2022 13:45 - 02.04.2022 14:00","10900","10171","1218","1592","19385","19225"
"02.04.2022 14:00 - 02.04.2022 14:15","10755","10059","1172","1543","19347","19240"
"02.04.2022 14:15 - 02.04.2022 14:30","10577","9959","1146","1511","19276","19076"
"02.04.2022 14:30 - 02.04.2022 14:45","10355","9817","1112","1465","19187","18950"
"02.04.2022 14:45 - 02.04.2022 15:00","10076","9431","1091","1426","19089","18504"
"02.04.2022 15:00 - 02.04.2022 15:15","9695","9202","1062","1392","18991","18181"
"02.04.2022 15:15 - 02.04.2022 15:30","9317","8903","1048","1356","18898","18085"
"02.04.2022 15:30 - 02.04.2022 15:45","8887","8574","1031","1313","18803","18055"
"02.04.2022 15:45 - 02.04.2022 16:00","8391","8075","1016","1277","18701","18024"
"02.04.2022 16:00 - 02.04.2022 16:15","7865","7632","1007","1250","18591","17917"
"02.04.2022 16:15 - 02.04.2022 16:30","7282","7051","995","1233","18457","17724"
"02.04.2022 16:30 - 02.04.2022 16:45","6661","6472","990","1220","18319","17578"
"02.04.2022 16:45 - 02.04.2022 17:00","6011","5878","981","1195","18174","17424"
"02.04.2022 17:00 - 02.04.2022 17:15","5343","5221","973","1178","17987","17441"
"02.04.2022 17:15 - 02.04.2022 17:30","4683","4577","966","1167","17580","17283"
"02.04.2022 17:30 - 02.04.2022 17:45","4025","3908","966","1143","17161","16992"
"02.04.2022 17:45 - 02.04.2022 18:00","3388","3287","959","1144","16728","16594"
"02.04.2022 18:00 - 02.04.2022 18:15","2767","2676","951","1148","16248","16036"
"02.04.2022 18:15 - 02.04.2022 18:30","2150","2077","958","1116","15538","15513"
"02.04.2022 18:30 - 02.04.2022 18:45","1554","1505","962","1094","14864","14981"
"02.04.2022 18:45 - 02.04.2022 19:00","1059","1031","966","1069","14200","14296"
"02.04.2022 19:00 - 02.04.2022 19:15","688","668","974","1057","13613","13708"
"02.04.2022 19:15 - 02.04.2022 19:30","417","405","986","1079","13130","13133"
"02.04.2022 19:30 - 02.04.2022 19:45","232","220","995","1085","12762","12742"
"02.04.2022 19:45 - 02.04.2022 20:00","78","84","1007","1136","12395","12466"
"02.04.2022 20:00 - 02.04.2022 20:15","26","15","1018","1172","12099","12025"
"02.04.2022 20:15 - 02.04.2022 20:30","0","0","1009","1185","11856","11766"
"02.04.2022 20:30 - 02.04.2022 20:45","0","0","1000","1176","11627","11439"
"02.04.2022 20:45 - 02.04.2022 21:00","0","0","995","1124","11407","11127"
"02.04.2022 21:00 - 02.04.2022 21:15","0","0","993","1103","11183","10849"
"02.04.2022 21:15 - 02.04.2022 21:30","0","0","979","1060","10947","10658"
"02.04.2022 21:30 - 02.04.2022 21:45","0","0","963","1011","10704","10457"
"02.04.2022 21:45 - 02.04.2022 22:00","0","0","950","934","10452","10205"
"02.04.2022 22:00 - 02.04.2022 22:15","0","0","933","926","10120","9880"
"02.04.2022 22:15 - 02.04.2022 22:30","0","0","923","996","9825","9637"
"02.04.2022 22:30 - 02.04.2022 22:45","0","0","915","1046","9524","9436"
"02.04.2022 22:45 - 02.04.2022 23:00","0","0","906","1145","9225","9145"
"02.04.2022 23:00 - 02.04.2022 23:15","0","0","897","1213","8933","8849"
"02.04.2022 23:15 - 02.04.2022 23:30","0","0","887","1187","8662","8547"
"02.04.2022 23:30 - 02.04.2022 23:45","0","0","873","1168","8392","8232"
"02.04.2022 23:45 - 03.04.2022 00:00","0","0","863","1164","8123","7953"
"03.04.2022 00:00 - 03.04.2022 00:15","0","0","891","1287","7940","7629"
"03.04.2022 00:15 - 03.04.2022 00:30","0","0","892","1275","7734","7313"
"03.04.2022 00:30 - 03.04.2022 00:45","0","0","890","1254","7529","7015"
"03.04.2022 00:45 - 03.04.2022 01:00","0","0","890","1116","7319","6778"
"03.04.2022 01:00 - 03.04.2022 01:15","0","0","937","1019","7122","6261"
"03.04.2022 01:15 - 03.04.2022 01:30","0","0","947","1012","6899","6120"
"03.04.2022 01:30 - 03.04.2022 01:45","0","0","956","935","6710","5998"
"03.04.2022 01:45 - 03.04.2022 02:00","0","0","965","950","6520","5883"
"03.04.2022 02:00 - 03.04.2022 02:15","0","0","984","926","6364","5746"
"03.04.2022 02:15 - 03.04.2022 02:30","0","0","1021","886","6234","5654"
"03.04.2022 02:30 - 03.04.2022 02:45","0","0","1057","923","6106","5467"
"03.04.2022 02:45 - 03.04.2022 03:00","0","0","1100","1026","5976","5319"
"03.04.2022 03:00 - 03.04.2022 03:15","0","0","1145","1212","5916","5305"
"03.04.2022 03:15 - 03.04.2022 03:30","0","0","1214","1289","5872","5229"
"03.04.2022 03:30 - 03.04.2022 03:45","0","0","1287","1348","5838","5207"
"03.04.2022 03:45 - 03.04.2022 04:00","0","0","1357","1487","5807","5116"
"03.04.2022 04:00 - 03.04.2022 04:15","0","0","1423","1473","5792","5092"
"03.04.2022 04:15 - 03.04.2022 04:30","0","0","1474","1634","5810","5155"
"03.04.2022 04:30 - 03.04.2022 04:45","0","0","1525","1769","5833","5176"
"03.04.2022 04:45 - 03.04.2022 05:00","0","0","1574","1846","5855","5109"
"03.04.2022 05:00 - 03.04.2022 05:15","0","0","1623","1960","5880","5053"
"03.04.2022 05:15 - 03.04.2022 05:30","0","0","1685","2018","5894","5156"
"03.04.2022 05:30 - 03.04.2022 05:45","0","0","1745","1991","5901","5211"
"03.04.2022 05:45 - 03.04.2022 06:00","0","0","1805","1969","5906","5236"
"03.04.2022 06:00 - 03.04.2022 06:15","0","0","1849","2160","5949","5190"
"03.04.2022 06:15 - 03.04.2022 06:30","0","0","1894","2135","6016","5361"
"03.04.2022 06:30 - 03.04.2022 06:45","0","0","1938","2143","6086","5470"
"03.04.2022 06:45 - 03.04.2022 07:00","74","79","1990","2093","6158","5563"
"03.04.2022 07:00 - 03.04.2022 07:15","323","347","2041","2018","6205","5677"
"03.04.2022 07:15 - 03.04.2022 07:30","688","788","2059","2130","6222","5647"
"03.04.2022 07:30 - 03.04.2022 07:45","1243","1429","2080","2122","6234","5729"
"03.04.2022 07:45 - 03.04.2022 08:00","2007","2239","2090","2116","6236","5768"
"03.04.2022 08:00 - 03.04.2022 08:15","2985","3309","2099","2210","6125","5756"
"03.04.2022 08:15 - 03.04.2022 08:30","4088","4524","2110","2167","5965","5726"
"03.04.2022 08:30 - 03.04.2022 08:45","5379","5766","2116","1976","5791","5511"
"03.04.2022 08:45 - 03.04.2022 09:00","6661","7078","2137","1884","5600","5147"
"03.04.2022 09:00 - 03.04.2022 09:15","8004","8333","2151","1701","5363","4686"
"03.04.2022 09:15 - 03.04.2022 09:30","9379","9646","2165","1718","5074","4272"
"03.04.2022 09:30 - 03.04.2022 09:45","10647","10935","2183","1711","4789","3929"
"03.04.2022 09:45 - 03.04.2022 10:00","11836","11924","2199","1702","4500","3519"
"03.04.2022 10:00 - 03.04.2022 10:15","12871","13032","2204","1625","4369","3771"
"03.04.2022 10:15 - 03.04.2022 10:30","13799","13938","2214","1630","4625","3898"
"03.04.2022 10:30 - 03.04.2022 10:45","14622","14742","2222","1665","4935","4308"
"03.04.2022 10:45 - 03.04.2022 11:00","15399","15354","2225","1747","5251","4772"
"03.04.2022 11:00 - 03.04.2022 11:15","15976","16008","2222","1831","5531","5263"
"03.04.2022 11:15 - 03.04.2022 11:30","16378","16288","2232","1954","5775","5748"
"03.04.2022 11:30 - 03.04.2022 11:45","16715","16654","2245","2086","6022","6161"
"03.04.2022 11:45 - 03.04.2022 12:00","16980","16792","2258","2096","6270","6632"
"03.04.2022 12:00 - 03.04.2022 12:15","17238","16996","2274","2097","6558","7097"
"03.04.2022 12:15 - 03.04.2022 12:30","17426","17014","2299","2187","6818","7421"
"03.04.2022 12:30 - 03.04.2022 12:45","17568","16788","2320","2323","7091","7784"
"03.04.2022 12:45 - 03.04.2022 13:00","17685","16822","2350","2347","7366","8094"
"03.04.2022 13:00 - 03.04.2022 13:15","17712","16766","2384","2382","7649","8427"
"03.04.2022 13:15 - 03.04.2022 13:30","17684","16591","2432","2498","7955","8672"
"03.04.2022 13:30 - 03.04.2022 13:45","17593","16427","2454","2555","8311","8954"
"03.04.2022 13:45 - 03.04.2022 14:00","17462","16448","2501","2655","8720","9297"
"03.04.2022 14:00 - 03.04.2022 14:15","17257","16347","2544","2753","9124","9444"
"03.04.2022 14:15 - 03.04.2022 14:30","16986","16090","2596","2866","9469","9670"
"03.04.2022 14:30 - 03.04.2022 14:45","16692","15748","2640","2975","9792","9872"
"03.04.2022 14:45 - 03.04.2022 15:00","16284","15311","2706","3034","10099","10369"
"03.04.2022 15:00 - 03.04.2022 15:15","15843","14902","2757","3089","10407","10906"
"03.04.2022 15:15 - 03.04.2022 15:30","15291","14418","2811","3104","10704","11317"
"03.04.2022 15:30 - 03.04.2022 15:45","14474","13844","2866","3146","10999","11845"
"03.04.2022 15:45 - 03.04.2022 16:00","13632","13140","2945","3192","11295","12047"
"03.04.2022 16:00 - 03.04.2022 16:15","12729","12457","3002","3262","11579","12225"
"03.04.2022 16:15 - 03.04.2022 16:30","11824","11573","3097","3318","11802","12417"
"03.04.2022 16:30 - 03.04.2022 16:45","10852","10619","3177","3296","12024","12604"
"03.04.2022 16:45 - 03.04.2022 17:00","9818","9749","3249","3318","12236","12883"
"03.04.2022 17:00 - 03.04.2022 17:15","8737","8694","3336","3456","12418","13140"
"03.04.2022 17:15 - 03.04.2022 17:30","7651","7636","3399","3622","12413","13292"
"03.04.2022 17:30 - 03.04.2022 17:45","6553","6611","3461","3687","12407","13348"
"03.04.2022 17:45 - 03.04.2022 18:00","5456","5490","3525","3744","12389","13109"
"03.04.2022 18:00 - 03.04.2022 18:15","4416","4439","3586","3816","12320","12897"
"03.04.2022 18:15 - 03.04.2022 18:30","3406","3441","3650","3852","12055","12554"
"03.04.2022 18:30 - 03.04.2022 18:45","2458","2516","3736","3902","11819","12410"
"03.04.2022 18:45 - 03.04.2022 19:00","1653","1735","3821","3906","11581","12156"
"03.04.2022 19:00 - 03.04.2022 19:15","1044","1123","3881","3846","11394","11701"
"03.04.2022 19:15 - 03.04.2022 19:30","618","683","3951","3817","11279","11574"
"03.04.2022 19:30 - 03.04.2022 19:45","331","362","3993","3882","11292","11566"
"03.04.2022 19:45 - 03.04.2022 20:00","146","152","4035","4021","11301","11644"
"03.04.2022 20:00 - 03.04.2022 20:15","32","36","4073","4093","11456","11740"
"03.04.2022 20:15 - 03.04.2022 20:30","0","0","4090","4094","11734","12142"
"03.04.2022 20:30 - 03.04.2022 20:45","0","0","4106","4098","12043","12524"
"03.04.2022 20:45 - 03.04.2022 21:00","0","0","4125","4128","12370","12878"
"03.04.2022 21:00 - 03.04.2022 21:15","0","0","4141","4062","12735","13074"
"03.04.2022 21:15 - 03.04.2022 21:30","0","0","4175","4055","13125","13419"
"03.04.2022 21:30 - 03.04.2022 21:45","0","0","4208","4075","13528","13679"
"03.04.2022 21:45 - 03.04.2022 22:00","0","0","4242","4100","13940","14167"
"03.04.2022 22:00 - 03.04.2022 22:15","0","0","4291","4118","14181","14301"
"03.04.2022 22:15 - 03.04.2022 22:30","0","0","4346","4187","14601","14790"
"03.04.2022 22:30 - 03.04.2022 22:45","0","0","4401","4268","15008","15287"
"03.04.2022 22:45 - 03.04.2022 23:00","0","0","4457","4389","15410","15801"
"03.04.2022 23:00 - 03.04.2022 23:15","0","0","4512","4521","15776","16062"
"03.04.2022 23:15 - 03.04.2022 23:30","0","0","4595","4757","16073","16369"
"03.04.2022 23:30 - 03.04.2022 23:45","0","0","4676","4970","16363","16845"
"03.04.2022 23:45 - 04.04.2022 00:00","0","0","4751","5163","16649","17181"
"04.04.2022 00:00 - 04.04.2022 00:15","0","0","5479","5372","17168","17329"
"04.04.2022 00:15 - 04.04.2022 00:30","0","0","5543","5487","17459","17586"
"04.04.2022 00:30 - 04.04.2022 00:45","0","0","5595","5512","17734","17715"
"04.04.2022 00:45 - 04.04.2022 01:00","0","0","5639","5284","18010","18307"
"04.04.2022 01:00 - 04.04.2022 01:15","0","0","5073","5065","18282","18190"
"04.04.2022 01:15 - 04.04.2022 01:30","0","0","5087","5031","18569","18461"
"04.04.2022 01:30 - 04.04.2022 01:45","0","0","5103","5056","18855","18794"
"04.04.2022 01:45 - 04.04.2022 02:00","0","0","5122","5074","19133","19119"
"04.04.2022 02:00 - 04.04.2022 02:15","0","0","5136","5136","19437","19286"
"04.04.2022 02:15 - 04.04.2022 02:30","0","0","5150","5164","19759","19331"
"04.04.2022 02:30 - 04.04.2022 02:45","0","0","5168","5185","20062","19497"
"04.04.2022 02:45 - 04.04.2022 03:00","0","0","5175","5096","20383","19963"
"04.04.2022 03:00 - 04.04.2022 03:15","0","0","5179","5055","20719","20260"
"04.04.2022 03:15 - 04.04.2022 03:30","0","0","5178","5030","21068","20749"
"04.04.2022 03:30 - 04.04.2022 03:45","0","0","5178","5024","21419","21245"
"04.04.2022 03:45 - 04.04.2022 04:00","0","0","5173","4993","21774","21614"
"04.04.2022 04:00 - 04.04.2022 04:15","0","0","5166","4958","22138","22032"
"04.04.2022 04:15 - 04.04.2022 04:30","0","0","5157","4940","22532","22353"
"04.04.2022 04:30 - 04.04.2022 04:45","0","0","5147","4926","22930","22909"
"04.04.2022 04:45 - 04.04.2022 05:00","0","0","5133","4796","23357","23421"
"04.04.2022 05:00 - 04.04.2022 05:15","0","0","5121","4730","23757","23981"
"04.04.2022 05:15 - 04.04.2022 05:30","0","0","5111","4730","24211","24304"
"04.04.2022 05:30 - 04.04.2022 05:45","0","0","5099","4679","24663","24904"
"04.04.2022 05:45 - 04.04.2022 06:00","0","0","5086","4618","25136","25362"
"04.04.2022 06:00 - 04.04.2022 06:15","0","0","4933","4580","26072","26263"
"04.04.2022 06:15 - 04.04.2022 06:30","0","0","4913","4551","26616","27041"
"04.04.2022 06:30 - 04.04.2022 06:45","0","0","4891","4519","27154","27696"
"04.04.2022 06:45 - 04.04.2022 07:00","64","69","4871","4470","27681","28177"
"04.04.2022 07:00 - 04.04.2022 07:15","321","352","4851","4448","28172","29106"
"04.04.2022 07:15 - 04.04.2022 07:30","689","801","4829","4375","28630","29650"
"04.04.2022 07:30 - 04.04.2022 07:45","1232","1449","4803","4333","29068","30939"
"04.04.2022 07:45 - 04.04.2022 08:00","1941","2241","4774","4296","29469","31836"
"04.04.2022 08:00 - 04.04.2022 08:15","2856","3370","4756","4390","29792","32031"
"04.04.2022 08:15 - 04.04.2022 08:30","3973","4846","4764","4420","30084","32213"
"04.04.2022 08:30 - 04.04.2022 08:45","5225","6379","4773","4416","30360","32578"
"04.04.2022 08:45 - 04.04.2022 09:00","6513","7830","4786","4418","30653","32704"
"04.04.2022 09:00 - 04.04.2022 09:15","7780","9190","4796","4286","30972","33308"
"04.04.2022 09:15 - 04.04.2022 09:30","9112","10607","4808","4276","31304","33636"
"04.04.2022 09:30 - 04.04.2022 09:45","10424","11568","4818","4264","31607","34082"
"04.04.2022 09:45 - 04.04.2022 10:00","11770","12648","4828","4285","31982","34594"
"04.04.2022 10:00 - 04.04.2022 10:15","12957","13459","4838","4192","32439","35138"
"04.04.2022 10:15 - 04.04.2022 10:30","13871","14513","4848","4189","33090","35620"
"04.04.2022 10:30 - 04.04.2022 10:45","14667","15310","4854","4268","33776","36172"
"04.04.2022 10:45 - 04.04.2022 11:00","15341","16037","4862","4215","34447","35921"
"04.04.2022 11:00 - 04.04.2022 11:15","15851","16749","4872","4152","35078","35855"
"04.04.2022 11:15 - 04.04.2022 11:30","16300","17296","4877","4179","35632","35648"
"04.04.2022 11:30 - 04.04.2022 11:45","16729","17681","4889","4303","36163","35777"
"04.04.2022 11:45 - 04.04.2022 12:00","17037","17939","4896","4240","36611","36563"
"04.04.2022 12:00 - 04.04.2022 12:15","17279","17778","4907","4174","37016","36965"
"04.04.2022 12:15 - 04.04.2022 12:30","17343","17677","4912","4123","37347","37205"
"04.04.2022 12:30 - 04.04.2022 12:45","17357","17457","4916","4057","37656","37019"
"04.04.2022 12:45 - 04.04.2022 13:00","17368","17360","4911","4008","37959","37227"
"04.04.2022 13:00 - 04.04.2022 13:15","17276","17279","4907","4125","38206","37194"
"04.04.2022 13:15 - 04.04.2022 13:30","17120","17128","4896","4150","38391","37051"
"04.04.2022 13:30 - 04.04.2022 13:45","16868","17030","4884","4230","38555","37255"
